"run_id","det_tag","cell_id","status","include","LRinclude","p","r","q_tag","qY","qK","qE","model_class","logLik","T_eff","T_eff_common","k_gamma","k_pi","k_det","k_sigma","k_total","ICOMP_pen","RICOMP_pen","ICOMP_flag","RICOMP_flag","ICOMP_stabilized","RICOMP_stabilized","AIC","BIC","HQ","AICc","stability_margin","unit_root_count","unstable_count","expected_unit_roots","unit_root_mismatch","fail_code","fail_msg","window_tag","window_start","window_end"
1772640372,"SR_none__LR_both","p02_sym_r1_none_both","computed","none","both",2,1,"sym",2,2,2,"VECM_ranked_qrestricted",468.555837796992,62,57,18,7,0,6,31,1.25665281559488,1.25665281559488,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-875.111675593984,-811.777086291113,-850.497695978346,-795.751675593984,0.117802698944431,2,0,2,0,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p02_sym_r2_none_both","computed","none","both",2,2,"sym",2,2,2,"VECM_ranked_qrestricted",481.95543522097,62,57,18,12,0,6,36,0.859097565797022,0.859097565797022,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-891.910870441941,-818.361024799897,-863.326894114103,-758.710870441941,-0.0442080962335796,1,1,1,0,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p02_Y_only_r0_none_both","computed","none","both",2,0,"Y_only",2,0,0,"VAR_diff_r0",461.611166570428,62,57,6,0,0,6,12,1.41602656785874,1.41602656785874,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-899.222333140857,-874.705717926842,-889.694341031577,-892.131424049947,NA,NA,NA,3,NA,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p02_Y_only_r1_none_both","computed","none","both",2,1,"Y_only",2,0,0,"VECM_ranked_qrestricted",451.950232995107,62,57,6,7,0,6,19,1.22125368297973,1.22125368297973,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-865.900465990215,-827.082491901358,-850.814478483856,-845.359925449674,0.0998734375392466,2,0,2,0,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p02_Y_only_r2_none_both","computed","none","both",2,2,"Y_only",2,0,0,"VECM_ranked_qrestricted",457.662679492577,62,57,6,12,0,6,24,1.12008619578793,1.12008619578793,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-867.325358985154,-818.292128557125,-848.269374766596,-829.825358985154,-0.109128295583946,1,1,1,0,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p02_K_only_r0_none_both","computed","none","both",2,0,"K_only",0,2,0,"VAR_diff_r0",461.611166570428,62,57,6,0,0,6,12,1.41602656785874,1.41602656785874,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-899.222333140857,-874.705717926842,-889.694341031577,-892.131424049947,NA,NA,NA,3,NA,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p02_K_only_r1_none_both","computed","none","both",2,1,"K_only",0,2,0,"VECM_ranked_qrestricted",442.327101520722,62,57,6,7,0,6,19,1.03898644822211,1.03898644822211,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-846.654203041445,-807.836228952588,-831.568215535086,-826.113662500904,0.151402578857672,2,0,2,0,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p02_K_only_r2_none_both","computed","none","both",2,2,"K_only",0,2,0,"VECM_ranked_qrestricted",449.587478740437,62,57,6,12,0,6,24,0.921262793564004,0.921262793564004,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-851.174957480874,-802.141727052844,-832.118973262315,-813.674957480874,-0.0553428164583001,1,1,1,0,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p02_E_only_r0_none_both","computed","none","both",2,0,"E_only",0,0,2,"VAR_diff_r0",461.611166570428,62,57,6,0,0,6,12,1.41602656785874,1.41602656785874,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-899.222333140857,-874.705717926842,-889.694341031577,-892.131424049947,NA,NA,NA,3,NA,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p02_E_only_r1_none_both","computed","none","both",2,1,"E_only",0,0,2,"VECM_ranked_qrestricted",436.946759857589,62,57,6,7,0,6,19,0.896548367484023,0.896548367484023,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-835.893519715179,-797.075545626322,-820.807532208819,-815.352979174638,0.28765052231539,2,0,2,0,NA,NA,"shaikh_window",1947,2011
