"p","q_tag","r","best_BIC","best_AIC"
5,"E_only",0,-851.075591314791,-893.979667939316
5,"E_only",1,-746.168283629641,-803.373719129008
5,"E_only",2,-756.437411887183,-823.858103725723
5,"E_short",0,-778.300668493769,-857.979667939316
5,"E_short",1,-746.112818935815,-840.093177256204
5,"E_short",2,-741.25450535785,-845.450120017412
5,"K_only",0,-851.075591314791,-893.979667939316
5,"K_only",1,-758.002515830673,-815.20795133004
5,"K_only",2,-743.441199680979,-810.861891519519
5,"K_short",0,-778.300668493769,-857.979667939316
5,"K_short",1,-741.374539786355,-835.354898106744
5,"K_short",2,-731.794781210921,-835.990395870483
5,"Y_only",0,-851.075591314791,-893.979667939316
5,"Y_only",1,-768.244068342108,-825.449503841475
5,"Y_only",2,-755.297251551235,-822.717943389775
5,"Y_short",0,-778.300668493769,-857.979667939316
5,"Y_short",1,-739.475503356877,-833.455861677266
5,"Y_short",2,-746.347879708977,-850.543494368539
5,"sym",0,-729.784053279754,-833.979667939316
5,"sym",1,-709.703551167958,-828.200524702362
5,"sym",2,-706.580684328629,-835.292914202206
6,"E_only",0,-825.995705012174,-875.028935440203
6,"E_only",1,-722.380257966711,-785.714847269582
6,"E_only",2,-732.678795661672,-806.228641303716
6,"E_short",0,-741.091628387649,-833.028935440203
6,"E_short",1,-708.795596997205,-815.034262924601
6,"E_short",2,-703.659687023849,-820.113609290419
6,"K_only",0,-825.995705012174,-875.028935440203
6,"K_only",1,-731.92454067512,-795.259129977991
6,"K_only",2,-718.373502312734,-791.923347954778
6,"K_short",0,-741.091628387649,-833.028935440203
6,"K_short",1,-706.518281034069,-812.756946961466
6,"K_short",2,-697.377144854909,-813.831067121479
6,"Y_only",0,-825.995705012174,-875.028935440203
6,"Y_only",1,-743.073975371615,-806.408564674486
6,"Y_only",2,-729.608039397419,-803.157885039463
6,"Y_short",0,-741.091628387649,-833.028935440203
6,"Y_short",1,-703.617284299733,-809.85595022713
6,"Y_short",2,-710.750454087867,-827.204376354436
6,"sym",0,-680.44585937013,-803.028935440203
6,"sym",1,-662.711468875065,-799.59590381998
6,"sym",2,-662.249283151241,-809.348974435329
7,"E_only",0,-820.824033947295,-875.986418178828
7,"E_only",1,-702.919828907782,-772.383572014156
7,"E_only",2,-706.771385514818,-786.450384960366
7,"E_short",0,-723.790803519266,-827.986418178828
7,"E_short",1,-689.690513377671,-808.187486912075
7,"E_short",2,-685.878099205048,-814.590329078625
7,"K_only",0,-820.824033947295,-875.986418178828
7,"K_only",1,-712.267569997282,-781.731313103657
7,"K_only",2,-696.803877692715,-776.482877138262
7,"K_short",0,-723.790803519266,-827.986418178828
7,"K_short",1,-678.253301743878,-796.750275278282
7,"K_short",2,-665.215438625709,-793.927668499286
7,"Y_only",0,-820.824033947295,-875.986418178828
7,"Y_only",1,-724.847278577166,-794.311021683541
7,"Y_only",2,-707.741549459664,-787.420548905212
7,"Y_short",0,-723.790803519266,-827.986418178828
7,"Y_short",1,-675.982891342015,-794.479864876419
7,"Y_short",2,-697.868359035023,-826.5805889086
7,"sym",0,-651.015880698244,-791.986418178828
7,"sym",1,-634.500909158943,-789.772805514369
7,"sym",2,-649.399621091455,-814.886773786054
