"start","end","theta1","theta2","t_theta2","th_bar","adf","signs_ok"
1951,1980,0.851721217726754,-0.00927928611846889,-0.236883060214809,0.845829347378361,-4.42772720936488,TRUE
1952,1981,0.860118352138438,-0.0121932124186321,-0.338250795941423,0.852368573457057,-4.13758333891379,TRUE
1953,1982,0.862441583201132,-0.0165892406046874,-0.451167709030798,0.851895363665222,-4.51612372760473,TRUE
1954,1983,0.879154346880522,-0.0402770992029577,-1.21434194930537,0.853568701225415,-3.6478014779196,TRUE
1955,1984,0.851318469758877,-0.0076086404189569,-0.191098801854003,0.846489821263121,-2.52885374710186,TRUE
1956,1985,0.831444122917614,0.0126859760354205,0.306481746724917,0.839497561624844,-2.53077374265229,FALSE
1957,1986,0.818662685381409,0.0229801695476856,0.666933097735979,0.833254804702335,-2.72907324052012,FALSE
1958,1987,0.826015692938082,0.0112166615283642,0.354191924179954,0.833137763561812,-2.90167805631391,FALSE
1959,1988,0.82879284747971,-0.008932187543051,-0.265491412468482,0.823122973065073,-2.96253735046968,TRUE
1960,1989,0.808407677726823,-0.0209800764584696,-0.586494215853512,0.795081851180794,-3.23666712847705,TRUE
1961,1990,0.797123643441259,-0.0251815553565899,-0.697773143215672,0.781124152139045,-3.90397218920051,TRUE
1962,1991,0.793381511295169,-0.0280590140436896,-0.752396875420264,0.77554851339521,-4.08663184237087,TRUE
1963,1992,0.794272593289701,-0.0294836164526822,-0.728774630721378,0.775515256475663,-4.57087584656719,TRUE
1964,1993,0.794389586046613,-0.0389031274478678,-0.898687058134574,0.769612993055456,-4.73505195861978,TRUE
1965,1994,0.788991615378565,-0.0291334342357348,-0.596603003553531,0.770427968557671,-4.55524660609593,TRUE
1966,1995,0.792386854035482,0.00459637350653493,0.0829804917742882,0.795317518979353,-5.222090124134,FALSE
1967,1996,0.7894121480696,0.0158767743999475,0.290078384369083,0.799535725216405,-5.15206493879548,FALSE
1968,1997,0.805435117408069,0.00735711689604557,0.136842031364593,0.810124463661038,-4.79864559023095,FALSE
1969,1998,0.812206137914134,0.00624771991523245,0.11407950939811,0.816189744599296,-4.45854501459268,FALSE
1970,1999,0.813411656720689,0.0127299971350502,0.233379256706111,0.821527768089265,-4.38808336218481,FALSE
1971,2000,0.810538782047044,0.0121167263012973,0.22704554034569,0.818263535158616,-4.48768933173942,FALSE
1972,2001,0.808167564990307,0.0242835634364102,0.491601769322468,0.823660267921777,-4.52294901123935,FALSE
1973,2002,0.811589279305726,0.0343434099764157,0.700562276479336,0.833497014711008,-4.91976563428102,FALSE
1974,2003,0.810620645911096,0.043762878147724,0.888525836823526,0.838512150505771,-5.04092848334154,FALSE
1975,2004,0.826501296000745,0.0266760136906097,0.533622788372234,0.84346644084704,-5.42881561598888,FALSE
1976,2005,0.855210441586013,-0.0117803416344346,-0.266218010600477,0.847732624644008,-4.93230936448776,TRUE
1977,2006,0.873980638232836,-0.0348935055942398,-1.0239565502924,0.851881182783785,-4.90514279919814,TRUE
1978,2007,0.877486964280567,-0.0320461863066567,-1.15474406065945,0.857230272692899,-4.90932752854413,TRUE
1979,2008,0.868249501718174,-0.00114245290587056,-0.0475349883286334,0.867528891538802,-5.36473104872557,TRUE
1980,2009,0.864471163610258,0.0198775539534263,0.903448441018807,0.8769715212871,-4.40120455607193,FALSE
1981,2010,0.852342851033685,0.0365047142249,1.73084468433903,0.875198704772275,-4.16149323208903,FALSE
1982,2011,0.842102965512464,0.037223818601162,1.54957546025138,0.865326732294917,-3.61617819225992,FALSE
1983,2012,0.830031818974766,0.0303319650244391,1.18331288804605,0.848885257675239,-4.21090122546714,FALSE
1984,2013,0.807562511893556,0.00808085360284876,0.336721753838193,0.812568523886463,-3.59229358411009,FALSE
1985,2014,0.796542844055718,-0.00908219111870612,-0.333026711338238,0.790933179096144,-3.5506590683116,TRUE
1986,2015,0.810997653399239,0.00531078430363366,0.179347204821634,0.814268357100918,-3.4564442404325,FALSE
1987,2016,0.839927418116452,0.0192037347996519,0.703458305584147,0.85171755669981,-2.67110402747417,FALSE
1988,2017,0.860587645524455,0.0233646806542308,0.964717005383274,0.874892043437412,-2.79825398819527,FALSE
1989,2018,0.885506016696075,0.0312505972267385,1.47924019432162,0.904586075988793,-2.9206817570306,FALSE
1990,2019,0.883738316584631,0.0312727824064028,1.51671993698716,0.902776482356239,-3.00483125684569,FALSE
1991,2020,0.892340175284383,0.026052417142331,1.26348098648496,0.908165741142257,-2.97140049136789,FALSE
1992,2021,0.917274815942084,0.0186677392133253,0.83606811393697,0.928576436314846,-2.89396081252106,FALSE
1993,2022,1.01956563774614,-0.0143264736462665,-0.521929009744252,1.01093211163665,-2.91002291598685,TRUE
1994,2023,1.03549013295819,-0.0184277856646644,-0.740875782240687,1.0244320392519,-3.40644570854657,TRUE
