"year","CORP_CFC","CORP_COMP","CORP_COMPENSATION_SHARE_GVA","CORP_COMPENSATION_SHARE_NVA","CORP_DIVIDENDS_NET","CORP_GVA","CORP_NET_INT","CORP_NOS","CORP_NVA","CORP_PAT","CORP_PBT","CORP_TAX","CORP_TRANSFERS_NET","CORP_UNDISTRIBUTED","I_current_ME","I_current_NRC","I_real_ME_guardian","I_real_NRC_guardian","K_current_capacity_refrozen","K_current_ME_refrozen","K_current_NRC_refrozen","K_real_capacity_refrozen","K_real_ME_refrozen","K_real_NRC_refrozen","NFC_CFC","NFC_COMP","NFC_COMPENSATION_SHARE_GVA","NFC_COMPENSATION_SHARE_NVA","NFC_DIVIDENDS_NET","NFC_GVA","NFC_NET_INT","NFC_NOS","NFC_NVA","NFC_PAT","NFC_PBT","NFC_RETAINED","NFC_TAX","NFC_TRANSFERS_NET","NFC_UNDISTRIBUTED","P_Y_NFC_GVA_IMPLICIT_SOURCE","pKN_capacity","pKN_ME","pKN_NRC","Y_REAL_NFC_GVA_BASELINE"
1969,55704,377454,0.639045260076559,0.705588757059084,23422,590653,8491,104599,534949,43077,76421,36958,4287,31441,2585,1633,1156.23924882302,69660.1056793052,43069.0068733305,11694.1456175171,31374.8612558133,1343611.63633607,5230.64995915863,1338380.98637691,53484,356064,0.641990534144692,0.710506623884296,19026,554625,13544,94896,501141,53099,90057,29677,33344,3047,25936,25.7845667774371,3.20546545657914,223.569646388614,2.3442399118914,2150996
1970,61804,398010,0.650208208427336,0.723229812310225,23865,612127,12459,95348,550323,36386,63672,31263,3745,24016,2549,1616,1170.34308214503,63030.3897901712,48645.2928321515,13540.6907375471,35104.6020946044,1375435.33539161,6217.04736451688,1369218.28802709,59260,374485,0.653676971146293,0.729094873741799,18295,572890,17851,84896,513630,47900,79163,24035,27286,3182,18282,26.8679129894018,3.53671972650764,217.799381983626,2.56384262477145,2132246
1971,67620,421650,0.63797240824182,0.710683597897867,23694,660922,12642,108847,593302,43538,73533,34808,3413,34290,3072,1885,1494.78772572737,65141.5545883646,55922.5235900702,15384.8194089484,40537.7041811217,1408382.07361962,7486.01536947539,1400896.05825014,64732,396190,0.64098353494678,0.715965050192911,18145,618097,18915,97659,553365,56608,91416,32914,29995,3592,27012,27.8886631875981,3.97069265773501,205.514130677327,2.89369821139745,2216302
1972,73440,468170,0.638789360651219,0.70992718306741,25173,732902,12434,124002,659462,53104,86899,39110,3890,43395,3310,1940,1628.58781808747,60717.2095133543,63557.3290985653,17965.6728208712,45591.656277694,1435745.74008958,8839.47912381149,1426906.26096577,70188,439924,0.641336309259143,0.7144395309219,19672,685949,19976,112172,615761,67241,106351,42068,33795,3885,34844,28.7727871410475,4.42678165944619,203.243568645079,3.19514025026679,2384020
1973,81980,526064,0.641378772213877,0.71260369425164,27448,820208,14744,138039,738228,69727,110136,45632,4804,45412,4582,2473,2273.10891742302,69463.7435101279,73724.0987320226,21729.8805554423,51994.2181765803,1471238.25513626,10780.0928121155,1460458.16232414,78180,495100,0.64395880536602,0.716852624598571,20750,768838,23733,125483,690658,85601,131233,58153,40409,4504,36087,30.3967472976184,5.01102377365756,201.574150929579,3.56013061639765,2529343
1974,96040,577322,0.648983395516306,0.727528199622199,29004,889579,23076,137593,793539,80426,123275,47235,6282,31997,5661,3423,2497.73539847696,81925.4299703892,92075.5261909072,29182.2549184334,62893.2712724738,1518151.31212016,12875.7376995495,1505275.57442061,91384,542933,0.654104621464026,0.735028213403804,21532,830040,30142,121293,738656,96823,144058,67819,42849,3739,23032,33.3192168354291,6.06497688707459,226.645304520723,4.17818985049843,2491175
1975,113516,607817,0.629506651683764,0.713375953165913,31786,965545,27239,159714,852029,77808,119716,46264,8247,46178,6233,3550,2582.55776265482,80452.0168770423,104416.450918374,36137.1504137923,68279.300504582,1562355.30739567,14972.9309034757,1547382.37649219,107724,569021,0.6334561606626,0.71977317229899,24571,898280,32355,141341,790556,93878,140142,62092,41908,4716,37791,36.564601274966,6.68327175157289,241.349877634202,4.41256805957468,2456693
1976,125028,682786,0.627960062834082,0.709550234858877,35925,1087308,22707,188081,962280,100571,154066,59418,7584,62447,7269,3422,2908.95332205715,72049.8044671607,118267.955718497,43234.4263726498,75033.529345847,1597123.88815046,17301.8198134482,1579822.06833701,118272,640004,0.630753371060034,0.713976220278137,27775,1014666,29977,169722,896394,120248,179666,84323,53495,6700,51775,38.1759508658635,7.40505834243432,249.883693384929,4.74949241751197,2657867
1977,140456,771696,0.626112863168844,0.706640550957225,39627,1232519,27672,220349,1092063,116202,176780,68504,6006,78539,8330,3825,3246.82399541272,72014.485658956,136524.771235306,50958.5471673366,85566.2240679695,1630844.74026532,19862.356988509,1610982.38327681,132560,723326,0.630403843120234,0.71274810536823,30911,1147401,33041,196884,1014841,140876,209380,101249,60578,8706,63648,40.1963854813893,8.37141438817131,256.558409441628,5.31143139467012,2854488
1978,159276,884698,0.62883238917044,0.709111952895687,46615,1406890,30608,254214,1247614,139224,206780,77852,7906,91233,11472,4783,4373.81640338286,79812.9081100727,160261.026670136,61456.7762035123,98804.250466624,1672156.62339744,23431.0195134197,1648725.60388402,150152,829499,0.636152526475711,0.718940975698119,35926,1303931,36599,221554,1153779,169689,247541,123074,67556,9203,72270,42.9101816703935,9.58409185047048,262.288101327874,5.99276497155523,3038745
1979,183352,1004441,0.64207996266832,0.727327167283489,50978,1564355,36126,261553,1381003,154148,224767,80737,10823,82890,13913,6616,5049.61515838942,95328.6708517637,193905.554992603,75869.0648245917,118036.490168011,1728301.1596074,27536.0870977566,1700765.07250964,172444,942400,0.649784944902043,0.737470282858668,37639,1450326,43665,226725,1277882,186030,266767,135052,70619,9028,65774,46.5000841622648,11.2194309374097,275.525947296894,6.94019956523667,3118975
1980,212088,1102003,0.647330415459289,0.739453919464159,59251,1702381,60018,259716,1490293,143834,212037,75484,12044,52920,16484,8754,5674.9309501299,110555.826776206,233140.004617449,93245.5995968548,139894.405020594,1798852.95678032,32101.5735935217,1766751.3831868,198860,1030690,0.654602937898175,0.749229282958739,44651,1574527,58147,223441,1375667,171369,246853,112118,68203,9636,42804,50.1426389511658,12.9604814967608,290.470494616726,7.9181715295028,3140096
1981,244880,1220566,0.630741087162103,0.722121579647981,68438,1935130,84794,315280,1690250,150651,216645,70315,14271,77462,18222,11685,6005.83523241596,134041.554731992,273367.354769476,111673.074009754,161694.280759722,1891642.10907878,36806.6119196561,1854835.49715912,229084,1139850,0.637119794842787,0.730681039472866,52502,1789067,72914,273482,1559983,175031,245346,106593,65994,10659,71414,54.4801467041507,14.45132530395,303.404926955844,8.71744588710827,3283888
1982,272520,1275114,0.631693306878897,0.730287020093984,72098,2018565,97829,309630,1746045,123777,172540,51294,16632,71777,19249,13192,6266.10657504166,140825.71244308,310151.726259288,127657.235832022,182494.490427266,1989700.19926518,41556.1247232935,1948144.07454188,253880,1183260,0.637923812080797,0.739084348908575,54057,1854861,83413,264806,1600981,146345,197639,74247,48763,8119,70453,57.0049067846147,15.5878622504954,307.192349339702,9.36760749946998,3253862
1983,285876,1352980,0.622788790924917,0.717160912509316,84246,2172454,93826,356159,1886578,130911,192632,66419,19486,92182,23834,11900,8079.03357919237,120199.70498819,341150.987834931,141256.545829856,199894.442005076,2066978.75248734,47881.8652781795,2019096.88720916,264616,1250110,0.62949324210345,0.726266395473609,63249,1985899,82656,303155,1721283,160548,226967,76302,61721,9953,85577,58.1485792256125,16.5048134831768,295.010532712535,9.90019068779676,3415215
1984,303168,1501072,0.616513134467756,0.704196688980015,89736,2434777,107313,434916,2131609,151032,226972,81477,26904,129486,29247,15408,10313.477935335,145690.539582552,382843.828547822,159296.286595463,223547.541952359,2169929.86009262,56173.2395453587,2113756.62054726,278952,1388207,0.623632973944295,0.712980368229237,67204,2226000,93991,373838,1947048,179581,261058,89845,75940,10934,125769,59.246578350406,17.6431430152991,283.580380773366,10.5758411247214,3757179
1985,326864,1615931,0.621155236627583,0.710415192983119,99909,2601493,103791,449649,2274629,133962,205045,81610,30878,133461,31654,20052,11500.7990240058,179118.657050378,430574.138912817,179816.443702589,250757.695210228,2305277.6542712,65332.4312957268,2239945.22297547,298976,1490088,0.628950706261489,0.719783555994163,72006,2369165,97093,383522,2070189,168531,250141,68622,71083,15362,127978,60.1674361670248,18.6777561529325,275.233050624813,11.1948137230396,3937620
1986,349868,1723353,0.636681996119363,0.731193548825069,103192,2706772,100551,413928,2356904,94127,170365,91871,29286,89028,36812,19973,13576.1232767694,166843.563259872,488121.612371013,206595.352243074,281526.26012794,2427908.60471374,76191.5671644996,2351717.03754924,317872,1578176,0.640257827171573,0.735049032735843,72854,2464907,107170,364294,2147035,134040,225911,30848,76238,26919,81112,60.544929840148,20.1046123162682,271.152517176906,11.9710941253937,4071203
