"year","asset","nominal_investment_source","deflator_or_price_source","reconstructed_real_investment","S29C_real_investment","absolute_difference","relative_difference","reconstruction_status"
1971,"ME",49862,6.92884464603134,719629.354492161,719629.354492161,1.16415321826935e-10,1.61771224450799e-16,"PASS"
1972,"ME",57532,7.40321499541939,777121.83200943,777121.83200943,0,0,"PASS"
1973,"ME",69163,7.98874868830889,865755.110073952,865755.110073952,-3.49245965480804e-10,-4.03400408980517e-16,"PASS"
1974,"ME",77367,9.76980070965512,791899.469592467,791899.469592467,3.49245965480804e-10,4.4102310822425e-16,"PASS"
1975,"ME",78218,11.3959234238519,686368.248458814,686368.248458814,1.16415321826935e-10,1.69610587448263e-16,"PASS"
1976,"ME",88806,12.7426224526579,696920.907214641,696920.907214641,1.16415321826935e-10,1.67042372558757e-16,"PASS"
1977,"ME",110693,14.291156757353,774555.915097964,774555.915097964,-4.65661287307739e-10,-6.011977679479e-16,"PASS"
1978,"ME",133246,16.0382162357921,830803.114517424,830803.114517424,4.65661287307739e-10,5.60495355843991e-16,"PASS"
1979,"ME",154049,18.2693885494454,843208.296671081,843208.296671081,-2.3283064365387e-10,-2.76124706757591e-16,"PASS"
1980,"ME",160983,21.3587275848104,753710.628878874,753710.628878874,0,0,"PASS"
1981,"ME",178582,23.9208649718923,746553.271421577,746553.271421577,-2.3283064365387e-10,-3.11874118789295e-16,"PASS"
1982,"ME",172988,25.8883549548797,668207.772573798,668207.772573798,-3.49245965480804e-10,-5.22660734902232e-16,"PASS"
1983,"ME",178185,27.2834660373431,653087.843590388,653087.843590388,2.3283064365387e-10,3.5650739167624e-16,"PASS"
1984,"ME",209990,28.8235459482314,728536.316722283,728536.316722283,3.49245965480804e-10,4.79380310170504e-16,"PASS"
1985,"ME",219164,30.6058906046278,716084.373531875,716084.373531875,1.16415321826935e-10,1.62572074087793e-16,"PASS"
1986,"ME",218377,32.701767587741,667783.475049415,667783.475049415,-4.65661287307739e-10,-6.9732376542154e-16,"PASS"
1987,"ME",217507,34.8660416807503,623836.230081967,623836.230081967,2.3283064365387e-10,3.73223984800109e-16,"PASS"
1988,"ME",235044,37.5139836648723,626550.360792775,626550.360792775,-2.3283064365387e-10,-3.71607229400153e-16,"PASS"
1989,"ME",252488,40.1218643421816,629302.760825473,629302.760825473,4.65661287307739e-10,7.39963839816814e-16,"PASS"
1990,"ME",260938,43.1312078558487,604986.535206934,604986.535206934,0,0,"PASS"
1991,"ME",258173,45.4156645533622,568466.855079603,568466.855079603,-3.49245965480804e-10,-6.1436469401879e-16,"PASS"
1992,"ME",278060,47.6907242254597,583048.390469939,583048.390469939,-1.16415321826935e-10,-1.99666654997716e-16,"PASS"
1993,"ME",309640,50.1355101970137,617606.161347977,617606.161347977,2.3283064365387e-10,3.76988861551668e-16,"PASS"
1994,"ME",348233,52.8223795046679,659252.769878015,659252.769878015,-1.16415321826935e-10,-1.76586776948204e-16,"PASS"
1995,"ME",392489,55.4884273153212,707334.878621849,707334.878621849,-2.3283064365387e-10,-3.29166072098e-16,"PASS"
1996,"ME",419632,57.2334441544116,733193.688060889,733193.688060889,4.65661287307739e-10,6.35113606254979e-16,"PASS"
1997,"ME",452418,58.0870338479469,778862.286520404,778862.286520404,-4.65661287307739e-10,-5.97873713192737e-16,"PASS"
1998,"ME",472594,58.6550204045369,805717.902304993,805717.902304993,-4.65661287307739e-10,-5.77945812021277e-16,"PASS"
1999,"ME",509512,59.5718904757276,855289.291528526,855289.291528526,0,0,"PASS"
2000,"ME",548834,60.6952109582979,904245.971526633,904245.971526633,-3.49245965480804e-10,-3.86228942652821e-16,"PASS"
2001,"ME",498324,61.2066231055583,814166.792277658,814166.792277658,2.3283064365387e-10,2.85974134369345e-16,"PASS"
2002,"ME",438110,61.7821584036625,709120.579986128,709120.579986128,2.3283064365387e-10,3.28337168917625e-16,"PASS"
2003,"ME",445329,62.2965193333916,714853.742657335,714853.742657335,-2.3283064365387e-10,-3.25703888446279e-16,"PASS"
2004,"ME",479955,65.5660584935848,732017.466090264,732017.466090264,3.49245965480804e-10,4.77100590708773e-16,"PASS"
2005,"ME",537595,67.6048534273354,795201.783223789,795201.783223789,1.16415321826935e-10,1.46397209215227e-16,"PASS"
2006,"ME",591246,70.9684351285501,833111.22603878,833111.22603878,1.16415321826935e-10,1.39735629755535e-16,"PASS"
2007,"ME",610903,72.9542616434327,837378.086267004,837378.086267004,3.49245965480804e-10,4.17070820467405e-16,"PASS"
2008,"ME",592308,76.6875302292563,772365.465714313,772365.465714313,1.16415321826935e-10,1.50725695275966e-16,"PASS"
2009,"ME",462764,78.44792241644,589899.624802582,589899.624802582,-1.16415321826935e-10,-1.97347679049457e-16,"PASS"
2010,"ME",547722,81.6009440222882,671220.175896981,671220.175896981,1.16415321826935e-10,1.73438353028295e-16,"PASS"
2011,"ME",629358,85.689054593157,734467.200027038,734467.200027038,-2.3283064365387e-10,-3.1700618304711e-16,"PASS"
2012,"ME",693911,88.862715290316,780879.807389388,780879.807389388,1.16415321826935e-10,1.49082254048969e-16,"PASS"
2013,"ME",703424,91.0829664578685,772289.295524182,772289.295524182,3.49245965480804e-10,4.52221683642213e-16,"PASS"
2014,"ME",771158,93.476171050928,824978.164306554,824978.164306554,-3.49245965480804e-10,-4.23339647752214e-16,"PASS"
2015,"ME",782557,94.8262272656852,825253.753697722,825253.753697722,1.16415321826935e-10,1.41066091860003e-16,"PASS"
2016,"ME",760222,96.9552622725813,784095.656265363,784095.656265363,-1.16415321826935e-10,-1.48470815896901e-16,"PASS"
2017,"ME",802342,100,802342,802342,0,0,"PASS"
2018,"ME",853606,103.902739684419,821543.30347076,821543.30347076,-2.3283064365387e-10,-2.83406416521483e-16,"PASS"
2019,"ME",833030,106.940693290466,778964.465600922,778964.465600922,3.49245965480804e-10,4.48346466242697e-16,"PASS"
2020,"ME",746990,111.038458040315,672730.883680669,672730.883680669,0,0,"PASS"
2021,"ME",829611,122.25545986162,678588.098183124,678588.098183124,3.49245965480804e-10,5.14665621775401e-16,"PASS"
2022,"ME",913541,133.804976390773,682740.675751875,682740.675751875,-3.49245965480804e-10,-5.11535313310861e-16,"PASS"
2023,"ME",979172,141.122048428844,693847.638197878,693847.638197878,1.16415321826935e-10,1.6778225566826e-16,"PASS"
2024,"ME",1028975,147.176933412101,699141.486471138,699141.486471138,2.3283064365387e-10,3.33023641364875e-16,"PASS"
1901,"NRC",998,0.0758610894248966,1315562.44125393,1315562.44125393,4.42378222942352e-09,3.36265470243054e-15,"PASS"
1902,"NRC",1275,0.0758610894248966,1680703.51963804,1680703.51963804,2.56113708019257e-09,1.52384822799927e-15,"PASS"
1903,"NRC",1426,0.0758610894248966,1879751.54431674,1879751.54431674,4.19095158576965e-09,2.22952421475094e-15,"PASS"
1904,"NRC",1319,0.0758610894248966,1738704.26855104,1738704.26855104,1.62981450557709e-09,9.37373039830001e-16,"PASS"
1905,"NRC",1305,0.0758610894248966,1720249.484806,1720249.484806,-3.49245965480804e-09,-2.03020531943476e-15,"PASS"
1906,"NRC",1483,0.0758610894248966,1954888.87813586,1954888.87813586,-3.25962901115417e-09,-1.66742419357487e-15,"PASS"
1907,"NRC",1633,0.0758610894248966,2152618.70397563,2152618.70397563,-3.72529029846191e-09,-1.73058530597256e-15,"PASS"
1908,"NRC",1431,0.0758610894248966,1886342.5385114,1886342.5385114,3.0267983675003e-09,1.60458575561196e-15,"PASS"
1909,"NRC",1646,0.0758610894248966,2169755.28888174,2169755.28888174,-4.65661287307739e-10,-2.14614657096992e-16,"PASS"
1910,"NRC",1934,0.0758610894248966,2549396.5544941,2549396.5544941,-2.79396772384644e-09,-1.09593296457595e-15,"PASS"
1911,"NRC",1793,0.0758610894248966,2363530.51820471,2363530.51820471,4.19095158576965e-09,1.773174305764e-15,"PASS"
1912,"NRC",1793,0.0758610894248966,2363530.51820471,2363530.51820471,4.19095158576965e-09,1.773174305764e-15,"PASS"
1913,"NRC",1807,0.0758610894248966,2381985.30194976,2381985.30194976,-9.31322574615479e-10,-3.90985861186108e-16,"PASS"
1914,"NRC",1437,0.0758610894248966,1894251.73154499,1894251.73154499,3.72529029846191e-09,1.96662895243785e-15,"PASS"
1915,"NRC",1162,0.0758610894248966,1531747.05083875,1531747.05083875,-6.98491930961609e-10,-4.56009972781818e-16,"PASS"
1916,"NRC",1541,0.0758610894248966,2031344.4107939,2031344.4107939,9.31322574615479e-10,4.58475957925566e-16,"PASS"
1917,"NRC",1743,0.0758610894248966,2297620.57625812,2297620.57625812,4.19095158576965e-09,1.82403989112728e-15,"PASS"
1918,"NRC",1762,0.0758610894248966,2322666.35419783,2322666.35419783,-1.86264514923096e-09,-8.01942623340859e-16,"PASS"
1919,"NRC",2035,0.0758610894248966,2682534.63722621,2682534.63722621,-9.31322574615479e-10,-3.47180074281719e-16,"PASS"
1920,"NRC",3168,0.0758610894248966,4176053.92173594,4176053.92173594,-3.72529029846191e-09,-8.92059913084971e-16,"PASS"
1921,"NRC",2148,0.0758610894248966,2831491.1060255,2831491.1060255,2.3283064365387e-09,8.22289864016874e-16,"PASS"
1922,"NRC",2346,0.0758610894248966,3092494.476134,3092494.476134,-1.39698386192322e-09,-4.51733664426661e-16,"PASS"
1923,"NRC",3035,0.0758610894248966,4000733.47615801,4000733.47615801,-2.3283064365387e-09,-5.81969893874215e-16,"PASS"
1924,"NRC",3128,0.0758610894248966,4123325.96817866,4123325.96817866,4.19095158576965e-09,1.01640074495999e-15,"PASS"
1925,"NRC",3067,0.0758610894248966,4042915.83900382,4042915.83900382,4.65661287307739e-09,1.15179564910874e-15,"PASS"
1926,"NRC",3583,0.0758610894248966,4723106.43989263,4723106.43989263,2.79396772384644e-09,5.91552987298324e-16,"PASS"
1927,"NRC",3537,0.0758610894248966,4662469.29330177,4662469.29330177,-9.31322574615479e-10,-1.99748784609357e-16,"PASS"
1928,"NRC",3498,0.0758610894248966,4611059.53858343,4611059.53858343,-9.31322574615479e-10,-2.01975829377729e-16,"PASS"
1929,"NRC",3892,0.0758610894248966,5130429.88112256,5130429.88112256,-1.86264514923096e-09,-3.63058299672815e-16,"PASS"
1930,"NRC",3245,0.0758610894248966,4277555.23233369,4277555.23233369,-4.65661287307739e-09,-1.08861548715454e-15,"PASS"
1931,"NRC",1941,0.116764105542846,1662325.92711273,1662325.92711273,-1.16415321826935e-09,-7.00315864224863e-16,"PASS"
1932,"NRC",1054,0.114232598084447,922678.830451554,922678.830451554,1.16415321826935e-10,1.26171012041061e-16,"PASS"
1933,"NRC",892,0.119377001843782,747212.600603993,747212.600603993,-2.3283064365387e-10,-3.11598925748396e-16,"PASS"
1934,"NRC",1014,0.12523212411517,809696.399517645,809696.399517645,-1.16415321826935e-10,-1.43776509190712e-16,"PASS"
1935,"NRC",1139,0.129497571644909,879553.172721427,879553.172721427,-1.16415321826935e-10,-1.32357343975844e-16,"PASS"
1936,"NRC",1461,0.148710117903046,982448.283009582,982448.283009582,-2.3283064365387e-10,-2.36990229084251e-16,"PASS"
1937,"NRC",2070,0.156433383430738,1323246.96596268,1323246.96596268,-4.19095158576965e-09,-3.16717263940271e-15,"PASS"
1938,"NRC",1604,0.159391706462826,1006325.88457423,1006325.88457423,3.84170562028885e-09,3.81755620040942e-15,"PASS"
1939,"NRC",1683,0.165555577632349,1016577.04564775,1016577.04564775,-3.49245965480804e-10,-3.43550906422709e-16,"PASS"
1940,"NRC",1961,0.18049368448457,1086464.60711352,1086464.60711352,0,0,"PASS"
1941,"NRC",2372,0.207772348008742,1141634.11191763,1141634.11191763,-4.65661287307739e-09,-4.07890130862993e-15,"PASS"
1942,"NRC",1778,0.232443724725271,764916.326350151,764916.326350151,-2.3283064365387e-10,-3.04387075596669e-16,"PASS"
1943,"NRC",1462,0.243388326685607,600686.162688696,600686.162688696,0,0,"PASS"
1944,"NRC",1961,0.256962483677061,763146.421975162,763146.421975162,-2.3283064365387e-10,-3.050930161623e-16,"PASS"
1945,"NRC",2725,0.287100202016506,949145.970939907,949145.970939907,-1.16415321826935e-10,-1.22652706107631e-16,"PASS"
1946,"NRC",4516,0.35539191789692,1270709.81994302,1270709.81994302,9.31322574615479e-10,7.32915225804456e-16,"PASS"
1947,"NRC",5233,0.434767473246916,1203631.90027052,1203631.90027052,4.65661287307739e-09,3.86880147662321e-15,"PASS"
1948,"NRC",6397,0.47034770849806,1360057.65190762,1360057.65190762,-2.56113708019257e-09,-1.88310920246676e-15,"PASS"
1949,"NRC",6114,0.490379553494791,1246789.34030331,1246789.34030331,-4.65661287307739e-09,-3.73488345027442e-15,"PASS"
1950,"NRC",6623,0.560823802401639,1180941.31733319,1180941.31733319,-4.65661287307739e-10,-3.94313655109721e-16,"PASS"
1951,"NRC",8353,0.625218649735851,1336012.6099132,1336012.6099132,-1.62981450557709e-09,-1.21990952292207e-15,"PASS"
1952,"NRC",8863,0.678903849572898,1305486.77925096,1305486.77925096,-1.16415321826935e-09,-8.91738803312352e-16,"PASS"
1953,"NRC",9723,0.718341590135002,1353534.32594272,1353534.32594272,-2.3283064365387e-09,-1.72016800158877e-15,"PASS"
1954,"NRC",9473,0.76191953671246,1243307.13986863,1243307.13986863,-4.65661287307739e-10,-3.74534394901763e-16,"PASS"
1955,"NRC",10139,0.867287858733593,1169046.68938925,1169046.68938925,1.86264514923096e-09,1.59330261668511e-15,"PASS"
1956,"NRC",12719,0.976349187707125,1302710.15330791,1302710.15330791,-2.3283064365387e-09,-1.78727895121301e-15,"PASS"
1957,"NRC",13289,1.07294057883293,1238558.80392322,1238558.80392322,-9.31322574615479e-10,-7.51940539008282e-16,"PASS"
1958,"NRC",11642,1.13371160155382,1026892.5522191,1026892.5522191,-4.88944351673126e-09,-4.76139738881663e-15,"PASS"
1959,"NRC",11699,1.22472755356771,955232.856966438,955232.856966438,1.16415321826935e-10,1.2187114479776e-16,"PASS"
1960,"NRC",12645,1.29627953061642,975484.045018201,975484.045018201,-3.49245965480804e-10,-3.58023247293899e-16,"PASS"
1961,"NRC",12512,1.38492461166763,903442.678004972,903442.678004972,3.49245965480804e-10,3.8657235703324e-16,"PASS"
1962,"NRC",12834,1.43918680800465,891753.588110886,891753.588110886,3.49245965480804e-10,3.91639540493082e-16,"PASS"
1963,"NRC",12823,1.48378833799085,864206.819239678,864206.819239678,-4.65661287307739e-10,-5.38830841114427e-16,"PASS"
1964,"NRC",14599,1.5590223333365,936420.196672638,936420.196672638,-2.3283064365387e-10,-2.48639066608326e-16,"PASS"
1965,"NRC",17619,1.64796160452499,1069138.98671071,1069138.98671071,-2.09547579288483e-09,-1.95996574713988e-15,"PASS"
1966,"NRC",20089,1.74833611571348,1149035.34963595,1149035.34963595,1.39698386192322e-09,1.21578841100565e-15,"PASS"
1967,"NRC",20585,1.8689325596406,1101430.86190111,1101430.86190111,3.25962901115417e-09,2.95944949783587e-15,"PASS"
1968,"NRC",21968,2.04700618977567,1073177.01869809,1073177.01869809,4.88944351673126e-09,4.55604567703362e-15,"PASS"
1969,"NRC",24556,2.24204918464737,1095248.0511199,1095248.0511199,3.0267983675003e-09,2.76357338815201e-15,"PASS"
1970,"NRC",26226,2.47001319198495,1061775.70569671,1061775.70569671,-1.39698386192322e-09,-1.31570524210342e-15,"PASS"
1971,"NRC",27145,2.75638895179917,984802.960492267,984802.960492267,2.3283064365387e-10,2.36423582172708e-16,"PASS"
1972,"NRC",30455,3.00648467929145,1012977.05622027,1012977.05622027,1.51339918375015e-09,1.49401131492268e-15,"PASS"
1973,"NRC",35236,3.42050012359035,1030141.75491432,1030141.75491432,-3.49245965480804e-09,-3.39027093906947e-15,"PASS"
1974,"NRC",40746,4.19365055990375,971611.711990977,971611.711990977,-4.65661287307739e-10,-4.79266852756982e-16,"PASS"
1975,"NRC",41186,4.57968374607208,899319.740917144,899319.740917144,3.49245965480804e-10,3.88344600469502e-16,"PASS"
1976,"NRC",43834,5.05604509302659,866962.204519434,866962.204519434,1.16415321826935e-10,1.34279581301315e-16,"PASS"
1977,"NRC",49132,5.63434180574433,872009.574390906,872009.574390906,-3.49245965480804e-10,-4.00507030814141e-16,"PASS"
1978,"NRC",62351,6.41284134146282,972283.527379101,972283.527379101,4.65661287307739e-10,4.78935695396364e-16,"PASS"
1979,"NRC",76821,7.38829705529856,1039765.98971352,1039765.98971352,1.04773789644241e-09,1.00766702008698e-15,"PASS"
1980,"NRC",88896,8.40126051889065,1058126.92988288,1058126.92988288,-1.86264514923096e-09,-1.76032297886713e-15,"PASS"
1981,"NRC",104777,9.58203662796191,1093473.17348218,1093473.17348218,2.3283064365387e-10,2.12927623009184e-16,"PASS"
1982,"NRC",108607,10.1527886325211,1069725.80569749,1069725.80569749,4.88944351673126e-09,4.57074466250089e-15,"PASS"
1983,"NRC",94165,10.4332649505633,902545.851621605,902545.851621605,3.49245965480804e-10,3.86956479666173e-16,"PASS"
1984,"NRC",109367,11.0666353646514,988258.819381866,988258.819381866,1.16415321826935e-10,1.17798414285592e-16,"PASS"
1985,"NRC",118828,11.5525129198162,1028590.06369231,1028590.06369231,1.74622982740402e-09,1.69769268539851e-15,"PASS"
1986,"NRC",102394,11.9718615385912,855288.876086094,855288.876086094,-3.49245965480804e-10,-4.08336849976345e-16,"PASS"
1987,"NRC",100126,12.7400419937449,785915.776801676,785915.776801676,3.49245965480804e-10,4.44380906694708e-16,"PASS"
1988,"NRC",103287,13.7683840815737,750175.17951311,750175.17951311,2.3283064365387e-10,3.10368364633158e-16,"PASS"
1989,"NRC",110327,14.7252798187235,749235.337855631,749235.337855631,-4.65661287307739e-10,-6.21515382123456e-16,"PASS"
1990,"NRC",130351,15.5876760737109,836243.962112101,836243.962112101,-2.3283064365387e-10,-2.78424304632119e-16,"PASS"
1991,"NRC",118057,16.0289282458385,736524.602202586,736524.602202586,2.3283064365387e-10,3.16120660406437e-16,"PASS"
1992,"NRC",109903,16.860538402867,651835.649455369,651835.649455369,-1.16415321826935e-10,-1.78596126069821e-16,"PASS"
1993,"NRC",115219,18.0449263421801,638511.888689039,638511.888689039,-4.65661287307739e-10,-7.292914909757e-16,"PASS"
1994,"NRC",119705,19.3498153622377,618636.393986536,618636.393986536,-3.49245965480804e-10,-5.64541577048578e-16,"PASS"
1995,"NRC",139744,20.6668290519974,676175.332211857,676175.332211857,0,0,"PASS"
1996,"NRC",153158,21.9950100521627,696330.666077329,696330.666077329,0,0,"PASS"
1997,"NRC",164191,23.7098244033038,692501.965460027,692501.965460027,3.49245965480804e-10,5.04324872563793e-16,"PASS"
1998,"NRC",180793,25.3451366943182,713324.225394806,713324.225394806,-1.16415321826935e-10,-1.63201133064704e-16,"PASS"
1999,"NRC",184880,26.9863558333319,685086.942237853,685086.942237853,1.16415321826935e-10,1.69927807187014e-16,"PASS"
2000,"NRC",209871,29.2148822939041,718370.171369101,718370.171369101,-1.16415321826935e-10,-1.62054782432107e-16,"PASS"
2001,"NRC",220749,31.6160338317632,698218.508920697,698218.508920697,-4.65661287307739e-10,-6.66927733020937e-16,"PASS"
2002,"NRC",179784,34.0416198197775,528129.98015902,528129.98015902,1.16415321826935e-10,2.20429299983845e-16,"PASS"
2003,"NRC",181131,36.4425198466878,497032.040490094,497032.040490094,3.49245965480804e-10,7.02662880920984e-16,"PASS"
2004,"NRC",196554,41.7609934464672,470664.090527347,470664.090527347,4.07453626394272e-10,8.65699411947378e-16,"PASS"
