"year","asset","nominal_investment_source","nominal_index_1947_100","nominal_index_first_valid_100","nominal_growth_percent"
1936,"NRC",1461,27.9189757309383,146.392785571142,28.270412642669
1937,"NRC",2070,39.5566596598509,207.414829659319,41.6837782340862
1938,"NRC",1604,30.6516338620294,160.721442885772,-22.512077294686
1939,"NRC",1683,32.1612841582266,168.637274549098,4.92518703241895
1940,"NRC",1961,37.4737244410472,196.492985971944,16.5181224004753
1941,"NRC",2372,45.3277278807567,237.675350701403,20.9586945436002
1942,"NRC",1778,33.9766864131473,178.156312625251,-25.0421585160202
1943,"NRC",1462,27.9380852283585,146.492985971944,-17.7727784026997
1944,"NRC",1961,37.4737244410472,196.492985971944,34.1313269493844
1945,"NRC",2725,52.0733804700936,273.046092184369,38.9597144314125
1946,"NRC",4516,86.2984903497038,452.50501002004,65.7247706422018
1947,"NRC",5233,100,524.34869739479,15.8768821966342
1948,"NRC",6397,122.243454997134,640.981963927856,22.2434549971336
1949,"NRC",6114,116.835467227212,612.625250501002,-4.4239487259653
1950,"NRC",6623,126.562201414103,663.627254509018,8.32515538109257
1951,"NRC",8353,159.62163195108,836.973947895792,26.1210931601993
1952,"NRC",8863,169.367475635391,888.076152304609,6.10559080569855
1953,"NRC",9723,185.801643416778,974.248496993988,9.70326074692542
1954,"NRC",9473,181.024269061724,949.198396793587,-2.57122287359868
1955,"NRC",10139,193.751194343589,1015.93186372745,7.0305077588937
1956,"NRC",12719,243.053697687751,1274.44889779559,25.4462964789427
1957,"NRC",13289,253.946111217275,1331.56312625251,4.48148439342716
1958,"NRC",11642,222.472768966176,1166.53306613226,-12.3937090827
1959,"NRC",11699,223.562010319129,1172.24448897796,0.489606596804673
1960,"NRC",12645,241.639594878655,1267.03406813627,8.08616121035986
1961,"NRC",12512,239.098031721766,1253.70741482966,-1.05179913009095
1962,"NRC",12834,245.251289891076,1285.97194388778,2.57352941176471
1963,"NRC",12823,245.041085419453,1284.86973947896,-0.0857098332554153
1964,"NRC",14599,278.97955283776,1462.82565130261,13.8501130780629
1965,"NRC",17619,336.690235046818,1765.43086172345,20.686348380026
1966,"NRC",20089,383.890693674756,2012.92585170341,14.0189568079914
1967,"NRC",20585,393.369004395184,2062.625250501,2.46901289262781
1968,"NRC",21968,419.797439327346,2201.20240480962,6.71848433325237
1969,"NRC",24556,469.252818650869,2460.52104208417,11.7807720320466
1970,"NRC",26226,501.165679342633,2627.85571142285,6.8007818863007
1971,"NRC",27145,518.727307471813,2719.93987975952,3.50415618088919
1972,"NRC",30455,581.979743932735,3051.60320641283,12.193774175723
1973,"NRC",35236,673.342251098796,3530.66132264529,15.6985716631095
1974,"NRC",40746,778.635581884196,4082.76553106212,15.6374162788058
1975,"NRC",41186,787.043760749092,4126.85370741483,1.07986059981348
1976,"NRC",43834,837.645709917829,4392.18436873747,6.42936920312728
1977,"NRC",49132,938.887827250143,4923.04609218437,12.0865081899895
1978,"NRC",62351,1191.496273648,6247.59519038076,26.9050720508019
1979,"NRC",76821,1468.01070131856,7697.49498997996,23.2073262658177
1980,"NRC",88896,1698.75788266769,8907.41482965932,15.7183582614129
1981,"NRC",104777,2002.23581119817,10498.6973947896,17.8646958243341
1982,"NRC",108607,2075.4251863176,10882.4649298597,3.65538238353837
1983,"NRC",94165,1799.44582457481,9435.37074148297,-13.297485429116
1984,"NRC",109367,2089.94840435697,10958.6172344689,16.1440025487177
1985,"NRC",118828,2270.74335944965,11906.6132264529,8.65068987903115
1986,"NRC",102394,1956.69787884579,10259.9198396794,-13.8300737199987
1987,"NRC",100126,1913.35753869673,10032.6653306613,-2.21497353360548
1988,"NRC",103287,1973.76266004204,10349.3987975952,3.15702215208837
1989,"NRC",110327,2108.29352188037,11054.8096192385,6.81595941405985
1990,"NRC",130351,2490.94209822282,13061.2224448898,18.1496823080479
1991,"NRC",118057,2256.00993693866,11829.3587174349,-9.43145813994522
1992,"NRC",109903,2100.1910949742,11012.3246492986,-6.90683313992394
1993,"NRC",115219,2201.77718326008,11544.9899799599,4.83699262076558
1994,"NRC",119705,2287.50238868718,11994.4889779559,3.89345507251408
1995,"NRC",139744,2670.43760749092,14002.4048096192,16.7403199532183
1996,"NRC",153158,2926.77240588573,15346.4929859719,9.59898099381727
1997,"NRC",164191,3137.60749092299,16452.004008016,7.20367202496768
1998,"NRC",180793,3454.86336709345,18115.5310621242,10.1113946562235
1999,"NRC",184880,3532.96388304988,18525.0501002004,2.26059637264717
2000,"NRC",209871,4010.52933307854,21029.1583166333,13.5174167027261
2001,"NRC",220749,4218.40244601567,22119.1382765531,5.1831839558586
2002,"NRC",179784,3435.58188419645,18014.4288577154,-18.5572754576465
2003,"NRC",181131,3461.32237722148,18149.3987975952,0.749232412228007
2004,"NRC",196554,3756.0481559335,19694.7895791583,8.51483180681385
2005,"NRC",232903,4450.659277661,23336.9739478958,18.4931367461359
2006,"NRC",279674,5344.42958150201,28023.4468937876,20.0817507717805
2007,"NRC",334230,6386.96732275941,33489.9799599198,19.5069974327252
2008,"NRC",379019,7242.86260271355,37977.8557114228,13.4006522454597
2009,"NRC",296308,5662.29696158991,29690.1803607214,-21.8223888512185
2010,"NRC",261211,4991.61093063252,26173.4468937876,-11.8447696315996
2011,"NRC",289128,5525.09077011275,28970.7414829659,10.6875284731501
2012,"NRC",345599,6604.22319892987,34629.1583166333,19.5314877839573
2013,"NRC",352973,6745.13663290655,35368.0360721443,2.13368672941762
2014,"NRC",411762,7868.56487674374,41258.7174348697,16.6553815730948
2015,"NRC",395080,7549.78024077967,39587.1743486974,-4.05136948042801
2016,"NRC",374670,7159.75539843302,37542.0841683367,-5.16604232054268
2017,"NRC",386432,7384.52130708962,38720.6412825651,3.13929591373742
2018,"NRC",424814,8117.98203707242,42566.5330661323,9.93240725405763
2019,"NRC",441717,8440.98987196637,44260.2204408818,3.97891783227483
2020,"NRC",394581,7540.24460156698,39537.1743486974,-10.6710857856954
2021,"NRC",407673,7790.42614179247,40848.997995992,3.31794992663103
2022,"NRC",505523,9660.29046436079,50653.6072144289,24.0020800985103
2023,"NRC",623036,11905.9048347028,62428.4569138277,23.2458265993832
2024,"NRC",629156,12022.8549589146,63041.6833667335,0.982286737845004
