window,ecdet,p,r,T,m,K,gate_ok,gate_T_eff,gate_min_eff,runtime_ok,runtime_reason,logLik,k_total,PIC,BIC,comparable_p,status,PIC_obs,BIC_obs
fordism,none,1,1,49,4,2,TRUE,48,25,TRUE,NA,-83.49693010573402,8,209.30190066544586,198.12842259635306,TRUE,computed,209.30190066544586,198.12842259635306
fordism,none,1,2,49,4,2,TRUE,48,25,TRUE,NA,-75.96629022600409,16,236.54866135996377,214.2017052217782,TRUE,computed,236.54866135996377,214.2017052217782
fordism,none,1,3,49,4,2,TRUE,48,25,TRUE,NA,-70.47906103390747,24,267.8822434297483,234.36180922246996,TRUE,computed,267.8822434297483,234.36180922246996
fordism,none,2,0,49,4,3,TRUE,47,30,TRUE,NA,NA,16,NA,NA,TRUE,missing,NA,NA
fordism,none,2,1,49,4,3,TRUE,47,30,TRUE,NA,-68.16399143178846,24,263.2521042255103,229.73167001823197,TRUE,computed,263.2521042255103,229.73167001823197
fordism,none,2,2,49,4,3,TRUE,47,30,TRUE,NA,-58.3192636065093,32,285.8706890289298,241.17677675255865,TRUE,computed,285.8706890289298,241.17677675255865
fordism,none,2,3,49,4,3,TRUE,47,30,TRUE,NA,-54.35907803891459,40,320.2583583477182,264.3909680022542,TRUE,computed,320.2583583477182,264.3909680022542
fordism,none,3,0,49,4,4,TRUE,46,35,TRUE,NA,NA,32,NA,NA,TRUE,missing,NA,NA
fordism,none,3,1,49,4,4,TRUE,46,35,TRUE,NA,-53.80930213137267,40,319.15880653263434,263.2914161871704,TRUE,computed,319.15880653263434,263.2914161871704
fordism,none,3,2,49,4,4,TRUE,46,35,TRUE,NA,-43.93721201650129,48,341.7226667568694,274.6817983423126,TRUE,computed,341.7226667568694,274.6817983423126
fordism,none,3,3,49,4,4,TRUE,46,35,TRUE,NA,-40.34090590304723,56,376.8380949839391,298.62374850028954,TRUE,computed,376.8380949839391,298.62374850028954
fordism,none,4,0,49,4,5,TRUE,45,40,TRUE,NA,NA,48,NA,NA,FALSE,missing,NA,NA
fordism,none,4,1,49,4,5,TRUE,45,40,TRUE,NA,-25.971932781300836,56,348.1001487404463,269.88580225679675,FALSE,computed,348.1001487404463,269.88580225679675
fordism,none,4,2,49,4,5,TRUE,45,40,TRUE,NA,-14.504326658980919,64,367.47297694978425,278.08515239704195,FALSE,computed,367.47297694978425,278.08515239704195
fordism,none,4,3,49,4,5,TRUE,45,40,TRUE,NA,-12.318252711242096,72,405.4088695082844,304.8475668864493,FALSE,computed,405.4088695082844,304.8475668864493
fordism,none,5,0,49,4,6,FALSE,44,45,FALSE,gate_fail: T_eff=44 <= min_eff=45,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
fordism,none,5,1,49,4,6,FALSE,44,45,FALSE,gate_fail: T_eff=44 <= min_eff=45,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
fordism,none,5,2,49,4,6,FALSE,44,45,FALSE,gate_fail: T_eff=44 <= min_eff=45,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
fordism,none,5,3,49,4,6,FALSE,44,45,FALSE,gate_fail: T_eff=44 <= min_eff=45,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
fordism,none,6,0,49,4,7,FALSE,43,50,FALSE,gate_fail: T_eff=43 <= min_eff=50,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
fordism,none,6,1,49,4,7,FALSE,43,50,FALSE,gate_fail: T_eff=43 <= min_eff=50,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
fordism,none,6,2,49,4,7,FALSE,43,50,FALSE,gate_fail: T_eff=43 <= min_eff=50,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
fordism,none,6,3,49,4,7,FALSE,43,50,FALSE,gate_fail: T_eff=43 <= min_eff=50,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
fordism,none,7,0,49,4,8,FALSE,42,55,FALSE,gate_fail: T_eff=42 <= min_eff=55,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
fordism,none,7,1,49,4,8,FALSE,42,55,FALSE,gate_fail: T_eff=42 <= min_eff=55,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
fordism,none,7,2,49,4,8,FALSE,42,55,FALSE,gate_fail: T_eff=42 <= min_eff=55,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
fordism,none,7,3,49,4,8,FALSE,42,55,FALSE,gate_fail: T_eff=42 <= min_eff=55,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
fordism,const,1,0,49,4,2,TRUE,48,30,TRUE,NA,NA,4,NA,NA,TRUE,missing,NA,NA
fordism,const,1,1,49,4,2,TRUE,48,30,TRUE,NA,-85.08627545575628,12,233.63461159247925,216.87439448884007,TRUE,computed,233.63461159247925,216.87439448884007
fordism,const,1,2,49,4,2,TRUE,48,30,TRUE,NA,-77.26508397065732,20,260.30026907625916,232.36657390352715,TRUE,computed,260.30026907625916,232.36657390352715
fordism,const,1,3,49,4,2,TRUE,48,30,TRUE,NA,-71.59229708542337,28,291.26273575976904,252.15556251794428,TRUE,computed,291.26273575976904,252.15556251794428
fordism,const,2,0,49,4,3,TRUE,47,35,TRUE,NA,NA,20,NA,NA,TRUE,missing,NA,NA
fordism,const,2,1,49,4,3,TRUE,47,35,TRUE,NA,-69.98114073978667,28,288.04042306849567,248.93324982667087,TRUE,computed,288.04042306849567,248.93324982667087
fordism,const,2,2,49,4,3,TRUE,47,35,TRUE,NA,-59.550186386064624,36,309.48655481502936,259.2059035041118,TRUE,computed,309.48655481502936,259.2059035041118
fordism,const,2,3,49,4,3,TRUE,47,35,TRUE,NA,-55.58820527500157,44,343.87063304688104,282.4165036668707,TRUE,computed,343.87063304688104,282.4165036668707
fordism,const,3,0,49,4,4,TRUE,46,40,TRUE,NA,NA,36,NA,NA,TRUE,missing,NA,NA
fordism,const,3,1,49,4,4,TRUE,46,40,TRUE,NA,-55.51218949479994,44,343.7186014864778,282.26447210646745,TRUE,computed,343.7186014864778,282.26447210646745
fordism,const,3,2,49,4,4,TRUE,46,40,TRUE,NA,-45.311292714306234,52,365.6248483794682,292.997240930365,TRUE,computed,365.6248483794682,292.997240930365
fordism,const,3,3,49,4,4,TRUE,46,40,TRUE,NA,-41.714037657544765,60,400.73837871992305,316.93729320172713,TRUE,computed,400.73837871992305,316.93729320172713
fordism,const,4,0,49,4,5,FALSE,45,45,FALSE,gate_fail: T_eff=45 <= min_eff=45,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
fordism,const,4,1,49,4,5,FALSE,45,45,FALSE,gate_fail: T_eff=45 <= min_eff=45,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
fordism,const,4,2,49,4,5,FALSE,45,45,FALSE,gate_fail: T_eff=45 <= min_eff=45,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
fordism,const,4,3,49,4,5,FALSE,45,45,FALSE,gate_fail: T_eff=45 <= min_eff=45,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
fordism,const,5,0,49,4,6,FALSE,44,50,FALSE,gate_fail: T_eff=44 <= min_eff=50,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
fordism,const,5,1,49,4,6,FALSE,44,50,FALSE,gate_fail: T_eff=44 <= min_eff=50,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
fordism,const,5,2,49,4,6,FALSE,44,50,FALSE,gate_fail: T_eff=44 <= min_eff=50,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
fordism,const,5,3,49,4,6,FALSE,44,50,FALSE,gate_fail: T_eff=44 <= min_eff=50,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
fordism,const,6,0,49,4,7,FALSE,43,55,FALSE,gate_fail: T_eff=43 <= min_eff=55,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
fordism,const,6,1,49,4,7,FALSE,43,55,FALSE,gate_fail: T_eff=43 <= min_eff=55,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
fordism,const,6,2,49,4,7,FALSE,43,55,FALSE,gate_fail: T_eff=43 <= min_eff=55,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
fordism,const,6,3,49,4,7,FALSE,43,55,FALSE,gate_fail: T_eff=43 <= min_eff=55,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
fordism,const,7,0,49,4,8,FALSE,42,60,FALSE,gate_fail: T_eff=42 <= min_eff=60,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
fordism,const,7,1,49,4,8,FALSE,42,60,FALSE,gate_fail: T_eff=42 <= min_eff=60,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
fordism,const,7,2,49,4,8,FALSE,42,60,FALSE,gate_fail: T_eff=42 <= min_eff=60,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
fordism,const,7,3,49,4,8,FALSE,42,60,FALSE,gate_fail: T_eff=42 <= min_eff=60,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
post_fordism,none,1,0,50,4,2,TRUE,49,25,TRUE,NA,NA,0,NA,NA,TRUE,missing,NA,NA
post_fordism,none,1,1,50,4,2,TRUE,49,25,TRUE,NA,-96.04502056902771,8,234.77974597421897,223.3862251814806,TRUE,computed,234.77974597421897,223.3862251814806
post_fordism,none,1,2,50,4,2,TRUE,49,25,TRUE,NA,-88.60230883369726,16,262.5840273397216,239.79698575424487,TRUE,computed,262.5840273397216,239.79698575424487
post_fordism,none,1,3,50,4,2,TRUE,49,25,TRUE,NA,-82.01815240651146,24,292.1054193215135,257.92485694329844,TRUE,computed,292.1054193215135,257.92485694329844
post_fordism,none,2,0,50,4,3,TRUE,48,30,TRUE,NA,NA,16,NA,NA,TRUE,missing,NA,NA
post_fordism,none,2,1,50,4,3,TRUE,48,30,TRUE,NA,-79.70509781610289,24,287.4793101406964,253.2987477624813,TRUE,computed,287.4793101406964,253.2987477624813
post_fordism,none,2,2,50,4,3,TRUE,48,30,TRUE,NA,-73.35790306494087,32,317.4746254745359,271.9005423035824,TRUE,computed,317.4746254745359,271.9005423035824
post_fordism,none,2,3,50,4,3,TRUE,48,30,TRUE,NA,-69.53169632179112,40,352.5119168243999,295.54431286070803,TRUE,computed,352.5119168243999,295.54431286070803
post_fordism,none,3,0,50,4,4,TRUE,47,35,TRUE,NA,NA,32,NA,NA,TRUE,missing,NA,NA
post_fordism,none,3,1,50,4,4,TRUE,47,35,TRUE,NA,-67.25255551509127,40,347.95363521100023,290.98603124730835,TRUE,computed,347.95363521100023,290.98603124730835
post_fordism,none,3,2,50,4,4,TRUE,47,35,TRUE,NA,-56.59762393935801,48,369.3334768956973,300.972352139267,TRUE,computed,369.3334768956973,300.972352139267
post_fordism,none,3,3,50,4,4,TRUE,47,35,TRUE,NA,-53.957080406737944,56,406.7420946666207,326.98744911745206,TRUE,computed,406.7420946666207,326.98744911745206
post_fordism,none,4,0,50,4,5,TRUE,46,40,TRUE,NA,NA,48,NA,NA,FALSE,missing,NA,NA
post_fordism,none,4,1,50,4,5,TRUE,46,40,TRUE,NA,-52.59276531773706,56,404.013464488619,324.2588189394503,FALSE,computed,404.013464488619,324.2588189394503
post_fordism,none,4,2,50,4,5,TRUE,46,40,TRUE,NA,-39.384110433092815,64,420.28585955549397,329.137693213587,FALSE,computed,420.28585955549397,329.137693213587
post_fordism,none,4,3,50,4,5,TRUE,46,40,TRUE,NA,-36.24161332263452,72,456.6905701707409,354.1488830360955,FALSE,computed,456.6905701707409,354.1488830360955
post_fordism,none,5,0,50,4,6,FALSE,45,45,FALSE,gate_fail: T_eff=45 <= min_eff=45,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
post_fordism,none,5,1,50,4,6,FALSE,45,45,FALSE,gate_fail: T_eff=45 <= min_eff=45,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
post_fordism,none,5,2,50,4,6,FALSE,45,45,FALSE,gate_fail: T_eff=45 <= min_eff=45,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
post_fordism,none,5,3,50,4,6,FALSE,45,45,FALSE,gate_fail: T_eff=45 <= min_eff=45,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
post_fordism,none,6,0,50,4,7,FALSE,44,50,FALSE,gate_fail: T_eff=44 <= min_eff=50,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
post_fordism,none,6,1,50,4,7,FALSE,44,50,FALSE,gate_fail: T_eff=44 <= min_eff=50,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
post_fordism,none,6,2,50,4,7,FALSE,44,50,FALSE,gate_fail: T_eff=44 <= min_eff=50,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
post_fordism,none,6,3,50,4,7,FALSE,44,50,FALSE,gate_fail: T_eff=44 <= min_eff=50,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
post_fordism,none,7,0,50,4,8,FALSE,43,55,FALSE,gate_fail: T_eff=43 <= min_eff=55,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
post_fordism,none,7,1,50,4,8,FALSE,43,55,FALSE,gate_fail: T_eff=43 <= min_eff=55,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
post_fordism,none,7,2,50,4,8,FALSE,43,55,FALSE,gate_fail: T_eff=43 <= min_eff=55,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
post_fordism,none,7,3,50,4,8,FALSE,43,55,FALSE,gate_fail: T_eff=43 <= min_eff=55,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
post_fordism,const,1,0,50,4,2,TRUE,49,30,TRUE,NA,NA,4,NA,NA,TRUE,missing,NA,NA
post_fordism,const,1,1,50,4,2,TRUE,49,30,TRUE,NA,-99.49375313334049,12,263.0220635209263,245.93178233181874,TRUE,computed,263.0220635209263,245.93178233181874
post_fordism,const,1,2,50,4,2,TRUE,49,30,TRUE,NA,-89.74424882403845,20,286.2127597384858,257.72895775663983,TRUE,computed,286.2127597384858,257.72895775663983
post_fordism,const,1,3,50,4,2,TRUE,49,30,TRUE,NA,-83.10065186448149,28,315.61527065553537,275.7379478809511,TRUE,computed,315.61527065553537,275.7379478809511
post_fordism,const,2,0,50,4,3,TRUE,48,35,TRUE,NA,NA,20,NA,NA,TRUE,missing,NA,NA
post_fordism,const,2,1,50,4,3,TRUE,48,35,TRUE,NA,-83.31859561787434,28,316.0511581623211,276.17383538773674,TRUE,computed,316.0511581623211,276.17383538773674
post_fordism,const,2,2,50,4,3,TRUE,48,35,TRUE,NA,-75.46095349371117,36,343.0255787501583,291.7547351828356,TRUE,computed,343.0255787501583,291.7547351828356
post_fordism,const,2,3,50,4,3,TRUE,48,35,TRUE,NA,-70.9129551133137,44,376.61928682552684,313.9549224654658,TRUE,computed,376.61928682552684,313.9549224654658
post_fordism,const,3,0,50,4,4,TRUE,47,40,TRUE,NA,NA,36,NA,NA,TRUE,missing,NA,NA
post_fordism,const,3,1,50,4,4,TRUE,47,40,TRUE,NA,-69.64078528264987,44,374.0749471641992,311.41058280413813,TRUE,computed,374.0749471641992,311.41058280413813
post_fordism,const,3,2,50,4,4,TRUE,47,40,TRUE,NA,-58.10860066924256,52,393.7002827735481,319.64239762074874,TRUE,computed,393.7002827735481,319.64239762074874
post_fordism,const,3,3,50,4,4,TRUE,47,40,TRUE,NA,-54.41137594237549,60,428.99553815597756,343.5441322104397,TRUE,computed,428.99553815597756,343.5441322104397
post_fordism,const,4,0,50,4,5,TRUE,46,45,TRUE,NA,NA,52,NA,NA,FALSE,missing,NA,NA
post_fordism,const,4,1,50,4,5,TRUE,46,45,TRUE,NA,-55.14427635262818,60,430.4613389764829,345.00993303094515,FALSE,computed,430.4613389764829,345.00993303094515
post_fordism,const,4,2,50,4,5,TRUE,46,45,TRUE,NA,-41.88027846221755,68,446.6230480318252,349.778121293549,FALSE,computed,446.6230480318252,349.778121293549
post_fordism,const,4,3,50,4,5,TRUE,46,45,TRUE,NA,-38.46979554377717,76,482.491787031108,374.25333950009343,FALSE,computed,482.491787031108,374.25333950009343
post_fordism,const,5,0,50,4,6,FALSE,45,50,FALSE,gate_fail: T_eff=45 <= min_eff=50,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
post_fordism,const,5,1,50,4,6,FALSE,45,50,FALSE,gate_fail: T_eff=45 <= min_eff=50,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
post_fordism,const,5,2,50,4,6,FALSE,45,50,FALSE,gate_fail: T_eff=45 <= min_eff=50,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
post_fordism,const,5,3,50,4,6,FALSE,45,50,FALSE,gate_fail: T_eff=45 <= min_eff=50,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
post_fordism,const,6,0,50,4,7,FALSE,44,55,FALSE,gate_fail: T_eff=44 <= min_eff=55,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
post_fordism,const,6,1,50,4,7,FALSE,44,55,FALSE,gate_fail: T_eff=44 <= min_eff=55,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
post_fordism,const,6,2,50,4,7,FALSE,44,55,FALSE,gate_fail: T_eff=44 <= min_eff=55,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
post_fordism,const,6,3,50,4,7,FALSE,44,55,FALSE,gate_fail: T_eff=44 <= min_eff=55,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
post_fordism,const,7,0,50,4,8,FALSE,43,60,FALSE,gate_fail: T_eff=43 <= min_eff=60,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
post_fordism,const,7,1,50,4,8,FALSE,43,60,FALSE,gate_fail: T_eff=43 <= min_eff=60,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
post_fordism,const,7,2,50,4,8,FALSE,43,60,FALSE,gate_fail: T_eff=43 <= min_eff=60,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
post_fordism,const,7,3,50,4,8,FALSE,43,60,FALSE,gate_fail: T_eff=43 <= min_eff=60,NA,NA,NA,NA,FALSE,gate_fail,NA,NA
