window,ecdet,p,r,T,m,K,gate_ok,gate_T_eff,gate_min_eff,runtime_ok,runtime_reason,logLik,k_total,PIC,BIC,comparable_p,status,PIC_obs,BIC_obs,grid
post_fordism,none,3,2,50,4,4,TRUE,47,35,TRUE,NA,-56.59762393935801,48,369.3334768956973,300.972352139267,TRUE,computed,369.3334768956973,300.972352139267,comparable
post_fordism,none,3,3,50,4,4,TRUE,47,35,TRUE,NA,-53.957080406737944,56,406.7420946666207,326.98744911745206,TRUE,computed,406.7420946666207,326.98744911745206,comparable
post_fordism,const,1,1,50,4,2,TRUE,49,30,TRUE,NA,-99.49375313334049,12,263.0220635209263,245.93178233181874,TRUE,computed,263.0220635209263,245.93178233181874,comparable
post_fordism,const,1,2,50,4,2,TRUE,49,30,TRUE,NA,-89.74424882403845,20,286.2127597384858,257.72895775663983,TRUE,computed,286.2127597384858,257.72895775663983,comparable
post_fordism,const,1,3,50,4,2,TRUE,49,30,TRUE,NA,-83.10065186448149,28,315.61527065553537,275.7379478809511,TRUE,computed,315.61527065553537,275.7379478809511,comparable
post_fordism,const,2,1,50,4,3,TRUE,48,35,TRUE,NA,-83.31859561787434,28,316.0511581623211,276.17383538773674,TRUE,computed,316.0511581623211,276.17383538773674,comparable
post_fordism,const,2,2,50,4,3,TRUE,48,35,TRUE,NA,-75.46095349371117,36,343.0255787501583,291.7547351828356,TRUE,computed,343.0255787501583,291.7547351828356,comparable
post_fordism,const,2,3,50,4,3,TRUE,48,35,TRUE,NA,-70.9129551133137,44,376.61928682552684,313.9549224654658,TRUE,computed,376.61928682552684,313.9549224654658,comparable
post_fordism,const,3,1,50,4,4,TRUE,47,40,TRUE,NA,-69.64078528264987,44,374.0749471641992,311.41058280413813,TRUE,computed,374.0749471641992,311.41058280413813,comparable
post_fordism,const,3,2,50,4,4,TRUE,47,40,TRUE,NA,-58.10860066924256,52,393.7002827735481,319.64239762074874,TRUE,computed,393.7002827735481,319.64239762074874,comparable
post_fordism,const,3,3,50,4,4,TRUE,47,40,TRUE,NA,-54.41137594237549,60,428.99553815597756,343.5441322104397,TRUE,computed,428.99553815597756,343.5441322104397,comparable
