window,ecdet,p,r,T,m,K,gate_ok,gate_T_eff,gate_min_eff,runtime_ok,runtime_reason,logLik,k_total,PIC,BIC,comparable_p,status,PIC_obs,BIC_obs,spec,basis
full,none,6,2,99,5,7,TRUE,93,55,TRUE,NA,148.5919452386396,145,718.9085471126542,369.10848779223636,TRUE,computed,718.9085471126542,369.10848779223636,Q2,raw
full,none,6,3,99,5,7,TRUE,93,55,TRUE,NA,153.87598177852877,155,778.4158145563197,404.4916132138039,TRUE,computed,778.4158145563197,404.4916132138039,Q2,raw
full,none,6,4,99,5,7,TRUE,93,55,TRUE,NA,156.7228399005912,165,842.7974388356383,444.7490954710249,TRUE,computed,842.7974388356383,444.7490954710249,Q2,raw
full,none,7,0,99,5,8,TRUE,92,60,TRUE,NA,NA,150,NA,NA,TRUE,missing,NA,NA,Q2,raw
full,none,7,1,99,5,8,TRUE,92,60,TRUE,NA,177.17745842690985,160,766.8505315212792,380.8642591677147,TRUE,computed,766.8505315212792,380.8642591677147,Q2,raw
full,none,7,2,99,5,8,TRUE,92,60,TRUE,NA,191.00703502825536,170,809.2667188420319,399.15630446636953,TRUE,computed,809.2667188420319,399.15630446636953,Q2,raw
full,none,7,3,99,5,8,TRUE,92,60,TRUE,NA,199.80409925266963,180,861.747930916647,427.51337451888685,TRUE,computed,861.747930916647,427.51337451888685,Q2,raw
full,none,7,4,99,5,8,TRUE,92,60,TRUE,NA,204.14270300358075,190,923.1460639382685,464.7873655184106,TRUE,computed,923.1460639382685,464.7873655184106,Q2,raw
full,const,1,0,99,5,2,TRUE,98,35,TRUE,NA,NA,0,NA,NA,TRUE,missing,NA,NA,Q2,raw
full,const,1,1,99,5,2,TRUE,98,35,TRUE,NA,1.7247975978279548,11,73.63327938013214,47.09672315582458,TRUE,computed,73.63327938013214,47.09672315582458,Q2,raw
