"window","ecdet","p","r","T","m","logdet","k_par","PIC","BIC"
"full","trend",2,0,99,4,-22.2703246493448,32,-20.7850333846548,124.773510554962
"full","trend",2,1,99,4,-22.7324635983696,39,-20.9222648695287,156.477210556879
"full","trend",2,2,99,4,-23.0056060533625,44,-20.9633305644138,179.179667352559
"full","trend",2,3,99,4,-23.1918985448358,47,-21.0103769998224,192.77873441149
"full","trend",3,0,99,4,-22.4923124458901,48,-20.2643755488552,198.07344036057
"full","trend",3,1,99,4,-22.9839140052657,55,-20.4310696440798,229.747677752137
"full","trend",3,2,99,4,-23.2444839944017,60,-20.459562873108,252.462707013674
"full","trend",3,3,99,4,-23.3644572531638,63,-20.4402900758055,266.128093305315
"full","trend",4,0,99,4,-22.6378451584521,64,-19.6672626290721,271.449825250162
"full","trend",4,1,99,4,-23.1676788910939,71,-19.872188897563,303.085830468462
"full","trend",4,2,99,4,-23.5688907803061,76,-20.0413240266674,325.660217829923
"full","trend",4,3,99,4,-23.6744242310815,79,-20.0076114213782,339.340043929551
"full","trend",5,0,99,4,-23.0635888941677,80,-19.3503607324428,344.545999116599
"full","trend",5,1,99,4,-23.6814891952472,87,-19.6433535693714,376.093937766462
"full","trend",5,2,99,4,-24.0238034439476,92,-19.753591057964,398.727222768435
"full","trend",5,3,99,4,-24.1551102003923,95,-19.745651758344,412.381275562394
"full","trend",6,0,99,4,-23.5049525806331,96,-19.0490787865632,417.626553032287
"full","trend",6,1,99,4,-24.0187607825725,103,-19.2379795243517,449.27858378129
"full","trend",6,2,99,4,-24.3399679474664,108,-19.3271099291378,471.932975867069
"full","trend",6,3,99,4,-24.4715582434027,111,-19.3194541690094,485.586745121537
"full","trend",7,0,99,4,-23.8164177088224,112,-18.6178982824075,490.837005506252
"full","trend",7,1,99,4,-24.5821733055525,119,-19.0587464149867,522.237088860464
"full","trend",7,2,99,4,-24.9121378282317,124,-19.1566341775581,544.882723588457
"full","trend",7,3,99,4,-25.0992520080204,127,-19.2045023012821,558.480968959073
"ford","none",1,0,49,4,-24.0752721042036,16,-22.8044736395144,38.1938526655664
"ford","none",1,1,49,4,-25.0394149214542,23,-23.2126421284635,64.4724519350902
"ford","none",1,2,49,4,-25.3531915831096,28,-23.1292942699035,83.617776763988
"ford","none",1,3,49,4,-25.5818261327803,31,-23.119654107445,95.0646031086491
"ford","none",2,0,49,4,-24.7619916079678,32,-22.2203946785894,99.7762579315723
"ford","none",2,1,49,4,-25.6178582957836,39,-22.5202870381037,126.163133330531
"ford","none",2,2,49,4,-26.0367828840934,44,-22.5420871061982,145.203310232774
"ford","none",2,3,49,4,-26.2053014188847,47,-22.4723309288602,156.710252592315
"ford","none",3,0,49,4,-25.2152112868076,48,-21.4028158927401,161.592163022502
"ford","none",3,1,49,4,-26.1789188005827,55,-21.8105490782136,187.871197595502
"ford","none",3,2,49,4,-26.6081401099249,60,-21.8426458673405,206.901077776713
"ford","none",3,3,49,4,-26.7645012452925,63,-21.7607322905788,218.420177535677
"ford","none",4,0,49,4,-26.2887610920142,64,-21.2055672332575,222.787737987066
"ford","none",4,1,49,4,-27.3641455522463,71,-21.7249773651881,248.955095613608
"ford","none",4,2,49,4,-27.8738169354606,76,-21.837524228187,267.904525720947
"ford","none",4,3,49,4,-27.9709757775823,79,-21.6964083581795,279.482827773157
"ford","none",5,0,49,4,-27.225810789069,80,-20.8718184656231,284.119813059781
"ford","none",5,1,49,4,-29.0335489230366,87,-22.1235822712892,309.554817012588
"ford","none",5,2,49,4,-29.6812219855335,92,-22.3741308135707,328.366245440644
"ford","none",5,3,49,4,-29.8468252954591,95,-22.301459411367,339.87610302505
"ford","none",6,0,49,4,-29.0529462687274,96,-21.4281554805923,344.561802349893
"ford","none",6,1,49,4,-30.2437848067573,103,-22.0630196903207,370.613705898637
"ford","none",6,2,49,4,-30.8945456917487,108,-22.3166560550967,389.422046504199
"ford","none",6,3,49,4,-31.0390020347431,111,-22.2228376859619,400.953051055536
"ford","none",7,0,49,4,-29.7453081884501,112,-20.8497189356258,406.13856519994
"ford","none",7,1,49,4,-32.3367654448054,119,-22.8852018636796,430.789850030359
"ford","none",7,2,49,4,-32.957495880157,124,-23.1088077788158,449.628221085561
"ford","none",7,3,49,4,-33.1533308371043,127,-23.0663680236339,461.107847022945
"ford","const",1,0,49,4,-24.0752721042036,16,-22.8044736395144,38.1938526655664
"ford","const",1,1,49,4,-24.9731921985365,23,-23.1464194055458,64.5386746580079
"ford","const",1,2,49,4,-25.2990751770824,28,-23.0751778638763,83.6718931700152
"ford","const",1,3,49,4,-25.5354412973005,31,-23.0732692719652,95.110987944129
"ford","const",2,0,49,4,-24.7619916079678,32,-22.2203946785894,99.7762579315723
"ford","const",2,1,49,4,-25.5405327933157,39,-22.4429615356358,126.240458832999
"ford","const",2,2,49,4,-25.9844031913465,44,-22.4897074134512,145.255689925521
"ford","const",2,3,49,4,-26.1529981322428,47,-22.4200276422183,156.762555878957
"ford","const",3,0,49,4,-25.2152112868076,48,-21.4028158927401,161.592163022502
"ford","const",3,1,49,4,-26.1048802195645,55,-21.7365104971954,187.94523617652
"ford","const",3,2,49,4,-26.5483974708901,60,-21.7829032283057,206.960820415747
"ford","const",3,3,49,4,-26.7047998646626,63,-21.7010309099489,218.479878916307
"ford","const",4,0,49,4,-26.2887610920142,64,-21.2055672332575,222.787737987066
"ford","const",4,1,49,4,-27.3295715496232,71,-21.690403362565,248.989669616231
"ford","const",4,2,49,4,-27.8421763755202,76,-21.8058836682466,267.936166280887
"ford","const",4,3,49,4,-27.9411299171598,79,-21.6665624977569,279.51267363358
"ford","const",5,0,49,4,-27.225810789069,80,-20.8718184656231,284.119813059781
"ford","const",5,1,49,4,-28.9278249470169,87,-22.0178582952694,309.660540988608
"ford","const",5,2,49,4,-29.5827697815378,92,-22.275678609575,328.46469764464
"ford","const",5,3,49,4,-29.8176239957335,95,-22.2722581116415,339.905304324776
"ford","const",6,0,49,4,-29.0529462687274,96,-21.4281554805923,344.561802349893
"ford","const",6,1,49,4,-29.864077663225,103,-21.6833125467883,370.99341304217
"ford","const",6,2,49,4,-30.5150684690993,108,-21.9371788324473,389.801523726848
"ford","const",6,3,49,4,-30.9295718045209,111,-22.1134074557397,401.062481285759
"ford","const",7,0,49,4,-29.7453081884501,112,-20.8497189356258,406.13856519994
"ford","const",7,1,49,4,-31.4570911876597,119,-22.0055276065339,431.669524287505
"ford","const",7,2,49,4,-32.4045520341726,124,-22.5558639328314,450.181164931545
"ford","const",7,3,49,4,-33.0236760454629,127,-22.9367132319925,461.237501814587
"ford","trend",1,0,49,4,-24.0752721042036,16,-22.8044736395144,38.1938526655664
"ford","trend",1,1,49,4,-25.0459742968689,23,-23.2192015038782,64.4658925596755
"ford","trend",1,2,49,4,-25.3602281568075,28,-23.1363308436014,83.61074019029
"ford","trend",1,3,49,4,-25.6109831976105,31,-23.1488111722752,95.0354460438189
"ford","trend",2,0,49,4,-24.7619916079678,32,-22.2203946785894,99.7762579315723
"ford","trend",2,1,49,4,-25.6870939580064,39,-22.5895227003265,126.093897668308
"ford","trend",2,2,49,4,-26.10929105774,44,-22.6145952798447,145.130802059128
"ford","trend",2,3,49,4,-26.362887400059,47,-22.6299169100345,156.55266661114
"ford","trend",3,0,49,4,-25.2152112868076,48,-21.4028158927401,161.592163022502
"ford","trend",3,1,49,4,-26.2555267961672,55,-21.8871570737982,187.794589599917
"ford","trend",3,2,49,4,-26.7216876720103,60,-21.9561934294258,206.787530214627
"ford","trend",3,3,49,4,-27.0366008475601,63,-22.0328318928464,218.148077933409
"ford","trend",4,0,49,4,-26.2887610920142,64,-21.2055672332575,222.787737987066
"ford","trend",4,1,49,4,-27.4841646350487,71,-21.8449964479904,248.835076530806
"ford","trend",4,2,49,4,-28.4587397427767,76,-22.4224470355031,267.319602913631
"ford","trend",4,3,49,4,-28.9513000168117,79,-22.6767325974089,278.502503533928
"ford","trend",5,0,49,4,-27.225810789069,80,-20.8718184656231,284.119813059781
"ford","trend",5,1,49,4,-29.4625217146559,87,-22.5525550629084,309.125844220969
"ford","trend",5,2,49,4,-30.6377465842695,92,-23.3306554123067,327.409720841908
"ford","trend",5,3,49,4,-31.1999214886855,95,-23.6545556045934,338.523006831824
"ford","trend",6,0,49,4,-29.0529462687274,96,-21.4281554805923,344.561802349893
"ford","trend",6,1,49,4,-30.8586134713942,103,-22.6778483549576,369.998877234
"ford","trend",6,2,49,4,-31.6691655008289,108,-23.0912758641769,388.647426695119
"ford","trend",6,3,49,4,-32.2805539696871,111,-23.4643896209059,399.711499120592
"ford","trend",7,0,49,4,-29.7453081884501,112,-20.8497189356258,406.13856519994
"ford","trend",7,1,49,4,-32.8535940982174,119,-23.4020305170916,430.273021376947
"ford","trend",7,2,49,4,-34.2557596876222,124,-24.407071586281,448.329957278095
"ford","trend",7,3,49,4,-34.8510116357856,127,-24.7640488223152,459.410166224264
"post","none",1,0,50,4,-23.8205107475842,16,-22.5686633858472,38.7718573392662
"post","none",1,1,50,4,-24.598248754675,23,-22.7987181721781,65.3782803701723
"post","none",1,2,50,4,-24.9020329071375,28,-22.7113000240977,84.6346112448506
"post","none",1,3,50,4,-25.1707739857982,31,-22.7453197224327,96.1019391824744
"post","none",2,0,50,4,-24.4856296946051,32,-21.9819349711311,100.699106479096
"post","none",2,1,50,4,-25.1974079335222,39,-22.1460299892883,127.371489278175
"post","none",2,2,50,4,-25.4618743814872,44,-22.0192941367104,146.667137857351
"post","none",2,3,50,4,-25.6212996624517,47,-21.9439980373493,158.243781592671
"post","none",3,0,50,4,-24.7551527836184,48,-20.9996106984074,163.021951476933
"post","none",3,1,50,4,-25.6566428028774,55,-21.3534174969064,189.504622495671
"post","none",3,2,50,4,-26.1100441465252,60,-21.4156165400115,208.611336179164
"post","none",3,3,50,4,-26.2224077011049,63,-21.2932587142654,220.235041640868
"post","none",4,0,50,4,-25.4030884061117,64,-20.3956989591636,224.96638394129
"post","none",4,1,50,4,-26.2318117055231,71,-20.6767390378152,251.521821679875
"post","none",4,2,50,4,-26.8061010483339,76,-20.8598260800831,270.507647364205
"post","none",4,3,50,4,-26.9427313574843,79,-20.7617350089078,282.107086071339
"post","none",5,0,50,4,-26.0855399257799,80,-19.8263031170949,286.876300508472
"post","none",5,1,50,4,-27.4661273918988,87,-20.6592073624538,312.87987408035
"post","none",5,2,50,4,-27.8906805414854,92,-20.6925582114977,332.015435957904
"post","none",5,3,50,4,-28.1437330600511,95,-20.7108893497376,343.498452455623
"post","none",6,0,50,4,-26.9354193989826,96,-19.4243352285606,348.618789122119
"post","none",6,1,50,4,-28.5343206203998,103,-20.4755532292179,374.404048938699
"post","none",6,2,50,4,-29.0359163636464,108,-20.5859466719216,393.462568222593
"post","none",6,3,50,4,-29.2747447160267,111,-20.5900536439762,404.959808886498
"post","none",7,0,50,4,-27.6877076587634,112,-18.9247761266043,410.458868949189
"post","none",7,1,50,4,-30.7247000694004,119,-21.4140853164814,434.806037576549
"post","none",7,2,50,4,-31.8282944250256,124,-22.1264773715638,453.262558248064
"post","none",7,3,50,4,-32.0822286470294,127,-22.1456902132419,464.744693042345
"post","const",1,0,50,4,-23.8205107475842,16,-22.5686633858472,38.7718573392662
"post","const",1,1,50,4,-24.4574841602127,23,-22.6579535777157,65.5190449646347
"post","const",1,2,50,4,-24.855423111613,28,-22.6646902285732,84.6812210403751
"post","const",1,3,50,4,-25.1265903344525,31,-22.701136071087,96.1461228338201
"post","const",2,0,50,4,-24.4856296946051,32,-21.9819349711311,100.699106479096
"post","const",2,1,50,4,-25.0468455251203,39,-21.9954675808863,127.522051686577
"post","const",2,2,50,4,-25.3742472802888,44,-21.931667035512,146.75476495855
"post","const",2,3,50,4,-25.5637472128052,47,-21.8864455877027,158.301334042318
"post","const",3,0,50,4,-24.7551527836184,48,-20.9996106984074,163.021951476933
"post","const",3,1,50,4,-25.5550160042613,55,-21.2517906982903,189.606249294287
"post","const",3,2,50,4,-26.0457472643998,60,-21.351319657886,208.675633061289
"post","const",3,3,50,4,-26.2030759761847,63,-21.2739269893452,220.254373365788
"post","const",4,0,50,4,-25.4030884061117,64,-20.3956989591636,224.96638394129
"post","const",4,1,50,4,-26.1208764431353,71,-20.5658037754273,251.632756942263
"post","const",4,2,50,4,-26.6975720035873,76,-20.7512970353365,270.616176408952
"post","const",4,3,50,4,-26.8458538696056,79,-20.6648575210291,282.203963559218
"post","const",5,0,50,4,-26.0855399257799,80,-19.8263031170949,286.876300508472
"post","const",5,1,50,4,-27.2945714685414,87,-20.4876514390965,313.051430003707
"post","const",5,2,50,4,-27.7194311939167,92,-20.5213088639289,332.186685305473
"post","const",5,3,50,4,-27.9729127127635,95,-20.54006900245,343.66927280291
"post","const",6,0,50,4,-26.9354193989826,96,-19.4243352285606,348.618789122119
"post","const",6,1,50,4,-28.1755553551367,103,-20.1167879639547,374.762814203962
"post","const",6,2,50,4,-28.6818425137637,108,-20.2318728220389,393.816642072476
"post","const",6,3,50,4,-29.0872659825287,111,-20.4025749104782,405.147287619995
"post","const",7,0,50,4,-27.6877076587634,112,-18.9247761266043,410.458868949189
"post","const",7,1,50,4,-30.107473665807,119,-20.796858912888,435.423263980142
"post","const",7,2,50,4,-31.4347373422474,124,-21.7329202887856,453.656115330843
"post","const",7,3,50,4,-31.9976878744006,127,-22.0611494406131,464.829233814974
"post","trend",1,0,50,4,-23.8205107475842,16,-22.5686633858472,38.7718573392662
"post","trend",1,1,50,4,-24.6236102290017,23,-22.8240796465048,65.3529188958456
"post","trend",1,2,50,4,-25.044246355202,28,-22.8535134721622,84.4923977967861
"post","trend",1,3,50,4,-25.3383582715443,31,-22.9129040081789,95.9343548967282
"post","trend",2,0,50,4,-24.4856296946051,32,-21.9819349711311,100.699106479096
"post","trend",2,1,50,4,-25.2284438533553,39,-22.1770659091214,127.340453358342
"post","trend",2,2,50,4,-25.6914284323851,44,-22.2488481876083,146.437583806453
"post","trend",2,3,50,4,-25.9557799898631,47,-22.2784783647606,157.90930126526
"post","trend",3,0,50,4,-24.7551527836184,48,-20.9996106984074,163.021951476933
"post","trend",3,1,50,4,-25.7057593902125,55,-21.4025340842415,189.455505908336
"post","trend",3,2,50,4,-26.3675620921997,60,-21.673134485686,208.353818233489
"post","trend",3,3,50,4,-26.8187137793074,63,-21.8895647924679,219.638735562666
"post","trend",4,0,50,4,-25.4030884061117,64,-20.3956989591636,224.96638394129
"post","trend",4,1,50,4,-26.349085771107,71,-20.794013103399,251.404547614291
"post","trend",4,2,50,4,-27.0370319178114,76,-21.0907569495607,270.276716494728
"post","trend",4,3,50,4,-27.5965621459271,79,-21.4155657973506,281.453255282896
"post","trend",5,0,50,4,-26.0855399257799,80,-19.8263031170949,286.876300508472
"post","trend",5,1,50,4,-27.5041546179171,87,-20.6972345884721,312.841846854332
"post","trend",5,2,50,4,-28.2847721147007,92,-21.0866497847129,331.621344384689
"post","trend",5,3,50,4,-28.7077533374861,95,-21.2749096271727,342.934432178188
"post","trend",6,0,50,4,-26.9354193989826,96,-19.4243352285606,348.618789122119
"post","trend",6,1,50,4,-28.7739905379965,103,-20.7152231468146,374.164379021102
"post","trend",6,2,50,4,-29.3876977598383,108,-20.9377280681135,393.110786826402
"post","trend",6,3,50,4,-29.888130168158,111,-21.2034390961075,404.346423434366
"post","trend",7,0,50,4,-27.6877076587634,112,-18.9247761266043,410.458868949189
"post","trend",7,1,50,4,-30.8338235393899,119,-21.5232087864709,434.69691410656
"post","trend",7,2,50,4,-32.5090077380009,124,-22.8071906845391,452.581844935089
"post","trend",7,3,50,4,-33.3175657816928,127,-23.3810273479053,463.509355907682
