"basis","window","ecdet","p","r","T","m","logdet","k_par","PIC","BIC"
"Q3","ford","const",3,1,49,5,-22.93410237818,84,-16.2624104385617,303.978802663113
"Q3","ford","const",3,2,49,5,-23.7091329725501,91,-16.4814667046304,330.446514155517
"Q3","ford","const",3,3,49,5,-24.2655050232655,96,-16.6407142351304,349.349243595355
"Q3","ford","const",3,4,49,5,-24.3331066475399,99,-16.4700411472756,360.957102865412
"Q3","ford","const",4,0,49,5,-23.3759615095738,100,-15.4334711052664,365.806068301489
"Q3","ford","const",4,1,49,5,-24.7009534604146,109,-16.0436389197196,399.507459033644
"Q3","ford","const",4,2,49,5,-25.7287637457354,116,-16.5154748767388,425.722390835097
"Q3","ford","const",4,3,49,5,-26.5344829075481,121,-16.9240695183361,444.375773163838
"Q3","ford","const",4,4,49,5,-26.6072602235767,124,-16.7585721222355,455.978456742141
"Q3","post","none",1,0,50,5,-18.5912921738793,25,-16.6352806711653,79.2092829618243
"Q3","post","none",1,1,50,5,-19.6018062850643,34,-16.9416306413732,113.406975899493
"Q3","post","none",1,2,50,5,-20.1195810148512,41,-16.9117221504001,140.273362207703
"Q3","post","none",1,3,50,5,-20.4380199356259,46,-16.838958770632,159.515038314069
"Q3","post","none",1,4,50,5,-20.6047920638993,49,-16.7710095185798,171.08433520208
"Q3","post","none",2,0,50,5,-19.5801594451552,50,-15.668136439727,176.020990826252
"Q3","post","none",2,1,50,5,-20.7002607937022,59,-16.084073647297,210.109096526558
"Q3","post","none",2,2,50,5,-21.2457572381282,66,-16.0818868709631,236.947761120129
"Q3","post","none",2,3,50,5,-21.5234886998061,71,-15.9684160320981,256.230144685592
"Q3","post","none",2,4,50,5,-21.669660069949,74,-15.8798660219154,267.820042331734
"Q3","post","none",3,0,50,5,-20.2978827261316,75,-14.4298482179894,273.103842680979
"Q3","post","none",3,1,50,5,-21.3831121093736,84,-14.8109134602543,307.226820346591
"Q3","post","none",3,2,50,5,-22.0811919075177,91,-14.9613100376385,333.912901586444
"Q3","post","none",3,3,50,5,-22.5337760331691,96,-15.022691862747,353.020432487933
"Q3","post","none",3,4,50,5,-22.777029946598,99,-15.0312243958503,364.513247590788
"Q3","post","none",4,0,50,5,-21.3368489295014,100,-13.5128029186451,369.865451613313
"Q3","post","none",4,1,50,5,-22.7043210196852,109,-14.1761108678518,403.706186571983
"Q3","post","none",4,2,50,5,-23.4782423855635,116,-14.4023490129702,430.316426244101
"Q3","post","none",4,3,50,5,-23.9590546709293,121,-14.4919589977931,449.395728985876
"Q3","post","none",4,4,50,5,-24.2009278084564,124,-14.4991107549946,460.889924864634
"Q3","post","none",5,0,50,5,-22.793334818785,125,-13.0132773052146,466.209540859733
"Q3","post","none",5,1,50,5,-25.1911975521702,134,-14.7069758976228,499.019885175201
"Q3","post","none",5,2,50,5,-26.3986108457858,141,-15.3667059704784,525.196632919583
"Q3","post","none",5,3,50,5,-26.9583481952461,146,-15.5352410193959,544.197010597263
"Q3","post","none",5,4,50,5,-27.1684497019302,149,-15.5106211457544,555.722978106864
"Q3","post","const",1,0,50,5,-18.5912921738793,25,-16.6352806711653,79.2092829618243
"Q3","post","const",1,1,50,5,-19.4452372094617,34,-16.7850615657706,113.563544975095
"Q3","post","const",1,2,50,5,-19.9711967232669,41,-16.7633378588158,140.421746499287
"Q3","post","const",1,3,50,5,-20.37782711078,46,-16.7787659457861,159.575231138915
"Q3","post","const",1,4,50,5,-20.5463712956711,49,-16.7125887503515,171.142755970308
"Q3","post","const",2,0,50,5,-19.5801594451552,50,-15.668136439727,176.020990826252
"Q3","post","const",2,1,50,5,-20.4956103213377,59,-15.8794231749324,210.313746998923
"Q3","post","const",2,2,50,5,-21.0756895571874,66,-15.9118191900222,237.11782880107
"Q3","post","const",2,3,50,5,-21.4344480202665,71,-15.8793753525585,256.319185365132
"Q3","post","const",2,4,50,5,-21.6309216245034,74,-15.8411275764697,267.858780777179
"Q3","post","const",3,0,50,5,-20.2978827261316,75,-14.4298482179894,273.103842680979
"Q3","post","const",3,1,50,5,-21.2267947138019,84,-14.6545960646826,307.383137742162
"Q3","post","const",3,2,50,5,-21.9419106869629,91,-14.8220288170837,334.052182806998
"Q3","post","const",3,3,50,5,-22.4369747901315,96,-14.9258906197095,353.11723373097
"Q3","post","const",3,4,50,5,-22.763695853814,99,-15.0178903030663,364.526581683572
"Q3","post","const",4,0,50,5,-21.3368489295014,100,-13.5128029186451,369.865451613313
"Q3","post","const",4,1,50,5,-22.5321958372517,109,-14.0039856854183,403.878311754416
"Q3","post","const",4,2,50,5,-23.345335952052,116,-14.2694425794587,430.449332677613
"Q3","post","const",4,3,50,5,-23.8264144205422,121,-14.359318747406,449.528369236263
"Q3","post","const",4,4,50,5,-24.112275003051,124,-14.4104579495891,460.978577670039
