"variable_id","display_name","family_id","reporting_tier","window_id","window_start","window_end","first_value","last_value","absolute_change","relative_change","mean_annual_change","n_observed","descriptive_profile_class","testing_prohibited","estimation_prohibited","transition_label","eligibility_label"
"DELTA_G_TOT","DELTA_G_TOT","capital","TIER_A_CORE","gfc_transition_2008_2009",2008,2009,-155101.675205,-516317.841901999,-361216.166696999,232.889919608911,-335709.7585535,2,"EVENT_OR_TRANSITION_PROFILE_ONLY","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
"DELTA_G_TOT","DELTA_G_TOT","capital","TIER_A_CORE","covid_transition_2020_2021",2020,2021,-421150.9896193,-498440.1731392,-77289.1835199,18.3518940771731,-459795.58137925,2,"EVENT_OR_TRANSITION_PROFILE_ONLY","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
"DLOG_G_TOT","DLOG_G_TOT","capital","TIER_A_CORE","fordist_aftermath_1974_1978",1974,1978,0.00598191576659346,-0.00155938734076244,-0.0075413031073559,-126.068360064028,-0.190715116043379,5,"LIMITED_DESCRIPTIVE_PROFILE","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
"DLOG_G_TOT","DLOG_G_TOT","capital","TIER_A_CORE","volcker_transition_1979_1982",1979,1982,-0.00161314617139041,-0.00667385014131128,-0.00506070396992087,313.716392207591,-0.354968768498676,4,"EVENT_OR_TRANSITION_PROFILE_ONLY","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
"DLOG_G_TOT","DLOG_G_TOT","capital","TIER_A_CORE","gfc_transition_2008_2009",2008,2009,-0.00610861824844022,-0.020608106148817,-0.0144994879003768,237.361172538145,-1.33583621986286,2,"EVENT_OR_TRANSITION_PROFILE_ONLY","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
"DLOG_G_TOT","DLOG_G_TOT","capital","TIER_A_CORE","covid_transition_2020_2021",2020,2021,-0.0201106868299306,-0.0243360565028929,-0.0042253696729623,21.0105687025751,-2.22233716664118,2,"EVENT_OR_TRANSITION_PROFILE_ONLY","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
"DLOG_N_TOT","DLOG_N_TOT","capital","TIER_A_CORE","fordist_aftermath_1974_1978",1974,1978,0.00105192725827408,-0.00162778221354642,-0.0026797094718205,-254.742849445422,-0.576035810367656,5,"LIMITED_DESCRIPTIVE_PROFILE","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
"DLOG_N_TOT","DLOG_N_TOT","capital","TIER_A_CORE","volcker_transition_1979_1982",1979,1982,0.000289683074395697,-0.00586028199610666,-0.00614996507050236,-2122.99772202145,-0.208790008728865,4,"EVENT_OR_TRANSITION_PROFILE_ONLY","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
"DLOG_N_TOT","DLOG_N_TOT","capital","TIER_A_CORE","gfc_transition_2008_2009",2008,2009,-0.0090830452421109,-0.0284876102813705,-0.0194045650392596,213.635014711762,-1.87853277617407,2,"EVENT_OR_TRANSITION_PROFILE_ONLY","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
"DLOG_N_TOT","DLOG_N_TOT","capital","TIER_A_CORE","covid_transition_2020_2021",2020,2021,-0.0258000001400553,-0.0288383527167859,-0.0030383525767306,11.7765603109957,-2.73191764284206,2,"EVENT_OR_TRANSITION_PROFILE_ONLY","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
"GROWTH_ARITH_G_TOT","GROWTH_ARITH_G_TOT","capital","TIER_A_CORE","fordist_aftermath_1974_1978",1974,1978,0.00599984315359177,-0.00155817212806911,-0.00755801528166088,-125.970214356959,-0.189563621949956,5,"LIMITED_DESCRIPTIVE_PROFILE","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
"GROWTH_ARITH_G_TOT","GROWTH_ARITH_G_TOT","capital","TIER_A_CORE","volcker_transition_1979_1982",1979,1982,-0.00161184575045429,-0.0066516294634261,-0.00503978371297181,312.671588553146,-0.354156638489747,4,"EVENT_OR_TRANSITION_PROFILE_ONLY","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
"GROWTH_ARITH_G_TOT","GROWTH_ARITH_G_TOT","capital","TIER_A_CORE","gfc_transition_2008_2009",2008,2009,-0.00608999857277635,-0.0203972103349274,-0.0143072117621511,234.929640642405,-1.32436044538519,2,"EVENT_OR_TRANSITION_PROFILE_ONLY","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
"GROWTH_ARITH_G_TOT","GROWTH_ARITH_G_TOT","capital","TIER_A_CORE","covid_transition_2020_2021",2020,2021,-0.0199098157728279,-0.0240423222817991,-0.0041325065089712,20.7561263053527,-2.19760690273135,2,"EVENT_OR_TRANSITION_PROFILE_ONLY","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
"GROWTH_ARITH_N_TOT","GROWTH_ARITH_N_TOT","capital","TIER_A_CORE","fordist_aftermath_1974_1978",1974,1978,0.00105248072780514,-0.00162645809463511,-0.00267893882244025,-254.535665277877,-0.57332932519757,5,"LIMITED_DESCRIPTIVE_PROFILE","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
"GROWTH_ARITH_N_TOT","GROWTH_ARITH_N_TOT","capital","TIER_A_CORE","volcker_transition_1979_1982",1979,1982,0.000289725036589323,-0.00584314403766838,-0.0061328690742577,-2116.78947268574,-0.208290173399533,4,"EVENT_OR_TRANSITION_PROFILE_ONLY","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
"GROWTH_ARITH_N_TOT","GROWTH_ARITH_N_TOT","capital","TIER_A_CORE","gfc_transition_2008_2009",2008,2009,-0.00904191899804936,-0.0280856641833073,-0.0190437451852579,210.616188768848,-1.85637915906783,2,"EVENT_OR_TRANSITION_PROFILE_ONLY","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
"GROWTH_ARITH_N_TOT","GROWTH_ARITH_N_TOT","capital","TIER_A_CORE","covid_transition_2020_2021",2020,2021,-0.0254700240218145,-0.0284264960088814,-0.0029564719870669,11.6076529198981,-2.6948260015348,2,"EVENT_OR_TRANSITION_PROFILE_ONLY","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
"NFC_COMPENSATION_SHARE_GVA","NFC_COMPENSATION_SHARE_GVA","distribution","TIER_A_CORE","fordist_aftermath_1974_1978",1974,1978,0.654104621464026,0.636152526475711,-1.79520949883151,,-0.448802374707877,5,"LIMITED_DESCRIPTIVE_PROFILE","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
"NFC_COMPENSATION_SHARE_GVA","NFC_COMPENSATION_SHARE_GVA","distribution","TIER_A_CORE","volcker_transition_1979_1982",1979,1982,0.649784944902043,0.637923812080797,-1.1861132821246,,-0.395371094041534,4,"EVENT_OR_TRANSITION_PROFILE_ONLY","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
"NFC_COMPENSATION_SHARE_GVA","NFC_COMPENSATION_SHARE_GVA","distribution","TIER_A_CORE","gfc_transition_2008_2009",2008,2009,0.595584591788177,0.593114751011546,-0.246984077663104,,-0.246984077663104,2,"EVENT_OR_TRANSITION_PROFILE_ONLY","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
"NFC_COMPENSATION_SHARE_GVA","NFC_COMPENSATION_SHARE_GVA","distribution","TIER_A_CORE","covid_transition_2020_2021",2020,2021,0.60484793205077,0.579714486970795,-2.51334450799751,,-2.51334450799751,2,"EVENT_OR_TRANSITION_PROFILE_ONLY","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
"Y_REAL_NFC_GVA_BASELINE","Y_REAL_NFC_GVA_BASELINE","output","TIER_A_CORE","fordist_aftermath_1974_1978",1974,1978,2491175,3038745,547570,21.9803907794515,136892.5,5,"LIMITED_DESCRIPTIVE_PROFILE","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
"Y_REAL_NFC_GVA_BASELINE","Y_REAL_NFC_GVA_BASELINE","output","TIER_A_CORE","volcker_transition_1979_1982",1979,1982,3118975,3253862,134887,4.32472206413965,44962.3333333333,4,"EVENT_OR_TRANSITION_PROFILE_ONLY","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
"Y_REAL_NFC_GVA_BASELINE","Y_REAL_NFC_GVA_BASELINE","output","TIER_A_CORE","gfc_transition_2008_2009",2008,2009,8373691,7780498,-593193,-7.08400871252594,-593193,2,"EVENT_OR_TRANSITION_PROFILE_ONLY","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
"Y_REAL_NFC_GVA_BASELINE","Y_REAL_NFC_GVA_BASELINE","output","TIER_A_CORE","covid_transition_2020_2021",2020,2021,9979518,10945065,965547,9.67528692267503,965547,2,"EVENT_OR_TRANSITION_PROFILE_ONLY","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
