"source_variable_id","display_name","family_id","concept_group_id","growth_measure","growth_method","reporting_tier","window_id","window_type","window_start","window_end","n_valid_growth_observations","mean_growth","median_growth","standard_deviation_growth","variance_growth","minimum_growth","minimum_growth_year","maximum_growth","maximum_growth_year","q10_growth","q25_growth","q75_growth","q90_growth","interquartile_range_growth","mean_absolute_growth","positive_growth_years","negative_growth_years","zero_growth_years","first_valid_growth_year","last_valid_growth_year","cumulative_window_growth","compound_annual_growth_rate","cumulative_growth_valid","cumulative_growth_reason","descriptive_profile_class","short_window_flag","distributional_interpretation_allowed","testing_prohibited","estimation_prohibited"
"I_TOT_REAL_2017","I_TOT_REAL_2017","capital","TOTAL_CAPITAL_ACCUMULATION","ABSOLUTE_ANNUAL_CHANGE","EXISTING_FROZEN_DIFFERENCE_SERIES","TIER_A_CORE","fordist_core_1947_1973","NESTED",1947,1973,27,1842277.699368,1870152.88581411,205545.699101961,42249034419.3138,1490654.87669333,1961,2210009.69829507,1948,1541408.99804063,1657350.20853317,1979744.82692351,2088893.39715141,322394.61839035,1842277.699368,27,0,0,1947,1973,,,FALSE,"INCOMPATIBLE_OR_INSUFFICIENT_GROWTH_MEASURE","FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes"
"I_TOT_REAL_2017","I_TOT_REAL_2017","capital","TOTAL_CAPITAL_ACCUMULATION","ABSOLUTE_ANNUAL_CHANGE","EXISTING_FROZEN_DIFFERENCE_SERIES","TIER_A_CORE","post_1974_1974_2025","STRUCTURAL_UMBRELLA",1974,2025,51,1383326.17705164,1372420.1762314,243029.931611993,59063547659.3298,974740.538419145,2021,1882974.2863846,1979,1067780.07980769,1209911.95567058,1548004.96448919,1744674.43722419,338093.008818605,1383326.17705164,51,0,0,1974,2024,,,FALSE,"INCOMPATIBLE_OR_INSUFFICIENT_GROWTH_MEASURE","FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes"
"I_TOT_REAL_2017","I_TOT_REAL_2017","capital","TOTAL_CAPITAL_ACCUMULATION","ABSOLUTE_ANNUAL_CHANGE","EXISTING_FROZEN_DIFFERENCE_SERIES","TIER_A_CORE","post_fordist_pre_gfc_1974_2008","STRUCTURAL",1974,2008,35,1497359.16107579,1471364.25198043,199244.569197688,39698398354.7724,1202681.55661761,2004,1882974.2863846,1979,1244797.5561019,1362997.64858495,1634590.8161923,1787256.45777129,271593.167607345,1497359.16107579,35,0,0,1974,2008,,,FALSE,"INCOMPATIBLE_OR_INSUFFICIENT_GROWTH_MEASURE","FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes"
"I_TOT_REAL_2017","I_TOT_REAL_2017","capital","TOTAL_CAPITAL_ACCUMULATION","ABSOLUTE_ANNUAL_CHANGE","EXISTING_FROZEN_DIFFERENCE_SERIES","TIER_A_CORE","fordist_aftermath_1974_1978","TRANSITION",1974,1978,5,1672546.88281577,1646565.48948887,106468.83072717,11335611916.4109,1563883.11173408,1976,1803086.64189652,1978,1572605.06279083,1585687.98937596,1763511.18158344,1787256.45777129,177823.19220748,1672546.88281577,5,0,0,1974,1978,,,FALSE,"INCOMPATIBLE_OR_INSUFFICIENT_GROWTH_MEASURE","LIMITED_DESCRIPTIVE_PROFILE","yes","yes","yes","yes"
"I_TOT_REAL_2017","I_TOT_REAL_2017","capital","TOTAL_CAPITAL_ACCUMULATION","ABSOLUTE_ANNUAL_CHANGE","EXISTING_FROZEN_DIFFERENCE_SERIES","TIER_A_CORE","volcker_transition_1979_1982","TRANSITION",1979,1982,4,1818192.96708035,1825932.00183276,60978.9056192509,3718426930.5215,1737933.57827129,1982,1882974.2863846,1979,1760104.77241843,1793361.56363914,1850763.40527397,1870089.93394035,57401.8416348349,1818192.96708035,4,0,0,1979,1982,,,FALSE,"INCOMPATIBLE_OR_INSUFFICIENT_GROWTH_MEASURE","EVENT_OR_TRANSITION_PROFILE_ONLY","yes","no","yes","yes"
"I_TOT_REAL_2017","I_TOT_REAL_2017","capital","TOTAL_CAPITAL_ACCUMULATION","ABSOLUTE_ANNUAL_CHANGE","EXISTING_FROZEN_DIFFERENCE_SERIES","TIER_A_CORE","mature_post_volcker_pre_gfc_1983_2008","NESTED",1983,2008,26,1414310.16750971,1396631.10885867,148152.797262898,21949251336.8213,1202681.55661761,2004,1744674.43722419,1985,1236067.30003523,1285773.0165476,1517377.92107444,1589124.91905386,231604.904526838,1414310.16750971,26,0,0,1983,2008,,,FALSE,"INCOMPATIBLE_OR_INSUFFICIENT_GROWTH_MEASURE","FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes"
"I_TOT_REAL_2017","I_TOT_REAL_2017","capital","TOTAL_CAPITAL_ACCUMULATION","ABSOLUTE_ANNUAL_CHANGE","EXISTING_FROZEN_DIFFERENCE_SERIES","TIER_A_CORE","gfc_transition_2008_2009","TRANSITION",2008,2009,2,1221233.82749853,1221233.82749853,213809.784823693,45714624086.354,1070047.47876566,2009,1372420.1762314,2008,1100284.74851223,1145640.6531321,1296827.00186497,1342182.90648483,151186.34873287,1221233.82749853,2,0,0,2008,2009,,,FALSE,"INCOMPATIBLE_OR_INSUFFICIENT_GROWTH_MEASURE","EVENT_OR_TRANSITION_PROFILE_ONLY","yes","no","yes","yes"
"I_TOT_REAL_2017","I_TOT_REAL_2017","capital","TOTAL_CAPITAL_ACCUMULATION","ABSOLUTE_ANNUAL_CHANGE","EXISTING_FROZEN_DIFFERENCE_SERIES","TIER_A_CORE","post_gfc_2009_2025","STRUCTURAL",2009,2025,16,1133879.0244988,1152318.88803492,100904.733171401,10181765176.3916,974740.538419145,2021,1297798.58914309,2014,1002430.38585485,1062702.76308623,1211337.91058755,1250519.58350248,148635.14750132,1133879.0244988,16,0,0,2009,2024,,,FALSE,"INCOMPATIBLE_OR_INSUFFICIENT_GROWTH_MEASURE","FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes"
"I_TOT_REAL_2017","I_TOT_REAL_2017","capital","TOTAL_CAPITAL_ACCUMULATION","ABSOLUTE_ANNUAL_CHANGE","EXISTING_FROZEN_DIFFERENCE_SERIES","TIER_A_CORE","post_gfc_pre_covid_2009_2019","NESTED",2009,2019,11,1185400.68996147,1188774,72845.8923489569,5306524032.11582,1067780.07980769,2010,1297798.58914309,2014,1070047.47876566,1152318.88803492,1229242.48078313,1264091.46320772,76923.5927482101,1185400.68996147,11,0,0,2009,2019,,,FALSE,"INCOMPATIBLE_OR_INSUFFICIENT_GROWTH_MEASURE","FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes"
"I_TOT_REAL_2017","I_TOT_REAL_2017","capital","TOTAL_CAPITAL_ACCUMULATION","ABSOLUTE_ANNUAL_CHANGE","EXISTING_FROZEN_DIFFERENCE_SERIES","TIER_A_CORE","covid_transition_2020_2021","TRANSITION",2020,2021,2,992101.993777707,992101.993777707,24552.8056306141,602840264.334715,974740.538419145,2021,1009463.44913627,2020,978212.829490858,983421.266098426,1000782.72145699,1005991.15806456,17361.4553585625,992101.993777707,2,0,0,2020,2021,,,FALSE,"INCOMPATIBLE_OR_INSUFFICIENT_GROWTH_MEASURE","EVENT_OR_TRANSITION_PROFILE_ONLY","yes","no","yes","yes"
"I_TOT_REAL_2017","I_TOT_REAL_2017","capital","TOTAL_CAPITAL_ACCUMULATION","ABSOLUTE_ANNUAL_CHANGE","EXISTING_FROZEN_DIFFERENCE_SERIES","TIER_A_CORE","post_covid_configuration_2022_2025","NESTED",2022,2025,3,1039484.27161642,1059177.7122413,38252.6726681288,1463266966.25501,995397.322573427,2022,1063877.78003454,2023,1008153.400507,1027287.51740736,1061527.74613792,1062937.76647589,34240.2287305563,1039484.27161642,3,0,0,2022,2024,,,FALSE,"INCOMPATIBLE_OR_INSUFFICIENT_GROWTH_MEASURE","EVENT_OR_TRANSITION_PROFILE_ONLY","yes","no","yes","yes"
"I_TOT_REAL_2017","I_TOT_REAL_2017","capital","TOTAL_CAPITAL_ACCUMULATION","ABSOLUTE_ANNUAL_CHANGE","EXISTING_FROZEN_DIFFERENCE_SERIES","TIER_A_CORE","extended_fordist_bridge_1940_1978","BRIDGE",1940,1978,39,1770383.39800865,1818442.69569986,251352.463311742,63178060812.8805,1037794.68114943,1943,2210009.69829507,1948,1493023.60822757,1597847.24775145,1947087.69391664,2055900.12450422,349240.44616519,1770383.39800865,39,0,0,1940,1978,,,FALSE,"INCOMPATIBLE_OR_INSUFFICIENT_GROWTH_MEASURE","FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes"
"LOG_G_TOT_GPIM_2017","LOG_G_TOT_GPIM_2017","capital","TOTAL_GROSS_PRODUCTIVE_CAPITAL","NOT_CONSTRUCTED","LEVEL_COUNTERPART_PREFERRED","TIER_A_CORE","global_available_variable_specific_1901_2025","GLOBAL",1901,2025,0,,,,,,,,,,,,,,,0,0,0,,,,,FALSE,"INCOMPATIBLE_OR_INSUFFICIENT_GROWTH_MEASURE","NO_COVERAGE","yes","no","yes","yes"
"LOG_G_TOT_GPIM_2017","LOG_G_TOT_GPIM_2017","capital","TOTAL_GROSS_PRODUCTIVE_CAPITAL","NOT_CONSTRUCTED","LEVEL_COUNTERPART_PREFERRED","TIER_A_CORE","pre_1974_variable_start_1973","STRUCTURAL",1901,1973,0,,,,,,,,,,,,,,,0,0,0,,,,,FALSE,"INCOMPATIBLE_OR_INSUFFICIENT_GROWTH_MEASURE","NO_COVERAGE","yes","no","yes","yes"
"LOG_G_TOT_GPIM_2017","LOG_G_TOT_GPIM_2017","capital","TOTAL_GROSS_PRODUCTIVE_CAPITAL","NOT_CONSTRUCTED","LEVEL_COUNTERPART_PREFERRED","TIER_A_CORE","pre_fordist_variable_start_1946","NESTED",1901,1946,0,,,,,,,,,,,,,,,0,0,0,,,,,FALSE,"INCOMPATIBLE_OR_INSUFFICIENT_GROWTH_MEASURE","NO_COVERAGE","yes","no","yes","yes"
"LOG_G_TOT_GPIM_2017","LOG_G_TOT_GPIM_2017","capital","TOTAL_GROSS_PRODUCTIVE_CAPITAL","NOT_CONSTRUCTED","LEVEL_COUNTERPART_PREFERRED","TIER_A_CORE","pre_fordist_consolidation_1940_1946","NESTED",1940,1946,0,,,,,,,,,,,,,,,0,0,0,,,,,FALSE,"INCOMPATIBLE_OR_INSUFFICIENT_GROWTH_MEASURE","NO_COVERAGE","yes","no","yes","yes"
"LOG_G_TOT_GPIM_2017","LOG_G_TOT_GPIM_2017","capital","TOTAL_GROSS_PRODUCTIVE_CAPITAL","NOT_CONSTRUCTED","LEVEL_COUNTERPART_PREFERRED","TIER_A_CORE","fordist_core_1947_1973","NESTED",1947,1973,0,,,,,,,,,,,,,,,0,0,0,,,,,FALSE,"INCOMPATIBLE_OR_INSUFFICIENT_GROWTH_MEASURE","NO_COVERAGE","yes","no","yes","yes"
