year,K_ME,K_NR,pi,omega,exploitation_rate,GDP_real,X_FOB,M_CIF,X_net,FBKF_ME,FBKF_NR,inv_change,I_total,G,C_priv
1969,19260708.756741274,59675437.54176207,0.49946854770094873,0.5005314522990513,0.9978764479370469,14364726.830165416,1428363.3005913943,1932609.3144010664,-504246.0138096721,439353.3054571149,1765306.0,27966.52943907329,2232625.834896188,2645653.5152926138,9990693.493786287
1970,20090795.721397035,62200436.312238365,0.4907232338076646,0.5092767661923354,0.9635688615379249,14660107.037449896,1259008.0346374845,1882748.6799049377,-623740.6452674533,463040.939347318,1883912.0,29771.551689601038,2376724.491036919,2801754.437266157,10105368.754414273
1971,20693892.981235795,64278223.98526099,0.43768299457852544,0.5623170054214746,0.7783563192268533,15972953.989602089,1416342.167334876,1828785.0449661117,-412442.87763123563,413042.03750658507,1879489.0,29081.199345276225,2321612.2368518612,3149878.8393828324,10913905.79099863
1972,20852381.7511092,65468455.66139735,0.30965226149215186,0.6903477385078481,0.4485453405865421,15779175.459507676,1260235.6735514142,1966210.8920168497,-705975.2184654356,314937.2104567951,1516974.0,23238.147803696804,1855149.3582604919,3328889.0976120643,11301112.222100556
1973,21114782.48671384,66585119.01622471,0.4549713277689885,0.5450286722310115,0.8347658590264918,14901061.473721752,1289304.621412301,2197100.2870430625,-907795.6656307615,363762.5149791797,1357787.0,21838.1883642131,1743387.7033433928,3386937.2466009697,10678532.189408151
1974,21346336.615659308,68171007.4377743,0.6055290191679406,0.3944709808320595,1.5350407218566378,15046273.832487073,1561658.363105417,2215248.768228875,-653590.405123458,319294.3896845518,1731299.0,26012.173517345916,2076605.5632018978,3712086.005044587,9911172.669364046
1975,21558990.0030672,68997577.45963056,0.5072800581286633,0.4927199418713367,1.029550491100538,13103757.735814266,1680974.5993747632,1518019.9843459616,162954.6150288016,340804.3957237621,1268978.0,20420.400852446444,1630202.7965762084,3514734.8801800325,7795865.444029223
1976,21549635.47041755,69428346.78585592,0.514418717098972,0.485581282901028,1.0593874500797464,13564778.453149129,2169935.800625673,1562866.4789979763,607069.3216276967,312904.26017669257,1062192.0,17443.361859404016,1392539.6220360966,3535191.432227995,8029978.077257341
1977,22007402.9889618,70443362.32969253,0.49558168708773087,0.5044183129122691,0.9824815523181151,14902086.19033145,2129349.013084836,1922839.6209153219,206509.39216951397,461772.1124494333,1180690.0,20834.949375933502,1663297.0618253667,3591840.345591582,9440439.390744988
1978,22833552.11056241,72241729.12106404,0.5544339327928663,0.44556606720713365,1.2443360785262008,16126649.363426292,2030013.9361032988,2507780.64606889,-477766.7099655913,570520.7199694905,1353878.0,24411.36973922723,1948810.0897087178,3869057.151591685,10786548.83209148
1979,23950584.10581104,74385462.03809945,0.5700004156741824,0.42999958432581764,1.3255836434536732,17462203.461874485,2513723.3998367093,2907185.893682064,-393462.49384535477,639090.9943282104,1570815.0,28033.084701561136,2237939.0790297715,4290338.30101825,11327388.575671818
1980,25572661.356944826,77453940.08438815,0.5359836793237787,0.4640163206762214,1.1550966107025666,18849559.294542953,2562684.641683302,3255273.058376353,-692588.4166930509,817640.1894494977,1982988.0,35526.509930248605,2836154.6993797463,3958656.6775857005,12747336.334270557
1981,27664410.397963878,81829152.66655028,0.45848377076508817,0.5415162292349118,0.8466667220904217,20020531.77748469,2412807.0427853614,3776090.4264007155,-1363283.383615354,963184.9234732095,2355052.0,42092.47677245643,3360329.400245666,3841025.0542077604,14182460.706646618
1982,28083920.79509393,83393181.46590629,0.3935823250283417,0.6064176749716583,0.6490284522903067,17300150.599222537,2790701.9218785004,2407704.2511389735,382997.67073952686,369350.46739886457,1596046.0,24931.434090023395,1990327.901488888,3733204.6649141936,11193620.36207993
