year,asset,I,Kg,Kn,B,R,D,DeltaKg,DeltaKn,DeltaB,z,delta,residual_kg,residual_kn,I_residual
1915,ME,805878.7647827301,11564719.496738296,6690321.0139462855,4874398.4827920105,379456.0166926376,559188.3826099081,426422.74809009023,246690.38217282202,179732.3659172682,0.03406768783913843,0.08678156998207766,-2.3283064365386963e-09,0.0,
1916,ME,522061.112643345,11644714.067983003,6736598.7780676745,4908115.289915329,442066.54139863705,475783.348521956,79994.57124470733,46277.76412138902,33716.807123318315,0.03822544433726362,0.07111517482197992,-6.402842700481415e-10,0.0,
1917,ME,598943.7219226842,11738838.696775606,6791050.940276939,4947787.7564986665,504819.09313008055,544491.5597134193,94124.62879260257,54452.162209264934,39672.466583337635,0.043351780918182814,0.08082588523545724,-1.1059455573558807e-09,0.0,
1918,ME,627354.4643243484,11800940.767934863,6826977.690753123,4973963.07718174,565252.3931650952,591427.713848165,62102.07115925662,35926.75047618337,26175.320683073252,0.04815232645801303,0.08708927661556409,3.4924596548080444e-09,0.0,
1919,ME,632520.1449647901,11811752.942262232,6833232.655876078,4978520.286386155,621707.9706374159,626265.1798418352,10812.17432736978,6254.96512295492,4557.209204414859,0.052682915952489216,0.09173388404214168,-4.423782229423523e-09,0.0,
1920,ME,1003719.5210319699,12142644.518512147,7024657.174780058,5117987.343732089,672827.9447820564,812295.0021279899,330891.57624991424,191424.51890398003,139467.0573459342,0.05696258193605545,0.11887419074330448,6.984919309616089e-10,0.0,
1921,ME,1287995.1059231854,12712670.767493295,7354423.806226255,5358246.961267039,717968.8569420414,958228.4744769877,570026.248981148,329766.6314461976,240259.61753495038,0.059127882385707445,0.13640928669333816,4.0745362639427185e-09,0.0,
1922,ME,1250418.8358929292,13205339.132734394,7639438.027090732,5565901.105643662,757750.4706518274,965404.6150284526,492668.36524109915,285014.22086447664,207654.1443766225,0.05960592266649582,0.13126855896054576,-2.6775524020195007e-09,0.0,
1923,ME,1033352.5997146479,13445694.40310453,7778486.269170758,5667208.133933772,792997.3293445103,894304.3576346216,240355.27037013695,139048.2420800263,101307.02829011064,0.060051265732264957,0.11706415504167557,-5.820766091346741e-10,0.0,
1924,ME,1179006.3161590458,13800792.917453868,7983914.775520829,5816878.14193304,823907.8018097064,973577.8098089756,355098.51434933767,205428.50635007024,149670.00799926743,0.0612767014561532,0.12516288852596585,-1.7462298274040222e-09,0.0,
1925,ME,932295.3698322832,13882509.291818287,8031188.622218793,5851320.669599494,850578.99546787,885021.5231343185,81716.37436441891,47273.846697964706,34442.5276664542,0.06163261781807786,0.1108505724344464,5.704350769519806e-09,0.0,
1926,ME,934355.0270254777,13943415.908805313,8066423.788936983,5876992.11986833,873448.4100384499,899119.8603072881,60906.616987025365,35235.166718189605,25671.45026883576,0.06291718533573899,0.1119535230214636,-2.444721758365631e-09,0.0,
1927,ME,922359.2543559542,13973266.745886102,8083692.835770486,5889573.910115616,892508.417275164,905090.2075224512,29850.83708078973,17269.04683350306,12581.79024728667,0.0640093089894523,0.11220464374358474,-4.656612873077393e-10,0.0,
1928,ME,859517.6909625275,13924680.213310428,8055584.977211746,5869095.236098682,908104.2235382028,887625.5495212671,-48586.532575674355,-28107.858558739536,-20478.67401693482,0.06498868446818705,0.10980446283083742,9.313225746154785e-10,0.0,
1929,ME,1153300.1609515233,14157390.433415025,8190210.471255503,5967179.962159523,920589.9408469254,1018674.6669077671,232710.2201045975,134625.49404375628,98084.72606084123,0.06611210647171235,0.12645570368750025,-4.656612873077393e-10,0.0,
1930,ME,1162159.237503236,14388936.655775208,8324162.579440497,6064774.076334711,930613.0151430536,1028207.1293182417,231546.22236018255,133952.1081849942,97594.11417518836,0.065733372228442,0.12554098981056158,2.3283064365386963e-10,0.0,
1931,ME,974877.3551967503,14424428.799104186,8344695.185735948,6079733.613368237,939385.2118677723,954344.7489012987,35492.14332897775,20532.606295451522,14959.537033526227,0.06528524201201041,0.11464753839123651,-2.3283064365386963e-10,0.0,
1932,ME,343203.61285816925,13820184.792410702,7995133.194485517,5825051.597925184,947447.619551653,692765.6041086004,-604244.0066934843,-349561.99125043117,-254682.0154430531,0.06568354509888762,0.08301868297032385,-4.656612873077393e-10,0.0,
1933,ME,297757.43215902714,13163921.675437985,7615477.559655915,5548444.11578207,954020.5491317429,677413.0669886293,-656263.1169727165,-379655.6348296022,-276607.4821431143,0.06903095461181094,0.08472817781895883,-6.984919309616089e-10,-5.820766091346741e-11,
1934,ME,436487.2861739991,12643078.392287854,7314163.83015172,5328914.562136134,957330.5693241307,737801.0156781941,-520843.2831501309,-301313.72950419504,-219529.55364593584,0.07272381232033415,0.0968817792316533,6.984919309616089e-10,0.0,
1935,ME,626113.9068211722,12312602.710066974,7122979.91064687,5189622.799420104,956589.5890420513,817297.8263260224,-330475.68222087994,-191183.91950485017,-139291.76271602977,0.07566112930420181,0.11174179924119486,-8.149072527885437e-10,0.0,
1936,ME,694811.4916883719,12055573.424923707,6974285.56245463,5081287.862469077,951840.776831641,843505.839880612,-257029.28514326736,-148694.3481922401,-108334.93695102725,0.0773062202399661,0.1184203592403519,1.7462298274040222e-09,0.0,
1937,ME,686179.037584538,11798216.0137263,6825401.389629302,4972814.624096998,943536.4487819464,835063.2104098661,-257357.41119740717,-148884.17282532807,-108473.2383720791,0.07826558020303523,0.11973458828605263,1.280568540096283e-09,0.0,
1938,ME,758566.3826713074,11624710.351967622,6725026.402131322,4899683.9498363,932072.0444299852,858941.3701692872,-173505.66175867803,-100374.98749797978,-73130.67426069826,0.07900110011086357,0.12584481426607172,-2.3283064365386963e-10,0.0,
1939,ME,722355.409712469,11429202.160603402,6611922.702430557,4817279.458172845,917863.6010766857,835459.1094132334,-195508.1913642194,-113103.69970076438,-82404.49166345503,0.07895797600852276,0.12423135010272322,-2.6775524020195007e-09,0.0,
1940,ME,730438.220049483,11258168.72890853,6512977.92798287,4745190.80092566,901471.6517443585,829382.9944971709,-171033.43169487268,-98944.7744476879,-72088.65724718478,0.07887441652329348,0.1254374910027741,2.7939677238464355e-09,0.0,
1941,ME,704247.313956615,11079033.674960375,6409346.273440642,4669687.401519733,883382.3679047682,807878.9684988423,-179135.05394815467,-103631.65454222728,-75503.3994059274,0.07846590233067252,0.12404141046261,-1.5133991837501526e-09,0.0,
1942,ME,572969.3462776177,10787856.405631775,6240896.930218607,4546959.475413168,864146.6156062176,741418.6894996528,-291177.2693285998,-168449.3432220351,-122727.9261065647,0.07799837431302946,0.11567773964280559,1.1641532182693481e-10,0.0,
1943,ME,588913.930898227,10532630.768995756,6093246.01308522,4439384.755910536,844139.5675342464,736564.8480316142,-255225.63663601875,-147650.91713338718,-107574.71950263157,0.07824905484407127,0.1180222740845383,5.820766091346741e-10,0.0,
1944,ME,513271.2560413283,10222322.207000313,5913729.000700173,4308593.20630014,823579.8180367729,692788.2684263753,-310308.56199544296,-179517.01238504704,-130791.54961039592,0.07819317282640278,0.11369773466205295,1.6298145055770874e-09,0.0,
1945,ME,606781.560706294,10026308.138008637,5800332.645070968,4225975.492937669,802795.629697972,720177.9163354988,-196014.06899167597,-113396.35562920477,-82617.7133624712,0.07853358693274336,0.12178067616054629,1.979060471057892e-09,0.0,
1946,ME,894048.6036208135,10138254.005651517,5865094.5954950005,4273159.410156516,782102.7359779247,829286.6531967812,111945.86764287949,64761.950424032286,47183.9172188472,0.0780050568177791,0.1429722576172413,-9.313225746154785e-09,0.0,
1947,ME,1291485.6375764462,10667345.076974325,6171179.763731091,4496165.313243234,762394.5662536421,985400.4693403554,529091.071322808,306085.1682360908,223005.90308671724,0.0751997894142965,0.16801101044427227,3.958120942115784e-09,0.0,
1948,ME,1193184.8631802665,11115160.173855286,6430245.8616048945,4684914.312250392,745369.766299306,934118.7653064632,447815.0968809612,259066.09787380323,188748.99900715798,0.06987397153844786,0.15136793953020347,6.984919309616089e-10,0.0,
1949,ME,1414656.179243805,11797081.695291078,6824745.17358655,4972336.521704528,732734.6578080138,1020156.8672621492,681921.5214357916,394499.31198165566,287422.20945413597,0.06592209615939933,0.1586497451603714,5.820766091346741e-10,0.0,
1950,ME,1304013.293887388,12375629.286282439,7159441.49775327,5216187.788529169,725465.702896028,969316.9697206682,578547.5909913611,334696.3241667198,243851.26682464126,0.061495352972388485,0.14202976742225693,1.0477378964424133e-09,0.0,
1951,ME,1562776.634972378,13213910.81806212,7644396.843989766,5569513.974072353,724495.1031926951,1077821.2887358817,838281.5317796804,484955.34623649623,353326.18554318417,0.058542081896049494,0.15054544255639446,-2.444721758365631e-09,0.0,
1952,ME,1620042.765886357,14103647.109458603,8159119.350564993,5944527.75889361,730306.4744898755,1105320.2593111303,889736.2913964838,514722.5065752268,375013.784821257,0.055268003889629574,0.14459221333860542,2.2118911147117615e-09,0.0,
1953,ME,1451645.2004623911,14811615.532019807,8568687.089411363,6242928.442608445,743676.7779011871,1042077.4616160211,707968.4225612041,409567.73884637,298400.683714835,0.0527293948954835,0.12771935509729498,0.0,0.0,
1954,ME,1283155.360195412,15330120.784610586,8868648.241796251,6461472.542814335,764650.1076046344,983194.2078105237,518505.2525907792,299961.1523848884,218544.1002058899,0.05162503077072254,0.11474269016375827,1.5133991837501526e-09,0.0,
1955,ME,1608383.4678840644,16146174.587856436,9340744.595703177,6805429.992153258,792329.6646382166,1136287.1139771387,816053.8032458499,472096.35390692577,343957.4493389232,0.05168450241002737,0.12812404810713246,2.0954757928848267e-09,0.0,
1956,ME,1878798.3355063589,17199101.591474086,9949874.774817463,7249226.816656623,825871.3318887004,1269668.156392073,1052927.00361765,609130.1791142859,443796.824503365,0.05114965946855545,0.13592793844038206,-8.614733815193176e-09,0.0,
1957,ME,2498442.680541355,18832154.44047514,10894614.316112697,7937540.124362442,865389.8315403087,1553703.139246121,1633052.8490010537,944739.5412952341,688313.3077058187,0.0503159904566933,0.15615303452646967,7.2177499532699585e-09,0.0,
1958,ME,2505202.0520929694,20425669.214802947,11816480.6340745,8609188.580728447,911687.2777651557,1583335.7341311667,1593514.7743278071,921866.3179618027,671648.4563660054,0.048411204392297534,0.14533196753826125,-6.51925802230835e-09,0.0,
1959,ME,1750616.643700986,21210306.579833347,12270402.223186186,8939904.356647162,965979.2786705821,1296695.0545893002,784637.3650304005,453921.58911168575,330715.7759187147,0.0472924176198112,0.10973614689047903,-3.3760443329811096e-09,0.0,
1960,ME,2202446.1959498557,22385372.75877261,12950191.296492476,9435181.462280136,1027380.0170105997,1522657.1226435653,1175066.1789392643,679789.0733062904,495277.10563297383,0.048437773077142955,0.1240918671570805,8.381903171539307e-09,0.0,
1961,ME,2673734.551180508,23965302.010044936,13864198.235728389,10101103.774316547,1093805.29990818,1759727.6119445954,1579929.2512723245,914006.9392359126,665922.3120364118,0.048862501049017744,0.13588429480738348,-3.4924596548080444e-09,0.0,
1962,ME,2535253.863514534,25335258.074631978,14656733.311886081,10678524.762745896,1165297.7989274894,1742718.7873568414,1369956.0645870417,792535.0761576928,577420.9884293489,0.0486243736231265,0.12569921157545275,-3.026798367500305e-09,0.0,
1963,ME,2228136.7596432245,26321355.43168608,15227201.784688788,11094153.646997293,1242039.4025891258,1657668.2868405185,986097.3570541032,570468.4728027061,415628.8842513971,0.04902414646538657,0.11309943706870954,4.423782229423523e-09,0.0,
1964,ME,2435336.563805826,27433935.72898412,15870842.068814576,11563093.660169546,1322756.2665077867,1791696.2796800379,1112580.2972980402,643640.2841257881,468940.0131722521,0.05025410906139852,0.11766418446504197,9.313225746154785e-10,0.0,
1965,ME,2125056.8591974047,28153180.77919087,16286933.464280952,11866247.314909916,1405811.808990655,1708965.4637310286,719245.0502067469,416091.3954663761,303153.6547403708,0.05124353366131883,0.1076795708961821,-2.7939677238464355e-09,0.0,
1966,ME,2630144.7083470724,29293434.036761858,16946582.86887736,12346851.167884497,1489891.4507760867,1970495.3037506654,1140253.2575709894,659649.404596407,480603.8529745806,0.052920892401519495,0.12098626841401297,3.725290298461914e-09,0.0,
1967,ME,2745628.1733012665,30465451.334100284,17624608.12969785,12840843.204402432,1573610.8759628406,2067602.9124807734,1172017.297338426,678025.2608204931,493992.0365179349,0.053718893933296936,0.12200706941798607,2.3283064365386963e-10,0.0,
1968,ME,3139391.2836926,31947838.175406124,18482185.68166382,13465652.493742304,1657004.4423867587,2281813.7317266334,1482386.8413058408,857577.5519659668,624809.2893398721,0.05438962397816366,0.12946748744340744,-6.984919309616089e-10,0.0,
1969,ME,3086000.640676279,33293573.449728668,19260708.756741274,14032864.692987394,1740265.366353733,2307477.5655988236,1345735.2743225433,778523.0750774555,567212.1992450897,0.05447208530351868,0.12484873841994092,-2.7939677238464355e-09,0.0,
1970,ME,3258782.0882569663,34728440.75790891,20090795.721397035,14637645.036511874,1823914.7800767145,2428695.1236012056,1434867.3081802428,830086.9646557607,604780.3435244802,0.05478278812067795,0.12609583345426784,-9.080395102500916e-09,0.0,
1971,ME,2950481.007229546,35770939.410028554,20693892.981235795,15077046.42879276,1907982.3551099047,2347383.747390786,1042498.652119644,603097.2598387599,439401.39228088595,0.054940052402882175,0.11683876437461276,2.561137080192566e-09,0.0,
1972,ME,2266241.3474522075,36044899.08448189,20852381.751109198,15192517.33337269,1992281.6729988751,2107752.5775788045,273959.674453333,158488.769873403,115470.90457993001,0.05569553682004587,0.10185384545527566,6.984919309616089e-10,0.0,
1973,ME,2528529.226600218,36498478.35170685,21114782.48671384,15383695.864993004,2074949.9593752653,2266128.4909955743,453579.26722496003,262400.7356046438,191178.53162031434,0.05756570311133362,0.10867480358089227,7.2177499532699585e-09,0.0,
1974,ME,2553886.2802115274,36898736.955738515,21346336.615659308,15552400.340079207,2153627.6761798654,2322332.1512660612,400258.6040316671,231554.12894546613,168704.47508620284,0.05900595787657408,0.1099860797868675,5.122274160385132e-09,0.0,
1975,ME,2595091.416317536,37266324.21654065,21558990.0030672,15707334.21347345,2227504.155515386,2382438.0289096446,367587.2608021349,212653.38740789145,154933.87339424342,0.060368032601965875,0.1116087538487484,-1.5366822481155396e-08,0.0,
1976,ME,2279726.167230448,37250154.208271876,21549635.47041755,15700518.737854326,2295896.1754992316,2289080.6998800957,-16170.008268773556,-9354.532649647444,-6815.475619124249,0.06160779802587019,0.10617754818544041,9.778887033462524e-09,0.0,
1977,ME,3149180.940986041,38041439.549535275,22007402.9889618,16034036.560573475,2357895.5997226387,2691413.4224417917,791285.3412633985,457767.51854424924,333517.8227191493,0.06329894868459464,0.12489368676961858,-3.725290298461914e-09,0.0,
1978,ME,3841299.613011946,39469500.0019219,22833552.110562414,16635947.891359484,2413239.1606253227,3015150.491411333,1428060.452386625,826149.121600613,601911.3307860084,0.06343711460979146,0.1370061925490997,1.862645149230957e-09,0.0,
1979,ME,4395440.709544136,41400373.22414902,23950584.10581104,17449789.118337978,2464567.4873170257,3278408.7142955093,1930873.222227119,1117031.995248627,813841.2269784939,0.062442328562485404,0.14357856799595245,8.381903171539307e-09,0.0,
1980,ME,5319295.640083559,44204254.88727083,25572661.356944826,18631593.530326005,2515413.976961745,3697218.388949774,2803881.663121812,1622077.2511337847,1181804.4119880274,0.06075824397386092,0.15436861049466982,-1.862645149230957e-09,0.0,
1981,ME,6185887.745902358,47819999.313663885,27664410.397963874,20155588.91570001,2570143.3195093004,4094138.704883309,3615744.4263930544,2091749.0410190485,1523995.385374006,0.05814244185460539,0.16009826461693064,-2.7939677238464355e-09,0.0,
1982,ME,3359610.215646198,48545154.36357273,28083920.79509393,20461233.5684788,2634455.165737346,2940099.818516141,725155.0499088466,419510.3971300572,305644.6527787894,0.05509107493827562,0.10627733525571667,-5.587935447692871e-09,0.0,
1983,ME,2304463.170561379,48139601.9706162,27849304.149388123,20290297.821228076,2710015.563517917,2539079.816267187,-405552.39295653254,-234616.64570580795,-170935.74725072458,0.055824635827122965,0.0904104464185338,5.587935447692871e-09,0.0,
1984,ME,2657434.245268474,48006804.449618645,27772479.28168766,20234325.167930987,2790231.766266032,2734259.112968939,-132797.52099755406,-76824.86770046502,-55972.65329708904,0.057961255433087173,0.09818051820260698,4.190951585769653e-09,0.0,
1985,ME,3065012.151065329,48201749.7312776,27885257.331758,20316492.3995196,2870066.8694063714,2952234.1009949874,194945.28165895492,112778.05007034168,82167.23158861324,0.059784584754404964,0.10630070405495279,-2.7939677238464355e-09,0.0,
1986,ME,2960760.938228204,48214861.36791235,27892842.561830327,20322018.806082025,2947649.301593449,2953175.708155877,13111.636634752154,7585.230072326958,5526.406562425196,0.0611523299055833,0.10590455282593216,-2.7939677238464355e-09,0.0,
1987,ME,4049003.592013516,49242101.02377428,28487112.319770444,20754988.704003837,3021763.9361515814,3454733.8340733987,1027239.6558619291,594269.7579401173,432969.8979218118,0.06267287409774876,0.12385735969416733,-5.587935447692871e-09,0.0,
1988,ME,4900005.99895293,51050178.32953443,29533105.48864741,21517072.840887018,3091928.693192791,3854012.8300759653,1808077.3057601452,1045993.1688769646,762084.1368831806,0.06279034868353801,0.13528969826124593,6.51925802230835e-09,0.0,
1989,ME,6736541.484644689,54626061.50463526,31601794.34500415,23024267.15963111,3160658.309543851,4667852.628287949,3575883.175100833,2068688.85635674,1507194.3187440932,0.061912777055184005,0.15805492009915048,-4.6566128730773926e-09,0.0,
1990,ME,6791417.502812101,58184723.06778522,33660520.30408859,24524202.763696626,3232755.939662141,4732691.543727657,3558661.563149959,2058725.9590844437,1499935.604065515,0.05917973675235267,0.1497602158934319,-9.313225746154785e-10,0.0,
1991,ME,6472295.693308066,61342467.73649028,35487311.30577893,25855156.43071135,3314551.0246030064,4645504.69161773,3157744.668705061,1826791.0016903356,1330953.6670147255,0.05696600155235857,0.1380104837848707,1.862645149230957e-09,0.0,
1992,ME,8902720.604200482,66836340.21219092,38665578.663018994,28170761.549171925,3408848.128499845,5724453.246960416,5493872.475700639,3178267.357240066,2315605.1184605733,0.05557076939166,0.16130986080166118,1.862645149230957e-09,0.0,
1993,ME,10827642.552358465,74144420.11314893,42893385.532590516,31251034.58055841,3519562.651400439,6599835.682786943,7308079.900958009,4227806.869571522,3080273.031386487,0.05265941612342311,0.17069020847473412,-1.6763806343078613e-08,0.0,
1994,ME,11655802.796686018,82143615.9965848,47521010.813836426,34622605.18274838,3656606.91325015,7028177.515440108,7999195.883435875,4627625.28124591,3371570.6021899655,0.049317358038136166,0.16385224500640266,7.450580596923828e-09,0.0,
1995,ME,17726542.757047899,96040210.342161611,56526567.221209504,39513643.120952107,3829948.4114710996,8720986.349674819,13896594.345576808,9005556.4073730782,4891037.9382037297,0.046625028190021893,0.18351853633415513,7.4505805969238281e-09,-1.862645149230957e-09,
1996,ME,20474155.963380754,112460746.62353145,66389819.430842645,46070927.1926888,4053619.6820109189,10610903.753747614,16420536.281369835,9863252.2096331418,6557284.0717366934,0.042207526072351606,0.18771533944778915,0,1.862645149230957e-09,
1997,ME,24384356.404917028,132493823.58826716,77827977.039150417,54665846.549116746,4351279.4401813075,12946198.796609256,20033076.964735717,11438157.608307771,8594919.3564279452,0.038691539677817147,0.19500277162366939,-3.7252902984619141e-09,0,
1998,ME,25097277.376696788,152846616.93650264,87749501.984046891,65097114.952455744,4744484.0284612961,15175752.431800313,20352793.348235473,9921524.9448964745,10431268.403338999,0.035809095850423009,0.19499096609136243,-1.862645149230957e-08,0,
1999,ME,19787781.456042923,167381959.99924302,90869077.871844769,76512882.127398252,5252438.3933025692,16668205.568245048,14535343.062740386,3119575.8877978772,11415767.174942508,0.034364112851019792,0.18995213866028976,3.166496753692627e-08,1.862645149230957e-09,
2000,ME,23651217.792530462,185155799.81555662,96694855.56089507,88460944.254661545,5877377.9762168806,17825440.10348016,17773839.816313595,5825777.6890503019,11948062.127263293,0.035113568847224996,0.19616618239066849,1.4901161193847656e-08,0,
2001,ME,24306312.48162847,202852625.57156438,102018741.92382264,100833883.64774173,6609486.7256206796,18982426.118700899,17696825.756007761,5323886.3629275709,12372939.39308019,0.035696892736845051,0.1963126787727236,-2.9802322387695312e-08,0,
2002,ME,25854774.123761013,221259547.67457235,107662245.44721273,113597302.22735962,7447852.0207530577,20211270.600370929,18406922.103007972,5643503.5233900845,12763418.579617888,0.036715581076496986,0.19811330956681153,1.4901161193847656e-08,0,
2003,ME,28229885.78885198,241102814.14867419,114047226.81634161,127055587.33233258,8386619.3147501359,21844904.419723097,19843266.474101841,6384981.3691288829,13458285.104972959,0.037903988338099388,0.2029021810661914,-3.7252902984619141e-09,0,
2004,ME,35127427.112353057,266810539.61554933,125061921.97144659,141748617.64410275,9419701.6454779226,24112731.957248077,25707725.466875136,11014695.15510498,14693030.311770171,0.039069231434475653,0.21142760442635339,0,0,
2005,ME,50219480.775437951,306482598.94756019,147328178.77443883,159154420.17312136,10547421.443427086,27953223.972445715,39672059.332010865,22266256.80299224,17405802.529018611,0.039531502236099809,0.22351506783038111,0,3.7252902984619141e-09,
2006,ME,54310906.548263587,349000294.28069437,168720430.16190961,180279864.11878476,11793211.215129402,32918655.160792805,42517695.333134174,21392251.387470782,21125443.945663393,0.038479219556433103,0.22343760327881099,-1.4901161193847656e-08,0,
2007,ME,62757981.740026079,398561348.40718162,193227146.53869361,205334201.86848801,13196927.613538885,38251265.363242082,49561054.126487255,24506716.376783997,25054337.749703258,0.037813514285821331,0.22671389188929239,5.9604644775390625e-08,0,
2008,ME,81117593.884842962,464891264.64106172,229206935.7074177,235684328.93364403,14787677.650962796,45137804.716118872,66329916.233880103,35979789.16872409,30350127.065156013,0.037102638552535414,0.23359970648368528,-5.9604644775390625e-08,0,
2009,ME,66292899.237617753,514570738.31199193,244887155.64470905,269683582.66728288,16613425.566687517,50612679.3003264,49679473.670930207,15680219.937291354,33999253.733638853,0.035736153441202193,0.22081652609733157,-2.9802322387695312e-08,0,
2010,ME,69008998.886083826,564867885.3634727,261690399.40023294,303177485.96323979,18711851.834603123,52205755.130559936,50297147.05148077,16803243.75552389,33493903.29595691,0.036364002927927568,0.21318290456320171,6.7055225372314453e-08,0,
2011,ME,101037945.68162717,644845569.37989259,303779958.69765657,341065610.68223602,21060261.665207181,58948386.384203538,79977684.016419888,42089559.297423631,37888124.718996227,0.037283517457636382,0.22526002680765927,-1.0430812835693359e-07,0,
2012,ME,114887787.73778343,736051121.16795993,351037958.65262061,385013162.51533931,23682235.949716128,67629787.78281939,91205551.788067341,47257999.954964042,43947551.833103299,0.036725437956392944,0.22262754946954669,2.9802322387695312e-08,0,
2013,ME,112553774.20811775,821943632.56564021,388072615.19053006,433871017.37511015,26661262.81043743,75519117.670208305,85892511.397680283,37034656.537909448,48857854.859770834,0.036222025948593833,0.21513091621222749,-4.4703483581542969e-08,0,
2014,ME,106956951.34997211,898855526.60852361,413832751.46847981,485022775.1400438,30045057.307088766,81196815.072022364,76911894.042883396,25760136.27794975,51151757.764933646,0.036553671221109404,0.20923098382543065,4.4703483581542969e-08,0,
2015,ME,103221090.56960505,968251779.95866156,431706730.65295607,536545049.30570549,33824837.219467103,85347111.385128796,69396253.350137949,17873979.184476256,51522274.165661693,0.037631005448775255,0.20623575848522319,0,0,
2016,ME,100887659.13412131,1031183250.4947104,444308687.58572161,586874562.90898883,37956188.598072365,88285702.20135577,62931470.536048889,12601956.932765543,50329513.603283346,0.039200742393360605,0.20450388176210207,-5.9604644775390625e-08,0,
2017,ME,102637391.49368595,1091444515.1721199,456238557.60875243,635205957.56336737,42376126.816276684,90707521.470655128,60261264.67740941,11929870.023030818,48331394.654378533,0.041094661686898744,0.20415428283327161,1.4901161193847656e-07,0,
2018,ME,111717256.74449368,1156147951.7998362,474220147.73602825,681927804.06380796,47013820.11677742,93735666.617217854,64703436.627716303,17981590.127275825,46721846.500440598,0.04307486039211382,0.20545318902573095,4.4703483581542969e-08,0,
2019,ME,114513618.93497817,1218853221.1614113,491692332.49641794,727160888.66499329,51808349.573402897,97041434.174588487,62705269.361575127,17472184.760389686,45233084.601185322,0.044811176193107573,0.20463372262413027,-1.4901161193847656e-07,0,
2020,ME,102905533.22871882,1265048119.4696341,495824458.38111472,769223661.08851933,56710634.920495972,98773407.344022036,46194898.308222771,4132125.8846967816,42062772.423526049,0.046527862367593355,0.20088457927039491,-7.4505805969238281e-08,0,
2021,ME,125679451.4104704,1329081335.2970011,520036472.57559389,809044862.72140718,61646235.583103552,101467437.21599123,64033215.827367067,24212014.194479167,39821201.63288784,0.048730348383070575,0.20464387244486926,2.2351741790771484e-07,0,
