"variable_name","source_file","construction_status","economic_role","theoretical_role","expected_order","adf_level_p","adf_diff_p","kpss_level_p","kpss_diff_p","pp_level_p_if_available","pp_diff_p_if_available","classification","notes","sample_start","sample_end","n_obs"
"NRC_share","S20","validated_upstream","composition_diagnostic","candidate_only","bounded_persistent_or_I0",0.966821773065124,0.0495220608694517,0.01,0.0135288908111025,0.99,0.01,"BOUNDED_PERSISTENT","Bounded ratio/share: persistent evidence is not mechanically promoted to pure I(1).; S31I=I2_risk; audit_only_high_i2_risk",1925,2024,100
"Delta_ME_NRC_gap","S31I","audit_only_constructed","audit_only_mechanization_change_variable","candidate_only","I0_or_diagnostic",0.0498333181449823,0.01,0.0126068709808719,0.1,0.01,0.01,"I1","S31I=I1_recommended; carry_to_S32_cointegration_or_admissibility_candidate_with_rolling_warning",1926,2024,99
"Delta_ME_share","S31I","audit_only_constructed","audit_only_mechanization_change_variable","candidate_only","bounded_persistent_or_I0",0.0495220608694513,0.01,0.0135288908111025,0.1,0.01,0.01,"BOUNDED_PERSISTENT","Bounded ratio/share: persistent evidence is not mechanically promoted to pure I(1).; S31I=I1_recommended; carry_to_S32_cointegration_or_admissibility_candidate_with_rolling_warning",1926,2024,99
"Delta_NRC_share","S31I","audit_only_constructed","audit_only_mechanization_change_variable","candidate_only","bounded_persistent_or_I0",0.0495220608694517,0.01,0.0135288908111025,0.1,0.01,0.01,"BOUNDED_PERSISTENT","Bounded ratio/share: persistent evidence is not mechanically promoted to pure I(1).; S31I=I1_recommended; carry_to_S32_cointegration_or_admissibility_candidate_with_rolling_warning",1926,2024,99
"omega_NFC","S20:omega_NFC","validated_upstream","preferred_distribution_state","preferred_baseline","bounded_persistent_or_I0",0.671439304484864,0.01,0.01,0.1,0.1905456220743,0.01,"BOUNDED_PERSISTENT","Bounded ratio/share: persistent evidence is not mechanically promoted to pure I(1).; S31I=I1_recommended; carry_to_S32_cointegration_or_admissibility_candidate_with_rolling_warning",1929,2025,97
"omega_CORP","S20:omega_CORP","validated_upstream","distribution_robustness_or_diagnostic","robustness_candidate","bounded_persistent_or_I0",0.796941157021342,0.01,0.01,0.1,0.183321958710002,0.01,"BOUNDED_PERSISTENT","Bounded ratio/share: persistent evidence is not mechanically promoted to pure I(1).; S31I=I1_recommended; carry_to_S32_cointegration_or_admissibility_candidate_with_rolling_warning",1929,2025,97
"pi_res_NFC","S20:pi_res_NFC","validated_upstream","distribution_robustness_or_diagnostic","robustness_candidate","bounded_persistent_or_I0",0.671439304484853,0.01,0.01,0.1,0.190545622074332,0.01,"BOUNDED_PERSISTENT","Bounded ratio/share: persistent evidence is not mechanically promoted to pure I(1).; S31I=I1_recommended; carry_to_S32_cointegration_or_admissibility_candidate_with_rolling_warning",1929,2025,97
"pi_res_CORP","S20:pi_res_CORP","validated_upstream","distribution_robustness_or_diagnostic","robustness_candidate","bounded_persistent_or_I0",0.796941157021367,0.01,0.01,0.1,0.183321958710126,0.01,"BOUNDED_PERSISTENT","Bounded ratio/share: persistent evidence is not mechanically promoted to pure I(1).; S31I=I1_recommended; carry_to_S32_cointegration_or_admissibility_candidate_with_rolling_warning",1929,2025,97
"e_NFC","S20:e_NFC","validated_upstream","distribution_robustness_or_diagnostic","robustness_candidate","undetermined",0.717083538423935,0.01,0.01,0.1,0.280479879239194,0.01,"I1","S31I=I1_recommended; carry_to_S32_cointegration_or_admissibility_candidate_with_rolling_warning",1929,2025,97
"e_CORP","S20:e_CORP","validated_upstream","distribution_robustness_or_diagnostic","robustness_candidate","undetermined",0.87698334560116,0.01,0.01,0.1,0.310804448232578,0.01,"I1","S31I=I1_recommended; carry_to_S32_cointegration_or_admissibility_candidate_with_rolling_warning",1929,2025,97
"ln_e_NFC","S20:ln_e_NFC","validated_upstream","distribution_robustness_or_diagnostic","robustness_candidate","undetermined",0.655266639287234,0.01,0.01,0.1,0.159271769463938,0.01,"I1","S31I=I1_recommended; carry_to_S32_cointegration_or_admissibility_candidate_with_rolling_warning",1929,2025,97
"ln_e_CORP","S20:ln_e_CORP","validated_upstream","distribution_robustness_or_diagnostic","robustness_candidate","undetermined",0.771714123805265,0.01,0.01,0.1,0.141480962125017,0.01,"I1","S31I=I1_recommended; carry_to_S32_cointegration_or_admissibility_candidate_with_rolling_warning",1929,2025,97
"q_omega_h1_Kcap","S31I","constructed_for_S31I_integration_audit","preferred_A00_q_candidate","preferred_baseline","I1",0.806061351402933,0.0571834422258188,0.01,0.1,0.85199029932438,0.01,"I1","S31I=I1_recommended; carry_to_S32_baseline_cointegration_candidate_with_rolling_warning",1930,2024,95
"q_omega_h3_Kcap","S31I","constructed_for_S31I_integration_audit","memory_state_robustness_candidate","robustness_candidate","I1",0.681646611346732,0.285469676907699,0.01,0.1,0.974377630188098,0.01,"I1","S31I=I1_recommended; carry_to_S32_aggregate_q_cointegration_candidate_with_rolling_warning",1932,2024,93
"q_omega_h5_Kcap","S31I","constructed_for_S31I_integration_audit","memory_state_robustness_candidate","robustness_candidate","I1",0.774809547511614,0.220518605290046,0.01,0.1,0.982265764272217,0.01,"I1","S31I=I1_recommended; carry_to_S32_aggregate_q_cointegration_candidate_with_rolling_warning",1934,2024,91
"q_e_h1_Kcap","S31I","constructed_for_S31I_integration_audit","alternative_distribution_proxy_candidate","robustness_candidate","I1",0.647670139836758,0.038565266616185,0.01,0.1,0.704477137088123,0.01,"I1","S31I=I1_recommended; carry_to_S32_aggregate_q_cointegration_candidate_with_rolling_warning",1930,2024,95
"q_e_h3_Kcap","S31I","constructed_for_S31I_integration_audit","alternative_distribution_proxy_candidate","robustness_candidate","I1",0.564130493261185,0.262622547106091,0.01,0.1,0.912974960089842,0.01,"I1","S31I=I1_recommended; carry_to_S32_aggregate_q_cointegration_candidate_with_rolling_warning",1932,2024,93
"q_e_h5_Kcap","S31I","constructed_for_S31I_integration_audit","alternative_distribution_proxy_candidate","robustness_candidate","I1",0.640750814736703,0.153848972191517,0.01,0.1,0.946162063191663,0.01,"I1","S31I=I1_recommended; carry_to_S32_aggregate_q_cointegration_candidate_with_rolling_warning",1934,2024,91
"q_omega_h1_Kcap__full_long_sample","S22","validated_upstream_periodized","periodized_A00_q_candidate","periodized_baseline_candidate","I1",0.806061351402933,0.0571834422258188,0.01,0.1,0.85199029932438,0.01,"I1","S31I=I1_recommended; carry_to_S32_periodized_cointegration_candidate_with_rolling_warning",1930,2024,95
"q_omega_h1_Kcap__pre_1974_full","S22","validated_upstream_periodized","periodized_A00_q_candidate","periodized_baseline_candidate","I1",0.469583107067087,0.32663065472239,0.01,0.074823838283215,0.442726643153878,0.0884946098581533,"I2_RISK","S31I=I1_recommended; carry_to_S32_periodized_cointegration_candidate_with_rolling_warning",1930,1973,44
"q_omega_h1_Kcap__post_1973_full","S22","validated_upstream_periodized","periodized_A00_q_candidate","periodized_baseline_candidate","I1",0.010409705659483,0.21483601029846,0.01,0.0326333077126215,0.671006839665091,0.018818618722715,"I2_RISK","S31I=I2_risk; audit_only_high_i2_risk",1974,2024,51
"q_omega_h1_Kcap__fordist_core","S22","validated_upstream_periodized","periodized_A00_q_candidate","periodized_baseline_candidate","I1",0.96770536059981,0.920387823351658,0.01,0.1,0.486744322555492,0.529383746182474,"I2_RISK","S31I=I1_recommended; carry_to_S32_periodized_cointegration_candidate_with_rolling_warning",1945,1973,29
"q_omega_h1_Kcap__bridge_1940_1978","S22","validated_upstream_periodized","periodized_A00_q_candidate","periodized_baseline_candidate","I1",0.896876867673483,0.584534612501257,0.01,0.1,0.938540799096464,0.0814306264793223,"I2_RISK","S31I=I1_recommended; carry_to_S32_periodized_cointegration_candidate_with_rolling_warning",1940,1978,39
"q_omega_h1_Kcap__pre_1974_alt_1940_1973","S22","validated_upstream_periodized","periodized_A00_q_candidate","periodized_baseline_candidate","I1",0.503289064415219,0.603133192784697,0.01,0.1,0.753225082215078,0.186548360301725,"I2_RISK","S31I=I1_recommended; carry_to_S32_periodized_cointegration_candidate_with_rolling_warning",1940,1973,34
"q_omega_h1_Kcap__pre_1974_alt_1947_1973","S22","validated_upstream_periodized","periodized_A00_q_candidate","periodized_baseline_candidate","I1",0.801082059599328,0.550745081908213,0.01,0.1,0.962576589242829,0.0985529168168795,"I2_RISK","S31I=I2_risk; audit_only_high_i2_risk",1947,1973,27
"q_omega_h1_ME","S31I","audit_only_mechanization_q_candidate","mechanization_bias_candidate","candidate_only","I1",0.948433405678585,0.0229578314824547,0.01,0.1,0.983420194673498,0.01,"I1","S31I=I1_recommended; carry_to_S32_mechanization_cointegration_candidate_with_rolling_warning",1930,2024,95
"q_omega_h1_NRC","S31I","audit_only_mechanization_q_candidate","mechanization_bias_candidate","candidate_only","I1",0.636412588552433,0.0802283956710546,0.01,0.1,0.654563157857781,0.01,"I1","S31I=I1_recommended; carry_to_S32_mechanization_cointegration_candidate_with_rolling_warning",1930,2024,95
"q_omega_h1_ME_minus_NRC","S31I","audit_only_mechanization_q_candidate","mechanization_bias_candidate","candidate_only","I1",0.944636238128403,0.0223228030863297,0.01,0.01,0.99,0.01,"I2_RISK","S31I=I2_risk; audit_only_high_i2_risk",1930,2024,95
"q_omega_h1_ME_share","S31I","audit_only_mechanization_q_candidate","mechanization_bias_candidate","candidate_only","I1",0.952334778451805,0.0272376498865625,0.01,0.01,0.99,0.01,"I2_RISK","S31I=I2_risk; audit_only_high_i2_risk",1930,2024,95
"q_omega_h1_NRC_share","S31I","audit_only_mechanization_q_candidate","mechanization_bias_candidate","candidate_only","I1",0.952334778451805,0.0272376498865629,0.01,0.01,0.99,0.01,"I2_RISK","S31I=I2_risk; audit_only_high_i2_risk",1930,2024,95
"q_omega_h1_ME_NRC_gap","S31I","audit_only_mechanization_q_candidate","mechanization_bias_candidate","candidate_only","I1",0.944636238128398,0.0223228030863272,0.01,0.01,0.99,0.01,"I2_RISK","S31I=I2_risk; audit_only_high_i2_risk",1930,2024,95
"IPP_stock","S20:IPP_stock","validated_upstream","frontier_conditioner","candidate_only","I1",0.99,0.99,0.01,0.01,0.99,0.99,"AMBIGUOUS","S31I=ambiguous_or_higher_order_risk; audit_only_high_i2_risk; Not an additive K_cap component.",1925,2024,100
"IPP_growth","S20:IPP_growth","validated_upstream","frontier_conditioner","candidate_only","I0_or_diagnostic",0.242185830172411,0.01,0.0781133904798264,0.1,0.01,0.01,"I0","S31I=I0_recommended; carry_to_S32_stationary_frontier_conditioner_candidate_with_rolling_warning; Not an additive K_cap component.",1926,2024,99
"IPP_share_total_fixed_assets","S20:IPP_share_total_fixed_assets","validated_upstream","frontier_conditioner","candidate_only","bounded_persistent_or_I0",0.138787910770567,0.01,0.01,0.1,0.708789265782955,0.01,"BOUNDED_PERSISTENT","Bounded ratio/share: persistent evidence is not mechanically promoted to pure I(1).; S31I=I1_recommended; carry_to_S32_frontier_cointegrating_conditioner_candidate_with_rolling_warning; Not an additive K_cap component.",1925,2024,100
"IPP_share_capital_plus_IPP","S20:IPP_share_capital_plus_IPP","validated_upstream","frontier_conditioner","candidate_only","bounded_persistent_or_I0",0.138791824376169,0.01,0.01,0.1,0.708789543426688,0.01,"BOUNDED_PERSISTENT","Bounded ratio/share: persistent evidence is not mechanically promoted to pure I(1).; S31I=I1_recommended; carry_to_S32_frontier_cointegrating_conditioner_candidate_with_rolling_warning; Not an additive K_cap component.",1925,2024,100
"IPP_to_Kcap","S20:IPP_to_Kcap","validated_upstream","frontier_conditioner","candidate_only","bounded_persistent_or_I0",0.356147087761715,0.01,0.01,0.1,0.84815607233491,0.01,"BOUNDED_PERSISTENT","Bounded ratio/share: persistent evidence is not mechanically promoted to pure I(1).; S31I=I1_recommended; carry_to_S32_frontier_cointegrating_conditioner_candidate_with_rolling_warning; Not an additive K_cap component.",1925,2024,100
"GOV_TRANS_stock","S20:GOV_TRANS_stock","validated_upstream","frontier_conditioner","candidate_only","I1",0.99,0.362165042639209,0.01,0.01,0.99,0.01,"I2_RISK","S31I=I2_risk; audit_only_high_i2_risk; Not an additive K_cap component.",1925,2024,100
"GOV_TRANS_growth","S20:GOV_TRANS_growth","validated_upstream","frontier_conditioner","candidate_only","I0_or_diagnostic",0.01,0.01,0.1,0.1,0.01,0.01,"I0","S31I=I0_recommended; carry_to_S32_stationary_frontier_conditioner_candidate; Not an additive K_cap component.",1926,2024,99
"GOV_TRANS_to_Kcap","S20:GOV_TRANS_to_Kcap","validated_upstream","frontier_conditioner","candidate_only","bounded_persistent_or_I0",0.252854133172171,0.01,0.0499645291779233,0.1,0.450285986083881,0.01,"BOUNDED_PERSISTENT","Bounded ratio/share: persistent evidence is not mechanically promoted to pure I(1).; S31I=I1_recommended; carry_to_S32_frontier_cointegrating_conditioner_candidate_with_rolling_warning; Not an additive K_cap component.",1925,2024,100
"GOV_TRANS_to_NRC","S20:GOV_TRANS_to_NRC","validated_upstream","frontier_conditioner","candidate_only","bounded_persistent_or_I0",0.204110614801212,0.01,0.01,0.1,0.407417721742939,0.01,"BOUNDED_PERSISTENT","Bounded ratio/share: persistent evidence is not mechanically promoted to pure I(1).; S31I=I1_recommended; carry_to_S32_frontier_cointegrating_conditioner_candidate_with_rolling_warning; Not an additive K_cap component.",1925,2024,100
"GOV_TRANS_to_ME","S20:GOV_TRANS_to_ME","validated_upstream","frontier_conditioner","candidate_only","bounded_persistent_or_I0",0.607239329381499,0.01,0.0525760567516224,0.1,0.734233605181255,0.01,"BOUNDED_PERSISTENT","Bounded ratio/share: persistent evidence is not mechanically promoted to pure I(1).; S31I=I1_recommended; carry_to_S32_frontier_cointegrating_conditioner_candidate_with_rolling_warning; Not an additive K_cap component.",1925,2024,100
"CORP_GVA","S32C:CORP_GVA","validated_upstream_s32c","corporate_boundary_candidate","diagnostic_or_robustness","I1",0.99,0.462268709748238,0.01,0.01,0.99,0.01,"I2_RISK","Added to S34 as secondary context; S31I remains the primary broad panel.",1929,2025,97
"Py_fred","S32C:Py_fred","validated_upstream_s32c","corporate_boundary_candidate","diagnostic_or_robustness","undetermined",0.99,0.523566334022868,0.01,0.01,0.986880631785776,0.01,"I2_RISK","Added to S34 as secondary context; S31I remains the primary broad panel.",1929,2024,96
"CORP_GVA_real","S32C:CORP_GVA_real","validated_upstream_s32c","corporate_boundary_candidate","diagnostic_or_robustness","I1",0.99,0.01,0.01,0.01,0.987610232603627,0.01,"I2_RISK","Added to S34 as secondary context; S31I remains the primary broad panel.",1929,2024,96
"y_CORP","S32C:y_CORP","validated_upstream_s32c","corporate_boundary_candidate","diagnostic_or_robustness","I1",0.509734235465395,0.01,0.01,0.1,0.70184635919595,0.01,"I1","Added to S34 as secondary context; S31I remains the primary broad panel.",1929,2024,96
"q_increment_omegaCORP_h1_Kcap","S32C:q_increment_omegaCORP_h1_Kcap","validated_upstream_s32c","corporate_boundary_candidate","diagnostic_or_robustness","I0_or_diagnostic",0.0721043887159245,0.01,0.1,0.1,0.01,0.01,"I0","Added to S34 as secondary context; S31I remains the primary broad panel.",1930,2024,95
"q_omegaCORP_h1_Kcap","S32C:q_omegaCORP_h1_Kcap","validated_upstream_s32c","corporate_boundary_candidate","diagnostic_or_robustness","I1",0.817926446402779,0.0542481114775252,0.01,0.1,0.856363174296913,0.01,"I1","Added to S34 as secondary context; S31I remains the primary broad panel.",1930,2024,95
"q_omegaCORP_h1_Kcap__full_long_sample","S32C:q_omegaCORP_h1_Kcap__full_long_sample","validated_upstream_s32c","corporate_boundary_candidate","diagnostic_or_robustness","I1",0.817926446402779,0.0542481114775252,0.01,0.1,0.856363174296913,0.01,"I1","Added to S34 as secondary context; S31I remains the primary broad panel.",1930,2024,95
"q_omegaCORP_h1_Kcap__pre_1974_full","S32C:q_omegaCORP_h1_Kcap__pre_1974_full","validated_upstream_s32c","corporate_boundary_candidate","diagnostic_or_robustness","I1",0.469951196542938,0.322086289342167,0.01,0.0746309540581621,0.439510905038643,0.0879911787038544,"I2_RISK","Added to S34 as secondary context; S31I remains the primary broad panel.",1930,1973,44
"q_omegaCORP_h1_Kcap__post_1973_full","S32C:q_omegaCORP_h1_Kcap__post_1973_full","validated_upstream_s32c","corporate_boundary_candidate","diagnostic_or_robustness","I1",0.012106454128939,0.205858414922701,0.01,0.0313027547995116,0.674387527129876,0.0177731519346503,"I2_RISK","Added to S34 as secondary context; S31I remains the primary broad panel.",1974,2024,51
"q_omegaCORP_h1_Kcap__fordist_core","S32C:q_omegaCORP_h1_Kcap__fordist_core","validated_upstream_s32c","corporate_boundary_candidate","diagnostic_or_robustness","I1",0.967570968464225,0.919495578699312,0.01,0.1,0.488334052297148,0.529351975140448,"I2_RISK","Added to S34 as secondary context; S31I remains the primary broad panel.",1945,1973,29
"q_omegaCORP_h1_Kcap__bridge_1940_1978","S32C:q_omegaCORP_h1_Kcap__bridge_1940_1978","validated_upstream_s32c","corporate_boundary_candidate","diagnostic_or_robustness","I1",0.897103015368498,0.582936083688657,0.01,0.1,0.938054565556444,0.080576320132827,"I2_RISK","Added to S34 as secondary context; S31I remains the primary broad panel.",1940,1978,39
"q_omegaCORP_h1_Kcap__pre_1974_alt_1940_1973","S32C:q_omegaCORP_h1_Kcap__pre_1974_alt_1940_1973","validated_upstream_s32c","corporate_boundary_candidate","diagnostic_or_robustness","I1",0.504774106697424,0.60434274999512,0.01,0.1,0.752930201833435,0.185263314966945,"I2_RISK","Added to S34 as secondary context; S31I remains the primary broad panel.",1940,1973,34
"q_omegaCORP_h1_Kcap__pre_1974_alt_1947_1973","S32C:q_omegaCORP_h1_Kcap__pre_1974_alt_1947_1973","validated_upstream_s32c","corporate_boundary_candidate","diagnostic_or_robustness","I1",0.802657017105167,0.547145220633058,0.01,0.1,0.962759890446015,0.0981435060572211,"I2_RISK","Added to S34 as secondary context; S31I remains the primary broad panel.",1947,1973,27
"q_omegaCORP_h1_ME","S32C:q_omegaCORP_h1_ME","validated_upstream_s32c","corporate_boundary_candidate","diagnostic_or_robustness","I1",0.950825356427125,0.0219553985985564,0.01,0.0996557582750518,0.983941602754419,0.01,"I1","Added to S34 as secondary context; S31I remains the primary broad panel.",1930,2024,95
"q_omegaCORP_h1_NRC","S32C:q_omegaCORP_h1_NRC","validated_upstream_s32c","corporate_boundary_candidate","diagnostic_or_robustness","I1",0.648616615611542,0.0778651372427209,0.01,0.1,0.65919075255028,0.01,"I1","Added to S34 as secondary context; S31I remains the primary broad panel.",1930,2024,95
"q_omegaCORP_h1_ME_minus_NRC","S32C:q_omegaCORP_h1_ME_minus_NRC","validated_upstream_s32c","corporate_boundary_candidate","diagnostic_or_robustness","I1",0.944343929531573,0.0220071021352051,0.01,0.01,0.99,0.01,"I2_RISK","Added to S34 as secondary context; S31I remains the primary broad panel.",1930,2024,95
"q_omegaCORP_h1_ME_share","S32C:q_omegaCORP_h1_ME_share","validated_upstream_s32c","corporate_boundary_candidate","diagnostic_or_robustness","I1",0.952259851734621,0.0266559573770708,0.01,0.01,0.99,0.01,"I2_RISK","Added to S34 as secondary context; S31I remains the primary broad panel.",1930,2024,95
"q_omegaCORP_h1_NRC_share","S32C:q_omegaCORP_h1_NRC_share","validated_upstream_s32c","corporate_boundary_candidate","diagnostic_or_robustness","I1",0.95225985173462,0.0266559573770713,0.01,0.01,0.99,0.01,"I2_RISK","Added to S34 as secondary context; S31I remains the primary broad panel.",1930,2024,95
"q_omegaCORP_h1_ME_NRC_gap","S32C:q_omegaCORP_h1_ME_NRC_gap","validated_upstream_s32c","corporate_boundary_candidate","diagnostic_or_robustness","I1",0.944343929531566,0.0220071021352026,0.01,0.01,0.99,0.01,"I2_RISK","Added to S34 as secondary context; S31I remains the primary broad panel.",1930,2024,95
"Q_omega","S31I:q_omega_h1_Kcap","S34_alias_existing_q_path","distribution_weighted_accumulation_path","second_order_candidate","I1",0.806061351402933,0.0571834422258188,0.01,0.1,0.85199029932438,0.01,"I1","Reduced-form distribution-weighted accumulated path.",1930,2024,95
"q_proxy_mechanization_growth","S31I:g_ME_minus_NRC","S34_alias_existing_mechanization_change","mechanization_q_proxy","diagnostic_candidate","I0_or_diagnostic",0.0498333181449901,0.01,0.0126068709808721,0.1,0.01,0.01,"I1","Observed technique proxy for S34 screening; not a final q-star measure.",1926,2024,99
"Q_q","S34","constructed_for_S34_admissibility_screen","observed_q_weighted_accumulation_path","main_extension_candidate","I1",0.98435945867353,0.0234846849255511,0.01,0.0246109966089706,0.99,0.01,"I2_RISK","Empirical proxy for observed-technique weighted accumulation.",1927,2024,98
"Q_MEshare","S34","constructed_for_S34_admissibility_screen","composition_weighted_accumulation_path","second_order_candidate","I1",0.402065583361645,0.326176662656742,0.01,0.0680078192077442,0.763768573724156,0.01539713553056,"I1","Composition-conditioned accumulated capacity path.",1926,2024,99
"Q_Ishare","S34","not_constructed_missing_authorized_panel_object","flow_composition_weighted_accumulation_path","not_constructed","I1",,,,,,,"DIAGNOSTIC_ONLY","ME investment share is not present in the selected S31I/S32C panel.",,,0
