"model_id","estimator","term","estimate","std_error","t_statistic","p_value","n_obs","r_squared","adj_r_squared","residual_sd","coefficient_status","warning_flags"
"S32C_periodized__pre_1974_full","OLS_diagnostic","q_omegaCORP_h1_Kcap__pre_1974_full",-53.9061777080442,8.26473612057239,-6.52243180201026,7.81964954868056e-08,44,0.967543647696191,0.965960410998444,0.115343784837575,"preliminary_not_promoted",""
"S32C_periodized__pre_1974_full","FM_OLS_Newey_West","(Intercept)",-506.091518329456,95.2191438327246,-5.31501857671109,4.05048309122653e-06,44,0.964588698469667,0.962861317907212,0.121976795882428,"preliminary_not_promoted",""
"S32C_periodized__pre_1974_full","FM_OLS_Newey_West","k_Kcap",45.1418412358034,8.2695146003838,5.45882599127503,2.53737173322342e-06,44,0.964588698469667,0.962861317907212,0.121976795882428,"preliminary_not_promoted",""
"S32C_periodized__pre_1974_full","FM_OLS_Newey_West","q_omegaCORP_h1_Kcap__pre_1974_full",-70.540431256406,13.1363054748113,-5.36988359410995,3.38910864873564e-06,44,0.964588698469667,0.962861317907212,0.121976795882428,"preliminary_not_promoted",""
"S32C_periodized__pre_1974_full","IM_OLS","(Intercept)",-403.276536869707,143.539332233677,-2.80951938812972,0.0075691405988849,44,0.959802119762987,0.957841247556303,0.12995944628504,"preliminary_not_promoted",""
"S32C_periodized__pre_1974_full","IM_OLS","k_Kcap",36.2101206100385,12.4673061915478,2.90440613663496,0.00590353758183376,44,0.959802119762987,0.957841247556303,0.12995944628504,"preliminary_not_promoted",""
"S32C_periodized__pre_1974_full","IM_OLS","q_omegaCORP_h1_Kcap__pre_1974_full",-56.381946866304,19.794703811435,-2.84833495885568,0.00684092584110676,44,0.959802119762987,0.957841247556303,0.12995944628504,"preliminary_not_promoted",""
"S32C_periodized__pre_1974_full","DOLS","(Intercept)",-567.001376118681,98.855759809983,-5.73564329694649,1.02792350411961e-06,44,0.98705491205498,0.986423444350345,0.0756653379770963,"preliminary_not_promoted",""
"S32C_periodized__pre_1974_full","DOLS","k_Kcap",50.4307411797337,8.58684181756011,5.8730255257064,6.55746973027002e-07,44,0.98705491205498,0.986423444350345,0.0756653379770963,"preliminary_not_promoted",""
"S32C_periodized__pre_1974_full","DOLS","q_omegaCORP_h1_Kcap__pre_1974_full",-78.9623179932149,13.6352441575907,-5.79104540267854,8.57550237841572e-07,44,0.98705491205498,0.986423444350345,0.0756653379770963,"preliminary_not_promoted",""
"S32C_periodized__post_1973_full","OLS_diagnostic","(Intercept)",6.22730445801179,7.11426643911824,0.875326291375675,0.385755586111676,51,0.982109514739505,0.981364077853651,0.0532765691899799,"preliminary_not_promoted",""
"S32C_periodized__post_1973_full","OLS_diagnostic","k_Kcap",0.641380128877625,0.515310999951289,1.24464668702638,0.219304616543517,51,0.982109514739505,0.981364077853651,0.0532765691899799,"preliminary_not_promoted",""
"S32C_periodized__post_1973_full","OLS_diagnostic","q_omegaCORP_h1_Kcap__post_1973_full",-0.210807464889926,0.832650433751116,-0.253176430762466,0.801213086915757,51,0.982109514739505,0.981364077853651,0.0532765691899799,"preliminary_not_promoted",""
"S32C_periodized__post_1973_full","FM_OLS_Newey_West","(Intercept)",11.2050092071295,13.3732581376691,0.837866815384936,0.406258322539278,51,0.983280038737844,0.982583373685254,0.0520492544463404,"preliminary_not_promoted",""
"S32C_periodized__post_1973_full","FM_OLS_Newey_West","k_Kcap",0.279540096409619,0.968906754598889,0.288510834590418,0.774198007345792,51,0.983280038737844,0.982583373685254,0.0520492544463404,"preliminary_not_promoted",""
"S32C_periodized__post_1973_full","FM_OLS_Newey_West","q_omegaCORP_h1_Kcap__post_1973_full",0.387637508130865,1.56798921439237,0.247219499071033,0.805792743655582,51,0.983280038737844,0.982583373685254,0.0520492544463404,"preliminary_not_promoted",""
"S32C_periodized__post_1973_full","IM_OLS","(Intercept)",34.2257130413144,16.9632105207257,2.0176435940294,0.049237836924926,51,0.981520042890192,0.980750044677283,0.054720160061954,"preliminary_not_promoted",""
"S32C_periodized__post_1973_full","IM_OLS","k_Kcap",-1.39732865395489,1.23123866336326,-1.13489666588112,0.262054234746679,51,0.981520042890192,0.980750044677283,0.054720160061954,"preliminary_not_promoted",""
