year,swing_id_major,swing_id_plot,d_pi,d_mu,d_p,d_B,d_nu,G_t,N_t,D_t,S_off_t,F_rev_t,mu_t,theta_t,nu_level,chi_t,g_K_t
1951,2,3,0.08213341604720736,-0.006334359080740926,-0.1509062908752064,0.04669257132503368,-0.03673302409678847,0.32279966142497685,-0.06514768668049475,0.7981791976084956,0.3990895988042478,0.6641416058202672,1.3493759333265483,1.2421345806913942,-0.9999993880855856,0.3528554409524907,0.03896286757620615
1952,2,3,-0.26677379084278496,-0.007585549863341368,0.18153389277429688,0.06772498938007132,-0.03813778147348401,0.5617560043339785,-0.06323824002524214,0.8874275672403042,0.4437137836201521,0.7976357683419067,1.339178898851855,1.7144405920600838,-0.9999994109832357,0.377694990841979,0.04044520070742408
1953,2,3,0.4464901036982114,0.013428871065078951,-0.008540152068763213,0.05730175187669673,-0.03244843247486884,0.5582093111836192,0.476232142096355,0.14685740177540374,0.07342870088770184,0.0792477610282665,1.357283852080611,1.7103980259261984,-0.9999994297891452,0.2289297653883116,0.03440119338025838
1954,2,3,0.014625106787307107,-0.06540085701883128,0.09610200340811634,0.031001560107201342,-0.02459162416267624,0.2317211514841323,0.05173618912111727,0.7767308301820689,0.38836541509103445,0.6349631375878425,1.2713568018963184,1.2392369629582314,-0.999999443640544,0.20519011413161448,0.02606628351879081
1955,3,4,0.01163591147987808,-0.00410986779895961,0.08188702408733409,0.03919002311565656,-0.030975540735498797,0.16779836721732713,0.09762755014841032,0.418185338943339,0.20909266947166952,0.2643706302886262,1.2661424160730959,1.237917874042466,-0.9999994606099046,0.20852391431221715,0.03283852399059839
1956,3,4,-0.17475168392688745,-0.03247635095636342,-0.12016634766648568,0.04689466972127576,-0.03710534201515614,0.4113943942861684,-0.3176050548436169,0.22797913813407744,0.11398956906703873,0.12865488383360082,1.2256832693367825,1.2358336344962737,-0.9999994802573912,0.26238101319125845,0.039333740385266935
1957,3,4,-0.051907958599370585,0.029728783652082313,-0.14798146768245285,0.0648776544304468,-0.05138396546150048,0.345879829825853,-0.1566669536607948,0.5470480202916862,0.2735240101458431,0.3765079836991642,1.2626683793285114,1.233028957442666,-0.9999995062892889,0.33241402491962563,0.05446566408294018
1958,3,4,0.17680340253603122,-0.009267712461703381,-0.022371800063829734,0.05988692692373121,-0.047543233341587054,0.3158730753268826,0.15750758359264225,0.5013579950439117,0.2506789975219558,0.33454153385925006,1.2510203903316415,1.231022989887162,-0.9999995292126493,0.265749902381017,0.05038390269724147
1959,3,4,-0.2638491746893543,-0.09450485431763045,-0.012470385084074782,0.03458390006925782,-0.027656080347188805,0.43306439450750617,-0.3638965943689905,0.15971712524917991,0.07985856262458998,0.08678944277564184,1.138207522472155,1.229825337896389,-0.9999995420543876,0.3202102266035255,0.02929435533149416
1960,3,4,-0.08399893520136792,0.026120132307909272,0.08240323957736491,0.05115984469708934,-0.04098114720929047,0.2846632989930219,0.03470313417170513,0.8780905923086494,0.43904529615432475,0.782675130709147,1.1683293338427576,1.2288432151681306,-0.9999995604421744,0.3836454436638402,0.043401520371737945
1961,3,4,-0.13572093323860035,-0.030946478774161887,-0.07014337378986056,0.07513848516931887,-0.04261526872006982,0.3545645396920115,-0.20428756935337378,0.42383530645555856,0.21191765322777925,0.2689029313950992,1.1327273738039934,1.7036276112458832,-0.9999995787805271,0.4556114853817337,0.045139556251960755
1962,3,4,0.17369713970156908,-0.031108216714102258,0.06043052566567576,0.07489365910581647,-0.042771448532606726,0.38290098971977027,0.23514165922635233,0.385894355095705,0.19294717754785257,0.23907626883901142,1.0980326879383788,1.701718285988692,-0.9999995964168402,0.38643141615501553,0.04528388081367751
1963,3,4,0.08614655155792506,-0.0011930804860861427,0.013579797533386881,0.05972763037886608,-0.048397314944560677,0.20904437490082484,0.1098635840395312,0.4744485036172207,0.23722425180861037,0.31100130329404224,1.0967234277470121,1.2274221661471527,-0.9999996154840588,0.37750440261600876,0.05120388235977558
1964,3,4,-0.3136794201385309,-0.035615919233713045,-0.036712082022199104,0.05504359912261059,-0.044479422929407875,0.4855304434464615,-0.37544324520124034,0.22673593330993724,0.11336796665496864,0.1278636033792518,1.0583500230466814,1.2273677921018733,-0.9999996322123165,0.4943750371724879,0.047058728378228665
1965,4,5,0.11299250168818342,-0.03686002467589229,-0.03900538432950712,0.042906515105151755,-0.034766416502343134,0.2665308423010777,0.04526719128559263,0.8301615269183067,0.41508076345915335,0.7096377371924013,1.020049431813537,1.2284157636194757,-0.9999996447792567,0.42791776081328065,0.0367703783197868
1966,4,5,0.21010570454538147,0.06143830036229403,-0.04435263651662458,0.042310688798117724,-0.03400293557896106,0.39221026580137885,0.23549912161020758,0.39955900662358523,0.19977950331179264,0.2496555688570839,1.0846847470368162,1.2284777343717797,-0.99999965665475965,0.3366733660794153,0.03597485759101815
1967,4,5,-0.05927156378519971,-0.013308461809128216,-0.017550686127349627,0.04324646502104379,-0.03479136607760758,0.16816854282032892,-0.08167561277824134,0.5143228845985574,0.2571614422992787,0.346187525719263,1.0703448938499949,1.2281719949745509,-0.9999996683947994,0.35965228757727596,0.03680322737008623
1968,4,5,0.09033525082899574,-0.012675916544814841,0.015138073978673679,0.04572822373302721,-0.036685936014720255,0.20056340110023171,0.10183969598116152,0.49223190560940355,0.24611595280470175,0.32646393529659595,1.0568629200108715,1.2276390682969245,-0.9999996803396037,0.34201974205659746,0.03880961677412742
1969,5,6,0.081031813928511,-0.009583615328445365,0.03808732682520001,0.04407355048977557,-0.03545286588161467,0.2082291724535466,0.11815621003342652,0.43256649084659005,0.21628324542329497,0.27597119005081394,1.0467827318053855,1.2275018021001975,-0.9999996914739426,0.30748869630227454,0.037495483567177246
1970,5,6,-0.01766433827184699,-0.03052921197544821,-0.011930324137980777,0.04863440502031047,-0.03919238129963176,0.1479506607052182,-0.050681850664597274,0.6574408628997104,0.3287204314498552,0.48969229342081444,1.0153081712318708,1.227402465491953,-0.9999997033319243,0.3303734051199805,0.04144151011060515
1971,5,6,-0.11438539860044072,0.04551350204643247,-0.08498302736556602,0.03847778497448928,-0.03108326523555327,0.3144429782224818,-0.14646040418063827,0.5342226911582955,0.26711134557914773,0.3644637476210163,1.0625861335859226,1.227439306020719,-0.9999997124114945,0.3615367337994878,0.03285889674898712
1972,5,6,-0.3460449609289843,-0.03447625609441103,-0.11018905279806514,0.021289632182849516,-0.01736675312461955,0.5293666551289296,-0.48678739076323047,0.08043435292562717,0.04021717646281354,0.04190237153296517,1.026576448214803,1.227757936867246,-0.9999997173628541,0.46151144582333503,0.01834752254657701
1973,5,6,0.38478447033390517,-0.07793528330361006,0.010527486295937305,0.01976767273979796,-0.0160036816816298,0.5090185943548803,0.3211406643844006,0.369098363113026,0.18454918155651304,0.22631552680120684,0.9496081492398367,1.2287357120341589,-0.9999997218500871,0.3093021023549724,0.01691268070317875
1974,5,6,0.2858680867303157,-0.0853155861054802,-0.119673758168137,0.019791807761958324,-0.022281176414793435,0.5329304151806846,0.0783893738038634,0.8529088009036109,0.4264544004518055,0.7435405324140593,0.871951531231218,1.1923072647858783,-0.9999997279790604,0.30899672168772463,0.023538249195606653
1975,5,6,-0.17703925382266683,-0.08467248171693245,-0.15220420242474997,0.01975826086938781,-0.011404515834271933,0.44507871466800897,-0.40556219292923334,0.08878546746107951,0.04439273373053978,0.046454998091257714,0.8011605445997192,1.1558788175375978,-0.9999997310637048,0.38713569376829005,0.012052031119104356
1976,5,7,0.013974324554037354,0.027522449058945908,0.09037867023143581,0.006726559608742022,-0.005895278612022992,0.14449728206518409,0.1327067248411381,0.08159708650247932,0.040798543251239675,0.042533862896254826,0.8235166815103834,1.1569846689548835,-0.9999997326444949,0.2878010423471267,0.0062238445450795155
1977,NA,7,-0.03730536045571553,0.07712949373922129,0.07360920481077787,0.016106880934284362,-0.013725548972761459,0.2178764889127605,0.11581467005580653,0.46843888189248517,0.23421944094624259,0.30585712600964643,0.8895478500618121,1.1542829094988054,-0.9999997362890272,0.30175445921637695,0.014513776487323327
1978,NA,7,0.11221545425999768,0.04941688147239989,-0.023232709050651945,0.028187002339317146,-0.023840785055316616,0.23689283217768328,0.14274584396574616,0.39742438530736734,0.1987121926536837,0.24799103497128386,0.9346107958148379,1.1621608872857172,-0.9999997425017515,0.29889015354886456,0.025208828874060174
