"year","asset","K_real_refrozen","K_current_refrozen","pKN_guardian","I_real_guardian","I_current","survival_L","survival_alpha","survival_lambda","construction_start_year","warmup_status","status"
1974,"ME",12875.7376995495,29182.2549184334,226.645304520723,2497.73539847696,5661,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1975,"ME",14972.9309034757,36137.1504137923,241.349877634202,2582.55776265482,6233,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1976,"ME",17301.8198134482,43234.4263726498,249.883693384929,2908.95332205715,7269,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1977,"ME",19862.356988509,50958.5471673366,256.558409441628,3246.82399541272,8330,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1978,"ME",23431.0195134197,61456.7762035123,262.288101327874,4373.81640338286,11472,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1979,"ME",27536.0870977566,75869.0648245917,275.525947296894,5049.61515838942,13913,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1980,"ME",32101.5735935217,93245.5995968548,290.470494616726,5674.9309501299,16484,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1981,"ME",36806.6119196561,111673.074009754,303.404926955844,6005.83523241596,18222,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1982,"ME",41556.1247232935,127657.235832022,307.192349339702,6266.10657504166,19249,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1983,"ME",47881.8652781795,141256.545829856,295.010532712535,8079.03357919237,23834,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1984,"ME",56173.2395453587,159296.286595463,283.580380773366,10313.477935335,29247,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1985,"ME",65332.4312957268,179816.443702589,275.233050624813,11500.7990240058,31654,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1986,"ME",76191.5671644996,206595.352243074,271.152517176906,13576.1232767694,36812,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1987,"ME",87845.1277724374,232263.386310457,264.400988649177,14809.3243523966,39156,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1988,"ME",100887.895856578,265127.723936306,262.794383493944,16702.7922805708,43894,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1989,"ME",115231.759096556,297889.695642577,258.513536526823,18576.9769139409,48024,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1990,"ME",127481.09303771,329862.444690589,258.754013501447,17129.3961396862,44323,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1991,"ME",137394.113137656,349955.054107376,254.708914461825,15485.9126479108,39444,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1992,"ME",147066.112672643,367596.046308083,249.952922279465,15945.8027681857,39857,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1993,"ME",159942.2813269,390974.107510883,244.446999422114,19849.2925315943,48521,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1994,"ME",174967.748114796,420075.531279172,240.087407996793,22727.9724727291,54567,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1995,"ME",191341.685282094,447145.634402019,233.689608065694,24862.466277776,58101,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1996,"ME",211064.203997868,467984.281633946,221.726030643582,29060.6383981939,64435,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1997,"ME",232691.736319023,480236.336215286,206.383064483595,31900.8733418789,65838,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1998,"ME",264786.828347032,505143.695243892,190.773724809999,43402.7275414712,82801,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1999,"ME",301994.973893727,540581.31305805,179.003413893995,49732.5710518119,89023,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
2000,"ME",338558.724528945,575522.686114048,169.991982015765,50540.0307598228,85914,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
2001,"ME",372993.948860049,590356.509572148,158.275090353719,50061.5730642912,79235,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
2002,"ME",409467.392991224,612263.184152707,149.526725359015,53888.0255730432,80577,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
2003,"ME",445104.974804426,633827.735601863,142.399607166907,54968.5505159109,78275,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
2004,"ME",485720.334466074,681290.118168826,140.263865814416,61973.1956589678,86926,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
2005,"ME",529321.460252433,714076.173957482,134.904066352598,67120.2895866276,90548,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
2006,"ME",575596.173307346,755081.451686158,131.182500284444,72114.0394449534,94601,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
2007,"ME",625964.001447545,785670.601896932,125.51370367626,78690.2123888812,98767,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
2008,"ME",658925.671586823,811238.500646113,123.115327817247,63946.5462146714,78728,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
2009,"ME",666648.851177828,802395.348110177,120.362518692189,41370.8524389923,49795,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
2010,"ME",689993.061694591,816689.077859188,118.361926111755,59354.3906455768,70253,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
2011,"ME",718626.260344467,847558.717864358,117.941517675417,66825.4924588169,78815,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
2012,"ME",755414.939595801,876647.861749501,116.048520594333,77143.5943702773,89524,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
2013,"ME",799942.390327641,905451.13672084,113.189543105721,87106.102997439,98595,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
2014,"ME",853220.031142216,943760.906000788,110.611667747341,98220.1988384826,108643,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
2015,"ME",915574.04812885,978368.998324813,106.858533214686,109873.30301841,117409,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
2016,"ME",980790.733059923,1012593.39740256,103.242553510209,115594.777485041,119343,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
2017,"ME",1043317.3379843,1043317.3379843,100,116048,116048,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
2018,"ME",1110613.93400177,1084154.76294745,97.61760858168,124175.342708353,121217,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
2019,"ME",1182885.74528324,1118477.33024276,94.5549758041037,132719.615158057,125493,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
2020,"ME",1228455.53103888,1141023.1132187,92.8827364433585,109832.035431267,102015,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
2021,"ME",1270750.39487779,1241292.48262205,97.6818490574952,110345.986526685,107788,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
2022,"ME",1294124.11123958,1311472.51524538,101.340551795235,95062.6361248309,96337,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
2023,"ME",1329725.51119848,1336904.2075725,100.539863025381,110643.675704947,111241,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
2024,"ME",1380855.9516735,1363879.05274535,98.7705525034979,129339.157028079,127749,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1931,"NRC",78075.2476109589,92,0.117835040957445,78075.2476109589,92,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1932,"NRC",116633.491116931,129.120035422372,0.11070579658198,38841.6879039912,43,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1933,"NRC",126177.140667191,159.915742002884,0.12673907583996,10257.2942984181,13,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1934,"NRC",144140.820530433,189.068754952475,0.131169473197606,19059.3126514564,25,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1935,"NRC",164451.479820732,226.55196472255,0.137762192817914,21776.6568507313,30,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1936,"NRC",190875.631437173,290.168783434092,0.152019815860885,28285.7861368216,43,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1937,"NRC",226871.067160055,385.037821713986,0.169716582433293,38299.1450028451,65,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1938,"NRC",245889.131872974,427.774096739301,0.173970314784099,21842.8069450577,38,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1939,"NRC",266013.433314059,453.176656013822,0.170358560606522,23479.8884526785,40,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1940,"NRC",295300.266520473,605.36262134852,0.204999009476529,33170.8919831564,68,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1941,"NRC",337681.083922172,843.558929760319,0.249809352647879,46835.7164212816,117,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1942,"NRC",352064.125909297,884.644398166665,0.251273655298404,19500.6515672362,49,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1943,"NRC",349583.290621392,958.966183986563,0.274316939543071,3280.87649818173,9,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1944,"NRC",346320.399251678,1024.69445526315,0.295880478735092,3041.76877044257,9,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1945,"NRC",348720.378718208,1103.54089361526,0.316454374611414,9164.03827111259,29,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1946,"NRC",383743.749378331,1600.11617266354,0.416975175558102,42208.7477424602,176,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1947,"NRC",413306.628612868,2107.46523780517,0.509903565998494,37261.9476837628,190,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1948,"NRC",444500.973896121,2465.50136968695,0.554667259348487,39483.1308877394,219,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1949,"NRC",474206.67241494,2405.8985946715,0.507352328557344,38631.9307053002,196,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1950,"NRC",499390.023001601,2900.18211989285,0.580744906047822,34782.913788204,202,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1951,"NRC",537159.144672408,3789.38313632714,0.705448873748233,48054.5100595037,339,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1952,"NRC",568759.0512566,4336.46456251128,0.762443173946933,42626.1275732295,325,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1953,"NRC",612588.054654126,4778.95596354652,0.780125555377467,55632.0706338106,434,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1954,"NRC",661175.204736257,5204.50638843718,0.787159946585303,61232.790373915,482,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1955,"NRC",722052.935677697,6342.77510329792,0.878436301535812,74450.475106343,654,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1956,"NRC",785782.233501748,7973.80653813348,1.01476034939084,78343.6207846747,795,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1957,"NRC",837883.849044663,9123.13183894119,1.08883013431315,67871.0091419514,739,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1958,"NRC",882814.293672726,10139.3066804982,1.14852090107379,61905.7084059387,711,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1959,"NRC",923746.864487183,11311.7960422833,1.22455582553593,59123.478481117,724,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1960,"NRC",969774.776974673,12686.7000391455,1.30821097231701,65432.8711586873,856,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1961,"NRC",1013914.48075591,14352.2592875475,1.41552956979639,64781.4089911171,917,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1962,"NRC",1057082.33597316,15774.7463407574,1.49229116824046,65067.7307931061,971,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1963,"NRC",1097406.44429993,17041.2453962174,1.55286543875624,63495.5209505939,986,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1964,"NRC",1142818.90215222,18763.8873487824,1.64189508184063,69858.300489832,1147,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1965,"NRC",1184618.66935368,20468.2185043815,1.72783183600752,67541.2951469035,1167,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1966,"NRC",1219393.83412396,22465.4167783538,1.84234298629971,61823.4502733743,1139,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1967,"NRC",1251286.30998354,24432.5318283206,1.95259323412897,60227.597814278,1176,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1968,"NRC",1299608.55997331,27905.4088714567,2.1472164566252,77914.8275823794,1673,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1969,"NRC",1338380.98637691,31374.8612558133,2.3442399118914,69660.1056793052,1633,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1970,"NRC",1369218.28802709,35104.6020946044,2.56384262477145,63030.3897901712,1616,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1971,"NRC",1400896.05825014,40537.7041811217,2.89369821139745,65141.5545883646,1885,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1972,"NRC",1426906.26096577,45591.656277694,3.19514025026679,60717.2095133543,1940,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1973,"NRC",1460458.16232414,51994.2181765803,3.56013061639765,69463.7435101279,2473,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1974,"NRC",1505275.57442061,62893.2712724738,4.17818985049843,81925.4299703892,3423,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1975,"NRC",1547382.37649219,68279.300504582,4.41256805957468,80452.0168770423,3550,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1976,"NRC",1579822.06833701,75033.529345847,4.74949241751197,72049.8044671607,3422,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1977,"NRC",1610982.38327681,85566.2240679695,5.31143139467012,72014.485658956,3825,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1978,"NRC",1648725.60388402,98804.250466624,5.99276497155523,79812.9081100727,4783,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1979,"NRC",1700765.07250964,118036.490168011,6.94019956523667,95328.6708517637,6616,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1980,"NRC",1766751.3831868,139894.405020594,7.9181715295028,110555.826776206,8754,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1981,"NRC",1854835.49715912,161694.280759722,8.71744588710827,134041.554731992,11685,30,1.6,33.4606966397767,1931,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
