"year","K_real_ME_refrozen","K_real_NRC_refrozen","K_real_capacity_refrozen","K_current_ME_refrozen","K_current_NRC_refrozen","K_current_capacity_refrozen","pKN_ME","pKN_NRC","pKN_capacity","status"
1957,573.023439240968,837883.849044663,838456.872483904,3872.66437972327,9123.13183894119,12995.7962186645,675.83001226844,1.08883013431315,1.54996597262836,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1958,654.769049903866,882814.293672726,883469.06272263,4023.94285474408,10139.3066804982,14163.2495352423,614.559111389715,1.14852090107379,1.60314040783666,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1959,763.655209530614,923746.864487183,924510.519696713,4226.90102545113,11311.7960422833,15538.6970677344,553.50909320048,1.22455582553593,1.68074854062579,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1960,885.900392347203,969774.776974673,970660.67736702,4406.7724752065,12686.7000391455,17093.472514352,497.434306754364,1.30821097231701,1.76101421567,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1961,1006.73173475824,1013914.48075591,1014921.21249067,4532.22330331149,14352.2592875475,18884.482590859,450.191758820423,1.41552956979639,1.86068458895597,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1962,1177.97682950164,1057082.33597316,1058260.31280266,4791.77876344669,15774.7463407574,20566.525104204,406.780391892253,1.49229116824046,1.94342779894452,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1963,1348.8447582032,1097406.44429993,1098755.28905813,4979.89897064857,17041.2453962174,22021.1443668659,369.197340195198,1.55286543875624,2.00419006726627,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1964,1651.37963359648,1142818.90215222,1144470.28178581,5460.63432863333,18763.8873487824,24224.5216774157,330.671047258879,1.64189508184063,2.11665799129499,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1965,2108.22574391432,1184618.66935368,1186726.89509759,6055.94811037757,20468.2185043815,26524.1666147591,287.253304246895,1.72783183600752,2.23506914053531,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1966,2656.04928858402,1219393.83412396,1222049.88341254,6900.31534231458,22465.4167783538,29365.7321206684,259.79620829978,1.84234298629971,2.40298964217937,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1967,3325.59961016234,1251286.30998354,1254611.9095937,8108.1345247503,24432.5318283206,32540.6663530709,243.809702766789,1.95259323412897,2.59368383993812,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1968,4222.45407557716,1299608.55997331,1303831.01404889,9715.18026180087,27905.4088714567,37620.5891332576,230.083740116769,2.1472164566252,2.88538842287786,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1969,5230.64995915863,1338380.98637691,1343611.63633607,11694.1456175171,31374.8612558133,43069.0068733305,223.569646388614,2.3442399118914,3.20546545657914,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1970,6217.04736451688,1369218.28802709,1375435.33539161,13540.6907375471,35104.6020946044,48645.2928321515,217.799381983626,2.56384262477145,3.53671972650764,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1971,7486.01536947539,1400896.05825014,1408382.07361962,15384.8194089484,40537.7041811217,55922.5235900702,205.514130677327,2.89369821139745,3.97069265773501,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1972,8839.47912381149,1426906.26096577,1435745.74008958,17965.6728208712,45591.656277694,63557.3290985653,203.243568645079,3.19514025026679,4.42678165944619,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1973,10780.0928121155,1460458.16232414,1471238.25513626,21729.8805554423,51994.2181765803,73724.0987320226,201.574150929579,3.56013061639765,5.01102377365756,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1974,12875.7376995495,1505275.57442061,1518151.31212016,29182.2549184334,62893.2712724738,92075.5261909072,226.645304520723,4.17818985049843,6.06497688707459,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1975,14972.9309034757,1547382.37649219,1562355.30739567,36137.1504137923,68279.300504582,104416.450918374,241.349877634202,4.41256805957468,6.68327175157289,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1976,17301.8198134482,1579822.06833701,1597123.88815046,43234.4263726498,75033.529345847,118267.955718497,249.883693384929,4.74949241751197,7.40505834243432,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1977,19862.356988509,1610982.38327681,1630844.74026532,50958.5471673366,85566.2240679695,136524.771235306,256.558409441628,5.31143139467012,8.37141438817131,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1978,23431.0195134197,1648725.60388402,1672156.62339744,61456.7762035123,98804.250466624,160261.026670136,262.288101327874,5.99276497155523,9.58409185047048,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1979,27536.0870977566,1700765.07250964,1728301.1596074,75869.0648245917,118036.490168011,193905.554992603,275.525947296894,6.94019956523667,11.2194309374097,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1980,32101.5735935217,1766751.3831868,1798852.95678032,93245.5995968548,139894.405020594,233140.004617449,290.470494616726,7.9181715295028,12.9604814967608,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1981,36806.6119196561,1854835.49715912,1891642.10907878,111673.074009754,161694.280759722,273367.354769476,303.404926955844,8.71744588710827,14.45132530395,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1982,41556.1247232935,1948144.07454188,1989700.19926518,127657.235832022,182494.490427266,310151.726259288,307.192349339702,9.36760749946998,15.5878622504954,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1983,47881.8652781795,2019096.88720916,2066978.75248734,141256.545829856,199894.442005076,341150.987834931,295.010532712535,9.90019068779676,16.5048134831768,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1984,56173.2395453587,2113756.62054726,2169929.86009262,159296.286595463,223547.541952359,382843.828547822,283.580380773366,10.5758411247214,17.6431430152991,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1985,65332.4312957268,2239945.22297547,2305277.6542712,179816.443702589,250757.695210228,430574.138912817,275.233050624813,11.1948137230396,18.6777561529325,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1986,76191.5671644996,2351717.03754924,2427908.60471374,206595.352243074,281526.26012794,488121.612371013,271.152517176906,11.9710941253937,20.1046123162682,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1987,87845.1277724374,2443743.93134778,2531589.05912022,232263.386310457,311555.465879826,543818.852190283,264.400988649177,12.7491044328853,21.4813241600622,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1988,100887.895856578,2526521.39253224,2627409.28838882,265127.723936306,342197.968324669,607325.692260975,262.794383493944,13.5442339548804,23.1150013416219,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1989,115231.759096556,2619446.28330012,2734678.04239667,297889.695642577,376724.455972166,674614.151614743,258.513536526823,14.3818355189765,24.6688692839143,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1990,127481.09303771,2704860.68356503,2832341.77660274,329862.444690589,408348.284740718,738210.729431307,258.754013501447,15.0968324254879,26.0636175877318,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1991,137394.113137656,2753783.20782487,2891177.32096253,349955.054107376,427198.044134891,777153.098242267,254.708914461825,15.5131327303111,26.8801602934385,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1992,147066.112672643,2788118.80481481,2935184.91748745,367596.046308083,453933.00760945,821529.053917533,249.952922279465,16.2809779420286,27.9890050205345,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1993,159942.2813269,2800857.97467146,2960800.25599836,390974.107510883,485045.688840416,876019.796351299,244.446999422114,17.3177538178212,29.5872642734527,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1994,174967.748114796,2817361.69047931,2992329.43859411,420075.531279172,523957.059901113,944032.591180285,240.087407996793,18.5974368030813,31.5484177311647,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1995,191341.685282094,2825323.5986288,3016665.2839109,447145.634402019,553218.761266139,1000364.39566816,233.689608065694,19.580722064355,33.1612658853307,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1996,211064.203997868,2844468.43554664,3055532.63954451,467984.281633946,587971.673427377,1055955.95506132,221.726030643582,20.6707047995202,34.5588177129973,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1997,232691.736319023,2872045.20037757,3104736.93669659,480236.336215286,638586.391356011,1118822.7275713,206.383064483595,22.2345522720903,36.0359911446061,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1998,264786.828347032,2885849.30282105,3150636.13116808,505143.695243892,691762.676685251,1196906.37192914,190.773724809999,23.9708523937484,37.9893558665372,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1999,301994.973893727,2891478.59679933,3193473.57069305,540581.31305805,744335.281182827,1284916.59424088,179.003413893995,25.742375613873,40.2357046581733,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
2000,338558.724528945,2891295.71299011,3229854.43751906,575522.686114048,794474.822911871,1369997.50902592,169.991982015765,27.4781586450126,42.4166951027754,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
2001,372993.948860049,2883113.04727889,3256106.99613893,590356.509572148,842987.383463483,1433343.89303563,158.275090353719,29.2387904892978,44.0201717798364,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
2002,409467.392991224,2849787.01082123,3259254.40381246,612263.184152707,883589.614621433,1495852.79877414,149.526725359015,31.0054615052374,45.8955519711622,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
2003,445104.974804426,2809387.679785,3254492.65458942,633827.735601863,920798.407499015,1554626.14310088,142.399607166907,32.775768688837,47.7686173575649,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
2004,485720.334466074,2766564.61863558,3252284.95310165,681290.118168826,1022375.06632235,1703665.18449118,140.263865814416,36.9546787172667,52.3836382438267,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
2005,529321.460252433,2722455.77059854,3251777.23085097,714076.173957482,1144246.99486577,1858323.16882326,134.904066352598,42.0299571887704,57.1479236398044,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
2006,575596.173307346,2680815.74349007,3256411.91679742,755081.451686158,1261095.26898438,2016176.72067054,131.182500284444,47.0414750453009,61.9140567036552,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
2007,625964.001447545,2644826.50597155,3270790.50741909,785670.601896932,1342166.51657669,2127837.11847362,125.51370367626,50.7468642478559,65.0557445867315,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
2008,658925.671586823,2604374.55447373,3263300.22606055,811238.500646113,1455049.99829275,2266288.49893886,123.115327817247,55.8694599359105,69.447747431891,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
2009,666648.851177828,2552282.89864901,3218931.74982684,802395.348110177,1410880.87959164,2213276.22770181,120.362518692189,55.2791730234314,68.7580973974013,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
2010,689993.061694591,2484287.00180357,3174280.06349816,816689.077859188,1431716.12452265,2248405.20238184,118.361926111755,57.6308664612114,70.8319731531193,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
2011,718626.260344467,2412483.46630862,3131109.72665309,847558.717864358,1506905.29101832,2354464.00888267,117.941517675417,62.4628235618151,75.1958319710313,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
2012,755414.939595801,2343441.33710294,3098856.27669874,876647.861749501,1558899.69195793,2435547.55370743,116.048520594333,66.5218141916497,78.59504721213,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
2013,799942.390327641,2271590.35432922,3071532.74465686,905451.13672084,1640614.79909581,2546065.93581665,113.189543105721,72.2231803797331,82.8923585543962,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
2014,853220.031142216,2203723.40136602,3056943.43250824,943760.906000788,1714916.92254308,2658677.82854386,110.611667747341,77.8190639297132,86.971770568957,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
2015,915574.04812885,2139727.79197646,3055301.84010531,978368.998324813,1796913.97633269,2775282.9746575,106.858533214686,83.9786249012957,90.8349852125197,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
2016,980790.733059923,2079217.07166972,3060007.80472964,1012593.39740256,1896464.96957771,2909058.36698027,103.242553510209,91.2105328211233,95.0670244201319,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
2017,1043317.3379843,2018394.35548266,3061711.69346696,1043317.3379843,2018394.35548266,3061711.69346696,100,100,100,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
2018,1110613.93400177,1959312.86591069,3069926.79991246,1084154.76294745,2198542.57758879,3282697.34053624,97.61760858168,112.20987805676,106.9308017582,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
2019,1182885.74528324,1904540.46266283,3087426.20794607,1118477.33024276,2368016.4154289,3486493.74567167,94.5549758041037,124.335316673612,112.925573304344,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
2020,1228455.53103888,1847641.86471586,3076097.39575474,1141023.1132187,2507400.0080189,3648423.1212376,92.8827364433585,135.708118326519,118.605578817911,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
2021,1270750.39487779,1785817.0255864,3056567.42046419,1241292.48262205,3056914.07550963,4298206.55813168,97.6818490574952,171.177339655268,140.6220104734,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
2022,1294124.11123958,1725613.90183897,3019738.01307856,1311472.51524538,3736621.35018487,5048093.86543025,101.340551795235,216.538667554937,167.169928105247,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
2023,1329725.51119848,1667595.76170726,2997321.27290574,1336904.2075725,3851075.94330118,5187980.15087368,100.539863025381,230.935819803146,173.087222840287,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
2024,1380855.9516735,1610204.81282781,2991060.76450131,1363879.05274535,4015502.37533655,5379381.4280819,98.7705525034979,249.378361270986,179.848617317501,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
