"year","reconstruction","theta_scale","theta_tau","theta_me","theta_nrc","g_me","g_nrc","g_cap","g_p","vartheta_path","C_scale","C_composition","C_distribution","identity_error"
1972,"CURRENT_CODE_ORTH_AS_PRIMITIVE",0.23784,0.303685630799425,0.303685630799425,-0.0658456307994246,0.166191289691826,0.0183965732653597,0.0192428137004175,0.0492585726722265,2.55984251778927,0.227380519998394,2.39685826996322,-0.0643962721723468,4.44089209850063e-16
1973,"CURRENT_CODE_ORTH_AS_PRIMITIVE",0.23784,0.300986111981889,0.300986111981889,-0.0631461119818885,0.198473222834213,0.0232415495487572,0.0244200029155657,0.0582700701829464,2.38616147526355,0.226362386760934,2.23933422413048,-0.0795351356278616,-4.44089209850063e-16
1945,"CORRECTED_PRIMITIVE_BASIS",0.341429428018073,0.27155795981899,0.27155795981899,0.069871468199083,0.0455771302240722,0.00690603797987954,0.0069151901828679,0.0128593675111463,1.85958262478519,0.340977548698953,1.54882078609523,-0.0302157100089916,-2.22044604925031e-16
1946,"CORRECTED_PRIMITIVE_BASIS",0.341429428018073,0.245849570031454,0.245849570031454,0.0955798579866191,0.15361127201546,0.0957046165505027,0.0957190001566612,0.0469126988355463,0.490108533924982,0.341378121731802,0.167551834397152,-0.0188214222039723,0
1947,"CORRECTED_PRIMITIVE_BASIS",0.341429428018073,0.265336932786327,0.265336932786327,0.0760924952317457,0.165302097395633,0.0742147491452823,0.0742391290514917,0.0495079369515667,0.666871198303369,0.341317303623046,0.339816176668757,-0.0142622819884346,1.11022302462516e-16
1948,"CORRECTED_PRIMITIVE_BASIS",0.341429428018073,0.285823812932347,0.285823812932347,0.0556056150857259,0.157601916540943,0.0727624862948577,0.0727872800988614,0.0490923835167702,0.674463772380171,0.341313125632438,0.322820503628973,0.01033014311876,0
1949,"CORRECTED_PRIMITIVE_BASIS",0.341429428018073,0.287506712550318,0.287506712550318,0.0539227154677552,0.170175704473984,0.0646909984760384,0.0647249079945471,0.0524149716533981,0.809811450914907,0.341250552406388,0.451374388938905,0.0171865095696146,1.11022302462516e-16
1950,"CORRECTED_PRIMITIVE_BASIS",0.341429428018073,0.301373562912033,0.301373562912033,0.0400558651060403,0.173295804440783,0.0517441552557525,0.0517879318957828,0.054299430924976,1.04849583555967,0.341140815736814,0.650056560916641,0.0572984589062133,0
1951,"CORRECTED_PRIMITIVE_BASIS",0.341429428018073,0.292455782641692,0.292455782641692,0.0489736453763808,0.156231605270702,0.0729070097215807,0.0729402438793176,0.0492613584323681,0.67536596825578,0.341273860681534,0.316391539535184,0.0177005680390621,0
1952,"CORRECTED_PRIMITIVE_BASIS",0.341429428018073,0.276570593185354,0.276570593185354,0.0648588348327185,0.137026149090866,0.0571624750385205,0.0571970348759141,0.0416048948631185,0.727396008436069,0.341223128066698,0.386718215286999,-0.000545334917628374,1.11022302462516e-16
1953,"CORRECTED_PRIMITIVE_BASIS",0.341429428018073,0.26576086524676,0.26576086524676,0.0756685627713132,0.174218473972154,0.0742358103507801,0.0742831524951466,0.051917769460217,0.698917153032904,0.341211828189185,0.372780541275535,-0.0150752164318153,0
1954,"CORRECTED_PRIMITIVE_BASIS",0.341429428018073,0.267853131746772,0.267853131746772,0.0735762962713011,0.15734716814598,0.0763261700581968,0.0763681598538799,0.0477617286608423,0.625414161506941,0.341241698577556,0.29383540325033,-0.00966294032094443,0
1955,"CORRECTED_PRIMITIVE_BASIS",0.341429428018073,0.287596929634816,0.287596929634816,0.0538324983832565,0.177537976866656,0.0880795894735122,0.0881300779551388,0.0558009213983581,0.633165460567987,0.341233827902843,0.281135552029508,0.010796080635636,0
1956,"CORRECTED_PRIMITIVE_BASIS",0.341429428018073,0.27454793361316,0.27454793361316,0.066881494404913,0.147292534419757,0.0845812431100423,0.0846194258699011,0.0460957808994143,0.544742302675093,0.341275365074195,0.205255369763868,-0.0017884321629702,0
1957,"CORRECTED_PRIMITIVE_BASIS",0.341429428018073,0.271025385416774,0.271025385416774,0.0704040426012994,0.148603300527728,0.0641997884885122,0.0642551063143983,0.0447951914434716,0.69714601706968,0.341135488209474,0.363807568782727,-0.00779703992252221,1.11022302462516e-16
1958,"CORRECTED_PRIMITIVE_BASIS",0.341429428018073,0.269228779780123,0.269228779780123,0.0722006482379497,0.133355955834397,0.0522353796267794,0.052293128607948,0.0396746895357156,0.758697951181401,0.341052376536666,0.42964054580618,-0.0119949711614449,0
1959,"CORRECTED_PRIMITIVE_BASIS",0.341429428018073,0.281567164113305,0.281567164113305,0.0598622639047684,0.15383381298354,0.0453232123824598,0.0454081551375296,0.0460277005671624,1.0136439242633,0.340790733136285,0.661846334919977,0.0110068562070408,-2.22044604925031e-16
1960,"CORRECTED_PRIMITIVE_BASIS",0.341429428018073,0.271339827597539,0.271339827597539,0.0700896004205339,0.148488129421934,0.0486257779254267,0.0487125207762276,0.0436989047825594,0.897077467686401,0.340821441376001,0.567779937667908,-0.0115239113575082,-1.11022302462516e-16
1961,"CORRECTED_PRIMITIVE_BASIS",0.341429428018073,0.274753985376657,0.274753985376657,0.0666754426414162,0.127859936491297,0.0445099862378591,0.0445893149666876,0.0380977501553626,0.854414340830874,0.34082199185249,0.517718165000663,-0.0041258160222786,-1.11022302462516e-16
1962,"CORRECTED_PRIMITIVE_BASIS",0.341429428018073,0.28132815132714,0.28132815132714,0.0601012766909333,0.157089237875669,0.041694036653583,0.0418153592001964,0.04669948971823,1.11680230928186,0.340438809056805,0.764312171182219,0.0120513290428399,-2.22044604925031e-16
1963,"CORRECTED_PRIMITIVE_BASIS",0.341429428018073,0.288553025782016,0.288553025782016,0.0528764022360568,0.135450075753616,0.0374370181991779,0.0375516381912337,0.0410640640339276,1.09353588849591,0.340387272729726,0.722892814671187,0.0302558010949926,0
1964,"CORRECTED_PRIMITIVE_BASIS",0.341429428018073,0.291520361765688,0.291520361765688,0.0499090662523853,0.202362588678364,0.0405483134878555,0.0407639102517816,0.0610165435236455,1.49682754050757,0.339623637569238,1.09941043312355,0.0577934698147808,0
1965,"CORRECTED_PRIMITIVE_BASIS",0.341429428018073,0.298398370245368,0.298398370245368,0.0430310577727046,0.244235633974414,0.0359229933373353,0.0362571152413675,0.0744253195354768,2.05270935208219,0.338283037307654,1.59126032911074,0.123165985663799,0
1966,"CORRECTED_PRIMITIVE_BASIS",0.341429428018073,0.290536465770789,0.290536465770789,0.0508929622472842,0.230993074801905,0.0289329532100133,0.0293306718358401,0.0685843952658925,2.33831654623359,0.336799706486694,1.90799599003403,0.0935208497128655,-4.44089209850063e-16
1967,"CORRECTED_PRIMITIVE_BASIS",0.341429428018073,0.281904642860506,0.281904642860506,0.059524785157567,0.224810202842225,0.0258181921988712,0.0262966083376845,0.0649118622874298,2.46844997856272,0.335217777202421,2.09582376534174,0.0374084360185645,0
1968,"CORRECTED_PRIMITIVE_BASIS",0.341429428018073,0.282312500557404,0.282312500557404,0.0591169274606685,0.238766501786191,0.0378910412185078,0.0384805752764681,0.0696467701037274,1.80992018968901,0.336198625859831,1.4457865758221,0.0279349880070771,2.22044604925031e-16
1969,"CORRECTED_PRIMITIVE_BASIS",0.341429428018073,0.267903344311054,0.267903344311054,0.0735260837070185,0.214119052009828,0.0293975529433137,0.0300543746306072,0.059524697052637,1.98056681545512,0.333967677249381,1.70227063417037,-0.0556714959646257,0
1970,"CORRECTED_PRIMITIVE_BASIS",0.341429428018073,0.255873676654716,0.255873676654716,0.0855557513633565,0.172759548277771,0.0227793199531856,0.0234090492822769,0.0461535226291823,1.97161029790839,0.332244598593982,1.77447176347909,-0.135106064164677,0
1971,"CORRECTED_PRIMITIVE_BASIS",0.341429428018073,0.268939919075409,0.268939919075409,0.0724895089426638,0.185741568769142,0.0228720891800602,0.0236712914629997,0.051611308986868,2.18033346712582,0.329901912556515,1.90562136937437,-0.0551898148050681,4.44089209850063e-16
1972,"CORRECTED_PRIMITIVE_BASIS",0.341429428018073,0.268576783781492,0.268576783781492,0.0728526442365809,0.166191289691826,0.0183965732653597,0.0192428137004175,0.0459753610852022,2.38922237677771,0.326414399955869,2.12720424899419,-0.0643962721723468,-8.88178419700125e-16
1973,"CORRECTED_PRIMITIVE_BASIS",0.341429428018073,0.265877264963956,0.265877264963956,0.0755521630541169,0.198473222834213,0.0232415495487572,0.0244200029155657,0.0545254669968804,2.23281983976034,0.324952826423611,1.98740214896459,-0.0795351356278616,0
