year,r,mu,B,PyPK,B_real,pi,dlnr,phi_mu,phi_PyPK,phi_Br,phi_pi,regime,ECT_m,theta_CL,omega
1953,0.10005985239984928,0.9106919838907288,0.19397386654264587,1.1403810027915389,0.1700956663324075,0.5664285318081935,0.4759896374110708,0.04153584410926019,-0.008540152068763462,-0.0034961583276373887,0.4464901036982116,Early ISI,-1.025456689746596,0.8990824154793456,0.4335714681918065
1954,0.10535803192189253,0.8607559569740348,0.21295649391819468,1.255412775080109,0.1696306570598708,0.5747734837359143,0.05159584676119788,-0.05639370952142013,0.0961020034081165,-0.0027375539128053905,0.014625106787306996,Mid ISI,-1.1010571074257367,0.8955396270593571,0.4252265162640857
1955,0.1161250355897647,0.8672523747312355,0.23026621685526255,1.3625411474195033,0.16899762424889728,0.5815005590394794,0.09730312590828394,0.007519001204368325,0.08188702408733395,-0.0037388108632965267,0.011635911479878192,Mid ISI,-1.0241115732836352,0.8872593945121183,0.4184994409605206
1956,0.08449118896748278,0.8516382610848248,0.2031888220166067,1.2082645808026875,0.16816583490482034,0.4882659560995566,-0.31802024725981815,-0.018168163597768128,-0.12016634766648554,-0.004934052068677142,-0.17475168392688767,Mid ISI,-0.6533337933390158,0.8758695713084937,0.5117340439004434
1957,0.07219206858933591,0.8956122739817161,0.173882687888904,1.042064281253864,0.16686368683482714,0.4635676322725889,-0.15731706982103377,0.05034572890939017,-0.14798146768245274,-0.007773372448600213,-0.051907958599370585,Mid ISI,-0.4923938585127008,0.8589628521214165,0.5364323677274111
1958,0.08445898288314037,0.9049762083852736,0.16869835141073564,1.019010268908908,0.1655511789801365,0.5532199673134669,0.15693582031557574,0.010401064888122244,-0.022371800063830126,-0.007896847044747357,0.17680340253603122,Mid ISI,-1.1404722903622204,0.8450251430580896,0.4467800326865331
1959,0.05868655546994664,0.8328796982430641,0.1658237521132438,1.006381723518553,0.16477222135303093,0.42492238072368094,-0.36405534423658237,-0.08301944241630196,-0.012470385084074642,-0.004716342046851674,-0.2638491746893543,Mid ISI,-0.48210639185876936,0.8398694461934965,0.5750776192763191
1960,0.06074672417130686,0.869751011892761,0.17877162525640478,1.092823469537694,0.163586919790469,0.3906873342548224,0.03450249505053815,0.04331776559980652,0.08240323957736512,-0.007219574925265704,-0.08399893520136792,Mid ISI,-0.02959364715220758,0.8344216201850965,0.6093126657451776
1961,0.04979324928513773,0.8778084359608996,0.1662969321786906,1.0248254373485213,0.16226854459130347,0.3411037387456055,-0.1988337393420423,0.009221410092200288,-0.06424239305970394,-0.00809182313593837,-0.13572093323860035,Mid ISI,0.35009043394536654,0.8224959933797064,0.6588962612543945
1962,0.06335254560452198,0.885829943945551,0.1762347409656875,1.0951046923434582,0.16092958253019238,0.4058094806227487,0.24083567082226187,0.009096607773786722,0.06632767508326193,-0.008285751736355706,0.17369713970156908,Late ISI,-0.2154047288534766,0.8178435961526282,0.5941905193772513
1963,0.07114609789049986,0.9031126827564964,0.17810412717117316,1.1166468122193778,0.1594990691973449,0.4423185577929475,0.1160203904686421,0.019322337410668675,0.01948030876449483,-0.008928807264446448,0.08614655155792506,Late ISI,-0.5236324803719548,0.824745237961993,0.5576814422070525
1964,0.04917170249934029,0.8880688745458403,0.17130209594916718,1.0827822623771466,0.15820548775253257,0.3232257260268422,-0.36941717402734664,-0.016798031327542734,-0.030796379539856936,-0.008143343021416172,-0.3136794201385309,Late ISI,0.17621998074814105,0.826546804281046,0.6767742739731578
1965,0.05176492805866076,0.8684162320908735,0.1647137074686356,1.0475406355130437,0.15723848973931726,0.3618911308274272,0.05139454986692549,-0.02237817162876979,-0.03308873245461065,-0.006131047737877537,0.11299250168818342,Late ISI,-0.11300359885400636,0.8323002514158788,0.6381088691725728
1966,0.06589626271986844,0.9367633736075052,0.1575452068561314,1.0080665172728336,0.15628453495543662,0.4465043432389359,0.24136887306829813,0.07575958439334374,-0.038411008084335355,-0.006085407786091679,0.21010570454538136,Late ISI,-0.44917868199286826,0.8311800539081532,0.553495656761064
1967,0.06108634238586746,0.938050737774945,0.1547509835859567,0.996419020283819,0.15530713528719833,0.4208083749961733,-0.07579341619905877,0.0013733248133314946,-0.01162156360201496,-0.006273613625175756,-0.0592715637851996,Late ISI,-0.4471335869437451,0.8297533914895324,0.5791916250038267
1968,0.06802558805976357,0.940858857039897,0.15697531079934313,1.0176293718615284,0.15425587658912737,0.46059209028789094,0.10759561707304854,0.002989096828830702,0.02106318381687168,-0.006791914401649279,0.09033525082899574,Late ISI,-0.6221184555879287,0.8257536548141438,0.5394079097121091
1969,0.07700772660158983,0.9461121369730396,0.16296094838867534,1.0634330145154467,0.15324044501564446,0.49946854770094873,0.1240218329031828,0.005567964236600366,0.04402659074855615,-0.0066045360104849404,0.081031813928511,Late ISI,-0.7246589064600659,0.824203090246213,0.5005314522990513
1970,0.07363833709963243,0.9331499439971228,0.16081106116344163,1.057099325035589,0.15212483572253505,0.4907232338076646,-0.04473998766714393,-0.0137952004390052,-0.005973696506814924,-0.007306752449476983,-0.01766433827184699,Late ISI,-0.7444124907667797,0.8237479731466587,0.5092767661923354
1971,0.06398968955463519,0.9895787981850234,0.14774063050405642,0.9767719969544988,0.15125395789877324,0.43768299457852544,-0.14044380495472852,0.05871349660336163,-0.07903069602962405,-0.0057412069280253775,-0.11438539860044072,Late ISI,-0.5792989637718895,0.8249345356915954,0.5623170054214746
1972,0.03957140432494055,0.9629802625691172,0.13270577449688598,0.880093301386482,0.15078602949008232,0.30965226149215186,-0.48061522526803024,-0.027246480404083503,-0.10422532808416227,-0.0030984558508000415,-0.3460449609289843,Late ISI,0.17989200640244007,0.829183423345501,0.6903477385078481
1973,0.05492828457409154,0.8967376078748159,0.13463148121701818,0.8953828027966108,0.15036192430378872,0.4549713277689885,0.3279216731538157,-0.07126961842630657,0.01722341329890316,-0.002816592052685696,0.38478447033390517,Crisis,0.09076950361146884,0.8326206808662686,0.5450286722310115
1974,0.06430416386643842,0.8879271737247603,0.1195987904433335,0.7983744597135108,0.149802876317274,0.6055290191679406,0.15759596845371338,-0.009873569329415535,-0.11467360430499719,-0.0037249446421898647,0.2858680867303157,Crisis,-1.0573399311389051,0.8401066899980932,0.3944709808320595
1975,0.03940768588351084,0.7655274171121955,0.10147811546368096,0.6787115238461366,0.1495158280039547,0.5072800581286633,-0.4896635155470901,-0.1483246976482315,-0.1623815522902664,-0.001918011785925433,-0.17703925382266683,Crisis,-0.6573661095647214,0.8403170361528615,0.4927199418713367
1976,0.04515145404558748,0.7883943363909051,0.11132981388202108,0.7453126188973656,0.14937331135856152,0.514418717098972,0.13606161365420588,0.029433361168521438,0.09360757018507859,-9.536422534315303e-4,0.013974324554037354,Crisis,-0.7046113617426144,0.8436102291376392,0.485581282901028
1977,0.0492869233075757,0.8555322035372726,0.1162465565405928,0.7800497601324268,0.14902453982020064,0.49558168708773087,0.08763631443416875,0.08172534398811679,0.04555395964678144,-0.0023376287450140865,-0.03730536045571553,Crisis,-0.3753101214095409,0.8402919450149647,0.5044183129122691
1978,0.05728105870410423,0.9063797521944246,0.11398587535391996,0.768094407340396,0.1484008661755623,0.5544339327928665,0.1503112068907786,0.057734635189345046,-0.015445060873056138,-0.00419382168550797,0.1122154542599978,Crisis,-0.5884718118212344,0.8350909179744689,0.4455660672071336
