year,y_t,K_ME_repaired,K_NRC_repaired,K_cap_repaired,k_ME,k_NRC,k_Kcap,g_K_ME,g_K_NRC,g_Kcap,ME_share,NRC_share,omega_NFC,omega_CORP,Q_omega,Q_MEshare,Q_q_if_retained,q_proxy_if_retained
1950,13.65173907964876,191.075648248835,499390.023001601,499581.09864985,5.252669413763962,13.121142678657884,13.1215252235512,0.17329580444078285,0.05174415525575249,0.05178793189578279,0.00038247173234781954,0.9996175282676522,0.609475288313768,0.608547071813662,1.1848274661804616,0.0003698549284455825,9.845992829219768e-06,4.376085454887128e-05
1951,13.706033804433458,223.385955819529,537159.144672408,537382.530628227,5.408901019034664,13.194049688379465,13.194465467430518,0.156231605270702,0.0729070097215807,0.07294024387931763,0.00041569262692328206,0.9995843073730768,0.618138626346099,0.61656915566416,1.2292827423484853,0.00039775250987997756,1.3037920232381786e-05,3.322089457546252e-05
1952,13.743322587580781,256.192001218301,568759.0512566,569015.243257818,5.54592716812553,13.251212163417986,13.251662502306433,0.1370261490908664,0.057162475038520455,0.0571970348759141,0.00045023750111070673,0.9995497624988893,0.63357057934292,0.630758818009814,1.2646384389177527,0.0004215288955597689,1.493805689802358e-05,3.4544874187424665e-05
1953,13.814745265202456,304.949333183403,612588.054654126,612893.00398731,5.720145642097684,13.325447973768766,13.325945654801579,0.17421847397215373,0.07423581035078008,0.07428315249514661,0.0004975572101484084,0.9995024427898517,0.644071883964771,0.640512658711947,1.3117020588795212,0.00045497395651380925,1.75041590552137e-05,4.731970903770164e-05
1954,13.804742793102942,356.913269698581,661175.204736257,661532.118005955,5.877492810243664,13.401774143826962,13.402313814655459,0.15734716814598038,0.07632617005819675,0.0763681598538799,0.0005395252323869297,0.999460474767613,0.642039314043351,0.639122132791917,1.3608886434715324,0.0004929714850748734,2.1117878159243983e-05,4.196802223852133e-05
1955,13.917890235334687,426.252028320819,722052.935677697,722479.187706018,6.05503078711032,13.489853733300475,13.490443892610598,0.17753797686665607,0.08807958947351224,0.08813007795513883,0.000589985200368518,0.9994100147996315,0.622858846487424,0.620572321079935,1.4174716182684368,0.0005405198858638979,2.4816523230747867e-05,5.0459967981588316e-05
1956,13.951835295565537,493.895186465906,785782.233501748,786276.128688214,6.202323321530077,13.574434976410517,13.575063318480499,0.14729253441975665,0.08458124311004234,0.08461942586990112,0.0006281447044435872,0.9993718552955564,0.635535528362412,0.632565896030042,1.4701775762561915,0.0005904440947908205,2.9086416750763462e-05,3.8159504075069186e-05
1957,13.965258990676592,573.023439240968,837883.849044663,838456.872483904,6.350926622057805,13.63863476489903,13.639318424794897,0.14860330052772763,0.06419978848851216,0.06425510631439835,0.0006834262536884011,0.9993165737463116,0.638957571161781,0.636319512651866,1.5110139791976955,0.0006308055995556695,3.153835974201175e-05,5.5281549244813924e-05
1958,13.926631450747108,654.769049903866,882814.293672726,883469.06272263,6.484282577892202,13.690870144525809,13.691611553402845,0.1333559558343973,0.05223537962677938,0.05229312860794799,0.0007411341013866769,0.9992588658986133,0.640702916019947,0.638462646643123,1.5444270696414806,0.0006665440965338451,3.442920490631741e-05,5.770784769827577e-05
1959,14.033301409105135,763.655209530614,923746.864487183,924510.519696713,6.638116390875742,13.736193356908268,13.737019708540375,0.1538338129835397,0.04532321238245984,0.045408155137529604,0.0008260102976233647,0.9991739897023766,0.628716570650273,0.627209980309345,1.5735202070491818,0.0007001976287873249,3.7049611807253646e-05,8.487619623668782e-05
1960,14.066641191578197,885.900392347203,969774.776974673,970660.67736702,6.786604520297676,13.784819134833695,13.785732229316602,0.148488129421934,0.04862577792542666,0.048712520776227564,0.0009126777389914105,0.9990873222610085,0.638652100649948,0.635886474211265,1.6041465760593419,0.000740434672571681,4.118414527984047e-05,8.666744136804575e-05
1961,14.090288985320377,1006.73173475824,1013914.48075591,1014921.21249067,6.914464456788973,13.829329121071554,13.83032154428329,0.1278599364912969,0.04450998623785907,0.04458931496668761,0.0009919309226847956,0.9990080690773152,0.635335355670866,0.633416361922592,1.632623635729359,0.0007811303477386533,4.5048587120357194e-05,7.92531836933851e-05
1962,14.171634149936441,1177.97682950164,1057082.33597316,1058260.31280266,7.071553694664641,13.871023157725137,13.872136903483486,0.15708923787566853,0.041694036653582955,0.04181535920019641,0.0011131257737351267,0.998886874226265,0.628948763920103,0.628060723321923,1.6591904118393208,0.0008226082955725002,4.836258746425524e-05,0.00012119485105033115
1963,14.231417625231522,1348.8447582032,1097406.44429993,1098755.28905813,7.2070037704182575,13.908460175924315,13.90968854167472,0.13545007575361634,0.037437018199177885,0.03755163819123375,0.0012276116180150055,0.9987723883819849,0.621930029689577,0.623085274875336,1.6828084682628721,0.0008644079918891388,5.291365266153774e-05,0.00011448584427987876
1964,14.299198256799162,1651.37963359648,1142818.90215222,1144470.28178581,7.409366359096621,13.94900848941217,13.950452451926502,0.20236258867836376,0.04054831348785548,0.04076391025178161,0.001442920502068161,0.9985570794979319,0.619047357779893,0.619666202050873,1.7081607681760258,0.0009144502417099469,5.7580543342862165e-05,0.00021530888405315554
1965,14.379846047706932,2108.22574391432,1184618.66935368,1186726.89509759,7.653601993071035,13.984931482749506,13.98670956716787,0.24423563397441406,0.035922993337335285,0.036257115241367543,0.0017765045627797483,0.9982234954372203,0.61236559273945,0.61320930583774,1.7306056395669154,0.0009667663766375641,6.538702236446768e-05,0.0003335840607115873
1966,14.451122900904553,2656.04928858402,1219393.83412396,1222049.88341254,7.88459506787294,14.013864435959519,14.01604023900371,0.2309930748019049,0.028932953210013324,0.02933067183584015,0.002173437700568383,0.9978265622994317,0.620003181239775,0.620370250919177,1.748566733811116,0.0010188724489833296,7.517126697886622e-05,0.0003969331377886348
1967,14.47934375131303,3325.59961016234,1251286.30998354,1254611.9095937,8.109405270715165,14.03968262815839,14.042336847341394,0.22481020284222453,0.02581819219887116,0.026296608337684546,0.002650699857647065,0.9973493001423529,0.628388720851657,0.627922601451223,1.7648707146362967,0.001076026488941534,8.560926223954212e-05,0.0004772621570786821
1968,14.542228385456964,4222.45407557716,1299608.55997331,1303831.01404889,8.348171772501356,14.077573669376898,14.080817422617862,0.2387665017861913,0.03789104121850784,0.03848057527646809,0.003238497957235154,0.9967615020427648,0.627992500156573,0.627513553497346,1.7890514741119123,0.0011780269443490451,0.00010397458460161788,0.0005877980995880887
1969,14.581441548647952,5230.64995915863,1338380.98637691,1343611.63633607,8.562290824511184,14.106971222320212,14.11087179724847,0.21411905200982773,0.0293975529433137,0.030054374630607228,0.0038929775671057987,0.9961070224328942,0.641990534144692,0.639045260076559,1.8079253959768296,0.0012753579751962466,0.00012164048889379728,0.0006544796098706448
1970,14.572686442226964,6217.04736451688,1369218.28802709,1375435.33539161,8.735050372788955,14.129750542273397,14.134280846530746,0.17275954827777085,0.022779319953185606,0.02340904928227694,0.004520057907881794,0.9954799420921182,0.653676971146293,0.650208208427336,1.822953784029378,0.0013664888789194248,0.0001369612343355046,0.0006270803407759954
1971,14.611350599152267,7486.01536947539,1400896.05825014,1408382.07361962,8.920791941558097,14.152622631453458,14.157952137993746,0.18574156876914216,0.02287208918006023,0.023671291462999733,0.005315329916288938,0.9946846700837111,0.64098353494678,0.63797240824182,1.8384271621360326,0.0014734844870865314,0.00015180503585273037,0.0007952720084071436
1972,14.684298696393933,8839.47912381149,1426906.26096577,1435745.74008958,9.086983231249922,14.171019204718817,14.177194951694164,0.16619128969182562,0.018396573265359706,0.01924281370041747,0.006156716246471302,0.9938432837535287,0.641336309259143,0.638789360651219,1.8507614888840485,0.001575766390421935,0.00016710830695166587,0.0008413863301823645
1973,14.743470143185561,10780.0928121155,1460458.16232414,1471238.25513626,9.285456454084136,14.194260754267574,14.20161495460973,0.1984732228342132,0.023241549548757234,0.024420002915565675,0.007327224380198789,0.9926727756198012,0.64395880536602,0.641378772213877,1.8664229234260148,0.0017261134191110747,0.0001876549635878363,0.0011705081337274872
1974,14.728265044687175,12875.7376995495,1505275.57442061,1518151.31212016,9.463100020942912,14.224486545330585,14.233003910573661,0.17764356685877658,0.030225791063010377,0.031388955963931764,0.008481195251590577,0.9915188047484095,0.654104621464026,0.648983395516306,1.886636118010235,0.001956107342518982,0.00022439599185283235,0.0011539708713917875
1975,14.714326694571575,14972.9309034757,1547382.37649219,1562355.30739567,9.613999243385583,14.252075271923283,14.261705053037975,0.1508992224426713,0.02758872659269862,0.02870114246431399,0.0095835632474885,0.9904164367525115,0.6334561606626,0.629506651683764,1.9054096679374402,0.0021995273357025462,0.0002575162742323166,0.001102367995897923
1976,14.793034479381133,17301.8198134482,1579822.06833701,1597123.88815046,9.758566966482427,14.272822783685031,14.283714999736512,0.14456772309684318,0.020747511761747717,0.022009946698537064,0.010833110657110321,0.9891668893428897,0.630753371060034,0.627960062834082,1.9193520042694838,0.002410461051961827,0.000281779335064203,0.001249547409621821
1977,14.864403050489017,19862.356988509,1610982.38327681,1630844.74026532,9.896581610743985,14.292354726827321,14.30460868410164,0.13801464426155796,0.01953194314229023,0.020893684365127285,0.012179183277298139,0.9878208167227019,0.630403843120234,0.626112863168844,1.9325307661166522,0.0026368046467239864,0.00030788698424010375,0.001346072620187818
1978,14.926955159197707,23431.0195134197,1648725.60388402,1672156.62339744,10.061816043718624,14.315513186169705,14.329624742520387,0.16523443297463913,0.023158459342383253,0.02501605841874799,0.014012455044918716,0.9859875449550813,0.636152526475711,0.62883238917044,1.9483009854835511,0.002941479807081515,0.0003415604155425994,0.0018332717676205774
1979,14.95301498016827,27536.0870977566,1700765.07250964,1728301.1596074,10.223252681496747,14.346588750440352,14.362649495340971,0.16143663777812378,0.031075564270647504,0.033024752820583814,0.015932458845315908,0.9840675411546841,0.649784944902043,0.64207996266832,1.9693097654266014,0.0034042376713494986,0.00040210376252122374,0.0019200038003971912
1980,14.959763930665492,32101.5735935217,1766751.3831868,1798852.95678032,10.376660329521625,14.38465304145179,14.402659773505556,0.15340764802487783,0.03806429101143749,0.040010278164585245,0.017845579580322523,0.9821544204196775,0.654602937898175,0.647330415459289,1.9953078418192918,0.0040416997815963945,0.00047892364865217616,0.0019131207350066154
1981,15.00453864422257,36806.6119196561,1854835.49715912,1891642.10907878,10.513432779747776,14.433306569314546,14.452955850594579,0.13677245022615026,0.04865352786275601,0.05029607708902262,0.019457492378186066,0.9805425076218139,0.637119794842787,0.630741087162103,2.0282318016465193,0.004939262427866584,0.0005751461166206765,0.0016119127978635427
1982,14.99535315651947,41556.1247232935,1948144.07454188,1989700.19926518,10.634800195516496,14.482387720686798,14.503494531715688,0.12136741576872012,0.04908115137225266,0.050538681121109263,0.02088562123009326,0.9791143787699067,0.637923812080797,0.631693306878897,2.0604309957940257,0.005922618430584144,0.0006566100635069371,0.0014281288519071948
1983,15.043751006545548,47881.8652781795,2019096.88720916,2066978.75248734,10.776492116268553,14.518160883864828,14.541598559214526,0.1416919207520575,0.03577316317803003,0.03810402749883757,0.02316514633764857,0.9768348536623515,0.62949324210345,0.622788790924917,2.0847384622717158,0.006718444716265923,0.0007110275245518922,0.0022795251075553094
1984,15.139178967818273,56173.2395453587,2113756.62054726,2169929.86009262,10.936195757806052,14.563977311323557,14.590205402456295,0.15970364153749905,0.04581642745872827,0.048606843241769226,0.02588712224226504,0.9741128777577349,0.623632973944295,0.616513134467756,2.1153361416123913,0.007844429352972651,0.0008218280441205102,0.00272197590461647
1985,15.186087037842112,65332.4312957268,2239945.22297547,2305277.6542712,11.087243842751173,14.62196196950341,14.650711684542946,0.15104808494512056,0.0579846581798531,0.0605062820866511,0.02834037417344478,0.9716596258265552,0.628950706261489,0.621155236627583,2.153069854252402,0.009410762873774759,0.0009865246860383016,0.002453251931179741
1986,15.219449091139962,76191.5671644996,2351717.03754924,2427908.60471374,11.241006068418127,14.670656273598729,14.702540788242883,0.15376222566695397,0.04869430409531894,0.05182910369993721,0.031381563134862275,0.9686184368651376,0.640257827171573,0.636681996119363,2.1856678056293775,0.01087961906570525,0.0011136745347814876,0.0030411889614174945
1987,15.271269412673261,87845.1277724374,2443743.93134778,2531589.05912022,11.383330631319554,14.709041819376782,14.744357750148644,0.14232456290142714,0.03838554577805375,0.04181696190576112,0.03469960002235335,0.9653003999776466,0.637971431188591,0.638188297394282,2.2124414427980765,0.012191900695859023,0.0012408478177293042,0.003318036887491077
1988,15.329588889373829,100887.895856578,2526521.39253224,2627409.28838882,11.521765237367495,14.742353970938193,14.781508857212948,0.1384346060479409,0.033312151561410985,0.0371511070643038,0.03839824130272621,0.9616017586972738,0.635130978444682,0.637163221944563,2.236142787742131,0.013481029251377992,0.0013641165613797945,0.0036986412803728594
1989,15.349387073303381,115231.759096556,2619446.28330012,2734678.04239667,11.654700675851409,14.778473511149496,14.821524269320905,0.13293543848391387,0.03611954021130259,0.040015412107957005,0.04213723052954589,0.9578627694704541,0.640624353315478,0.638324748874071,2.261557815587125,0.015017550701327357,0.0015121192164534163,0.003738989226819679
1990,15.367127813794673,127481.09303771,2704860.68356503,2832341.77660274,11.75572334268427,14.810560965633247,14.856614410342692,0.10102266683286132,0.03208745448375083,0.035090141021786536,0.04500907838552505,0.954990921614475,0.644643570706082,0.644565927434182,2.284037414486956,0.016496152062876652,0.0016433208757014595,0.0028718478559791594
1991,15.363631208762353,137394.113137656,2753783.20782487,2891177.32096253,11.830608813148421,14.828486236154394,14.877174354628616,0.07488547046415128,0.017925270521146786,0.02055994428592456,0.04752185628376297,0.9524781437162371,0.640968458828616,0.640791606148147,2.2972912503849523,0.01742153620684386,0.001702365907618043,0.0025127778982379223
1992,15.401483099438835,147066.112672643,2788118.80481481,2935184.91748745,11.898637510727823,14.84087766287244,14.892281013514317,0.06802869757940222,0.012391426718046716,0.015106658885700952,0.05010454768844106,0.949895452311559,0.648208483525974,0.646778708116392,2.30697414224897,0.018139432679337972,0.0017403255861822519,0.0025826914046780877
1993,15.434494957341329,159942.2813269,2800857.97467146,2960800.25599836,11.982568287426147,14.84543634773408,14.900970146516643,0.08393077669832394,0.004558684861638795,0.008689133002325988,0.05401994984392105,0.945980050156079,0.64244868931149,0.64195609798046,2.312606511975563,0.01857479775822422,0.001762766935301464,0.003915402155479988
1994,15.4970635294479,174967.748114796,2817361.69047931,2992329.43859411,12.072356939434087,14.851311434242804,14.911562718497219,0.08978865200793962,0.005875086508725147,0.010592571980575727,0.05847208728361191,0.9415279127163881,0.628488369808008,0.629206773734972,2.3194116959609214,0.019147007965333043,0.001804241114466287,0.004452137439690862
1995,15.541735988469298,191341.685282094,2825323.5986288,3016665.2839109,12.161816036981046,14.854133464189722,14.919662568635816,0.08945909754695869,0.0028220299469179366,0.008099850138597375,0.06342821204016144,0.9365717879598385,0.624660582765844,0.623099115110705,2.3245023575702177,0.019620623109621285,0.0018403027605242215,0.004956124756549531
1996,15.594546593173689,211064.203997868,2844468.43554664,3055532.63954451,12.259917650523194,14.860886766449868,14.932464485487024,0.09810161354214841,0.006753302260145588,0.012801916851207906,0.06907607572777609,0.9309239242722239,0.620922242011602,0.619197078532264,2.332499210411013,0.020432625806180216,0.0019037506575617816,0.005647863687614649
1997,15.659685674839094,232691.736319023,2872045.20037757,3104736.93669659,12.357469836494031,14.870534947319433,14.948439547279595,0.09755218597083726,0.009648180869564982,0.015975061792570244,0.07494732760405927,0.9250526723959407,0.621030977666497,0.617632293335957,2.3424184815955296,0.0215361203843197,0.001993975628967439,0.005871251876283179
1998,15.7127780319731,264786.828347032,2885849.30282105,3150636.13116808,12.486680359915947,14.875329800327895,14.96311493681595,0.12921052342191608,0.004794853008462496,0.01467538953635561,0.08404233853842832,0.9159576614615716,0.634609294105485,0.629740616676098,2.351532353106929,0.022636001611618127,0.0020801385373179536,0.009095010934369055
1999,15.761938144554264,301994.973893727,2891478.59679933,3193473.57069305,12.618165653482512,14.877278554443151,14.97661977598055,0.13148529356656447,0.0019487541152560794,0.013504839164600213,0.09456629817299135,0.9054337018270086,0.640439844250045,0.635000562731071,2.3601026495561843,0.023770979876596484,0.002202965197186888,0.010523959634563027
2000,15.808877329356,338558.724528945,2891295.71299011,3229854.43751906,12.732452840863667,14.87721530320785,14.987947628399773,0.11428718738115506,-6.325123530181997e-05,0.01132785241922285,0.10482166644915485,0.8951783335508452,0.652779358011841,0.644917063345876,2.3673574575952387,0.024842212946132352,0.0023221790587930765,0.010255368276163496
2001,15.784614077841557,372993.948860049,2883113.04727889,3256106.99613893,12.82931747559905,14.874381187533672,14.99604286678668,0.09686463473538254,-0.002834115674177795,0.00809523838690751,0.11455211677697992,0.8854478832230201,0.654881386402621,0.647118229424371,2.3726418621123972,0.025690769324151166,0.0024051987097341485,0.009730450327825074
2002,15.794839456450735,409467.392991224,2849787.01082123,3259254.40381246,12.922612552709854,14.862754816406998,14.997009016697683,0.09329507711080431,-0.011626371126673973,0.0009661499110027449,0.1256322281906736,0.8743677718093265,0.638661211919941,0.630740139778425,2.3732745757055875,0.02580144384158042,0.002414599783452393,0.01108011141369368
2003,15.817331716189601,445104.974804426,2809387.679785,3254492.65458942,13.006065431765629,14.848477110014807,14.995546954990779,0.08345287905577514,-0.014277706392190836,-0.0014620617069045494,0.1367663172251279,0.8632336827748721,0.626869045229268,0.619295933302171,2.3723408136039543,0.025617761771589743,0.002398399976846196,0.011134089034454286
2004,15.865619190636767,485720.334466074,2766564.61863558,3252284.95310165,13.09338829376604,14.83311689858794,14.994868369766081,0.08732286200041095,-0.015360211426866499,-0.0006785852246977697,0.14934741004254562,0.8506525899574543,0.613230053731544,0.609224012386193,2.3719154295320415,0.025524954169484443,0.0023908445485369455,0.012581092817417733
2005,15.90192014135584,529321.460252433,2722455.77059854,3251777.23085097,13.179351201615956,14.817044887779799,14.994712245105108,0.08596290784991645,-0.016072010808141357,-0.0001561246609735889,0.16277912743546466,0.8372208725645353,0.597479837743853,0.593551234778269,2.3718196891978036,0.025501637355724267,0.002388880329686149,0.01343171739291904
2006,15.939830336479258,575596.173307346,2680815.74349007,3256411.91679742,13.263161605792822,14.801631688071547,14.996136508175761,0.08381040417686592,-0.015413199708252279,0.0014242630706533532,0.17675778986628557,0.8232422101337143,0.587831471357126,0.583017283165839,2.3726706576661623,0.025733477655603774,0.002408010628744336,0.01397866243082091
2007,15.951272530529952,625964.001447545,2644826.50597155,3270790.50741909,13.347048142753872,14.788116027917745,15.00054225904583,0.08388653696104953,-0.01351566015380179,0.004405750870068559,0.19138003489605293,0.8086199651039471,0.593479839175833,0.596912305967198,2.3752604966825475,0.026512228442098558,0.00246959713291132,0.014622245029767361
2008,15.940605324952056,658925.671586823,2604374.55447373,3263300.22606055,13.398366017422077,14.772703110090438,14.99824958055542,0.051317874668205476,-0.015412917827307027,-0.002292678490409372,0.20192002756126312,0.798079972438737,0.595584591788177,0.609256031850876,2.3738998382207774,0.026073455552598584,0.002436073026250077,0.01053999266521019
2009,15.86713090438878,666648.851177828,2552282.89864901,3218931.74982684,13.410018726265779,14.75249877100559,14.984560107765661,0.011652708843701731,-0.020204339084848755,-0.013689472789758739,0.2071025119478505,0.7928974880521495,0.593114751011546,0.589391374581907,2.3657465991574935,0.023309276829591337,0.0022917860834554254,0.005182484386587388
2010,15.90968441913657,689993.061694591,2484287.00180357,3174280.06349816,13.4444368210078,14.725496255539825,14.970591412942763,0.034418094742020955,-0.02700251546576382,-0.013968694822898087,0.21736993834570348,0.7826300616542966,0.57177005128177,0.57068891168038,2.357461560205654,0.02041632504313621,0.002219393540634752,0.010267426397852969
2011,15.9364770070632,718626.260344467,2412483.46630862,3131109.72665309,13.485096696751805,14.696167258828217,14.956898044936597,0.04065987574400509,-0.029328996711608823,-0.01369336800616594,0.22951168214491885,0.7704883178550811,0.57077261993538,0.571490813431576,2.3496321024785485,0.01743979848389089,0.0020787978924927284,0.012141743799215371
2012,15.972909172353837,755414.939595801,2343441.33710294,3098856.27669874,13.535022466131121,14.667131063858744,14.946543658378754,0.04992576937931581,-0.029036194969473073,-0.010354386557843043,0.24377217661754746,0.7562278233824524,0.568162965987683,0.564929408063707,2.343722102135105,0.015063345807421595,0.0019530775837093587,0.014260494472628615
2013,15.996503105826108,799942.390327641,2271590.35432922,3071532.74465686,13.59229499196662,14.63599074077514,14.937687260332439,0.05727252583549891,-0.03114032308360315,-0.008856398046315661,0.26043752641712675,0.7395624735828733,0.567108862532718,0.566433797144341,2.3386902247531425,0.012904402378679831,0.0018267809683224754,0.016665349799579288
2014,16.02988577423654,853220.031142216,2203723.40136602,3056943.43250824,13.656772742966906,14.605658942906583,14.932926096451926,0.06447775100028608,-0.03033179786855733,-0.004761163880512953,0.27910887132188283,0.7208911286781172,0.568582031539934,0.562206465288649,2.335990126520533,0.01166441663477247,0.0017474345068006047,0.018671344904756082
2015,16.061920247922544,915574.04812885,2139727.79197646,3055301.84010531,13.72730652254444,14.576189178896426,14.932388947705702,0.07053377957753426,-0.029469764010157107,-0.0005371487462237923,0.2996672983698698,0.7003327016301303,0.575109869197914,0.567217985504381,2.3356847133951657,0.011514493654481981,0.001737405217294703,0.020558427047986938
