sample,spec,lag,rank,equation,term_raw,term,estimate,std_error,z_stat,p_value,stars_printed,sig_code,sig_label
FULL,S1_A,2,1,log_KME 0.0077(0.0186),log_KME -1,log_KME_lag1,-0.0053,0.0223,-0.23766816143497757,0.8121384796400386,,0,0
FULL,S1_A,2,1,log_KME 0.0077(0.0186),log_M -2,log_M_-2,NA,NA,NA,NA,NA,NA,NA
FULL,S1_A,2,1,log_M,ECT,ECT,1.1162,1.143,0.9765529308836396,0.32879053126886604,,0,0
FULL,S1_A,2,1,log_M,Intercept,Intercept,NA,NA,NA,NA,NA,NA,NA
FULL,S1_A,2,1,log_M,log_M -1,log_M_lag1,NA,NA,NA,NA,NA,NA,NA
FULL,S1_A,2,1,log_M,log_KME -1,log_KME_lag1,NA,NA,NA,NA,NA,NA,NA
FULL,S1_A,2,1,log_M,log_M -2,log_M_-2,NA,NA,NA,NA,NA,NA,NA
FULL,S1_B,1,1,log_M,ECT,ECT,-0.38,0.115,-3.3043478260869565,9.519764160700081e-4,**,3,99
FULL,S1_B,1,1,log_M,Intercept,Intercept,-1.7748,0.5529,-3.2099837221920784,0.0013274248921688351,**,3,99
FULL,S1_B,1,1,log_M,log_M -1,log_M_lag1,0.1953,0.1329,1.469525959367946,0.14169018604864775,,0,0
FULL,S1_B,1,1,log_M,log_KME -1,log_KME_lag1,0.5449,0.3862,1.4109269808389437,0.15826614561869837,,0,0
FULL,S1_B,1,1,log_M,log_NRS_proxy -1,log_NRS_proxy_lag1,-0.0776,0.0692,-1.1213872832369942,0.2621230467966414,,0,0
FULL,S1_B,1,1,log_KME,ECT,ECT,NA,NA,NA,NA,NA,NA,NA
FULL,S1_B,1,1,log_KME,Intercept,Intercept,-0.129,0.0811,-1.5906288532675708,0.11169312707318253,,0,0
FULL,S1_B,1,1,log_KME,log_M -1,log_M_lag1,0.0518,0.0195,2.6564102564102563,0.007897746882545452,**,3,99
FULL,S1_B,1,1,log_KME,log_KME -1,log_KME_lag1,0.8879,0.0566,15.687279151943464,1.848088685951843e-55,***,3,99
FULL,S1_B,1,1,log_KME,log_NRS_proxy -1,log_NRS_proxy_lag1,0.0039,0.0101,0.38613861386138615,0.6993940135862291,,0,0
FULL,S1_B,1,1,log_NRS_proxy 0.4573(0.2058)*,ECT,ECT,2.2662,0.9893,2.29071060345699,0.02198015695052015,*,2,95
FULL,S1_B,1,1,log_NRS_proxy 0.4573(0.2058)*,Intercept,Intercept,-0.0902,0.2378,-0.3793103448275862,0.7044574185835881,,0,0
FULL,S1_B,1,1,log_NRS_proxy 0.4573(0.2058)*,log_M -1,log_M_lag1,-0.8626,0.691,-1.2483357452966717,0.2119081290541433,,0,0
FULL,S1_B,1,1,log_NRS_proxy 0.4573(0.2058)*,log_KME -1,log_KME_lag1,-0.2497,0.1237,-2.018593371059014,0.04352950058684651,*,2,95
FULL,S1_B,1,1,log_NRS_proxy 0.4573(0.2058)*,log_NRS_proxy -1,log_NRS_proxy_lag1,NA,NA,NA,NA,NA,NA,NA
FULL,S1_B,2,1,log_M,ECT,ECT,-0.4657,0.1372,-3.394314868804665,6.880053958434934e-4,**,3,99
FULL,S1_B,2,1,log_M,Intercept,Intercept,-2.0794,0.6285,-3.308512330946699,9.379305438689125e-4,**,3,99
FULL,S1_B,2,1,log_M,log_M -1,log_M_lag1,0.3664,0.1827,2.0054734537493157,0.04491245593286874,*,2,95
FULL,S1_B,2,1,log_M,log_KME -1,log_KME_lag1,-0.4963,1.2355,-0.401699716713881,0.6879050330384316,,0,0
FULL,S1_B,2,1,log_M,log_NRS_proxy -1,log_NRS_proxy_lag1,NA,NA,NA,NA,NA,NA,NA
FULL,S1_B,2,1,log_KME,ECT,ECT,-0.0262,0.0208,-1.2596153846153848,0.20780814291272362,,0,0
FULL,S1_B,2,1,log_KME,Intercept,Intercept,-0.1126,0.0953,-1.181532004197272,0.23739144730163675,,0,0
FULL,S1_B,2,1,log_KME,log_M -1,log_M_lag1,0.0573,0.0277,2.068592057761733,0.038584383860300844,*,2,95
FULL,S1_B,2,1,log_KME,log_KME -1,log_KME_lag1,0.8199,0.1874,4.37513340448239,1.2135823619583689e-5,***,3,99
FULL,S1_B,2,1,log_KME,log_NRS_proxy -1,log_NRS_proxy_lag1,0.0038,0.0121,0.3140495867768595,0.7534833776904559,,0,0
FULL,S1_B,2,1,log_NRS_proxy 0.2433(0.2444),ECT,ECT,1.1965,1.1197,1.0685898008395105,0.2852545463036464,,0,0
FULL,S1_B,2,1,log_NRS_proxy 0.2433(0.2444),Intercept,Intercept,0.0607,0.3254,0.186539643515673,0.8520215933647377,,0,0
FULL,S1_B,2,1,log_NRS_proxy 0.2433(0.2444),log_M -1,log_M_lag1,-1.1148,2.201,-0.5064970467969104,0.612507762334808,,0,0
FULL,S1_B,2,1,log_NRS_proxy 0.2433(0.2444),log_KME -1,log_KME_lag1,-0.4073,0.1425,-2.858245614035088,0.004259905186988867,**,3,99
FULL,S1_B,2,1,log_NRS_proxy 0.2433(0.2444),log_NRS_proxy -1,log_NRS_proxy_lag1,NA,NA,NA,NA,NA,NA,NA
FULL,S1_B,2,1,log_M,ECT,ECT,0.0411,0.1454,0.2826685006877579,0.777430964671215,,0,0
FULL,S1_B,2,1,log_M,Intercept,Intercept,1.1478,1.1083,1.0356401696291617,0.30037004439501397,,0,0
FULL,S1_B,2,1,log_M,log_M -1,log_M_lag1,NA,NA,NA,NA,NA,NA,NA
FULL,S1_B,2,1,log_M,log_KME -1,log_KME_lag1,NA,NA,NA,NA,NA,NA,NA
FULL,S1_B,2,1,log_M,log_NRS_proxy -1,log_NRS_proxy_lag1,NA,NA,NA,NA,NA,NA,NA
FULL,S1_B,2,1,log_KME,ECT,ECT,0.0055,0.022,0.25,0.8025873486341526,,0,0
FULL,S1_B,2,1,log_KME,Intercept,Intercept,0.0563,0.1681,0.33491969066032123,0.7376856680784069,,0,0
FULL,S1_B,2,1,log_KME,log_M -1,log_M_lag1,2e-4,0.011,0.018181818181818184,0.9854938072290768,,0,0
FULL,S1_B,2,1,log_KME,log_KME -1,log_KME_lag1,NA,NA,NA,NA,NA,NA,NA
FULL,S1_B,2,1,log_KME,log_NRS_proxy -1,log_NRS_proxy_lag1,NA,NA,NA,NA,NA,NA,NA
FULL,S1_B,2,1,log_NRS_proxy 0.1747(0.2590),ECT,ECT,0.2638,1.9744,0.13361021069692058,0.8937108096211415,,0,0
FULL,S1_B,2,1,log_NRS_proxy 0.1747(0.2590),Intercept,Intercept,-0.2746,0.1291,-2.1270333075135555,0.03341731583901618,*,2,95
FULL,S1_B,2,1,log_NRS_proxy 0.1747(0.2590),log_M -1,log_M_lag1,NA,NA,NA,NA,NA,NA,NA
FULL,S1_B,2,1,log_NRS_proxy 0.1747(0.2590),log_KME -1,log_KME_lag1,NA,NA,NA,NA,NA,NA,NA
FULL,S1_B,2,1,log_NRS_proxy 0.1747(0.2590),log_NRS_proxy -1,log_NRS_proxy_lag1,NA,NA,NA,NA,NA,NA,NA
FULL,S1_C,1,1,log_M,ECT,ECT,NA,NA,NA,NA,NA,NA,NA
FULL,S1_C,1,1,log_M,Intercept,Intercept,0.6517,0.3047,2.138825073843124,0.03244983797726092,*,2,95
FULL,S1_C,1,1,log_M,log_M -1,log_M_lag1,0.0855,0.1326,0.6447963800904978,0.5190591480887482,,0,0
FULL,S1_C,1,1,log_M,log_KME -1,log_KME_lag1,-0.1549,0.3956,-0.3915571284125379,0.695385469978029,,0,0
FULL,S1_C,1,1,log_M,omega -1,omega_lag1,0.4982,0.3289,1.5147461234417754,0.1298367090664007,,0,0
FULL,S1_C,1,1,log_KME -0.0113(0.0051)*,ECT,ECT,0.1005,0.0423,2.3758865248226955,0.017506845777559617,*,2,95
FULL,S1_C,1,1,log_KME -0.0113(0.0051)*,Intercept,Intercept,0.0449,0.0184,2.440217391304348,0.01467842583891502,*,2,95
FULL,S1_C,1,1,log_KME -0.0113(0.0051)*,log_M -1,log_M_lag1,0.8189,0.0549,14.916211293260474,2.5854249807042385e-50,***,3,99
FULL,S1_C,1,1,log_KME -0.0113(0.0051)*,log_KME -1,log_KME_lag1,0.0308,0.0457,0.6739606126914661,0.5003363550083112,,0,0
FULL,S1_C,1,1,log_KME -0.0113(0.0051)*,omega -1,omega_lag1,NA,NA,NA,NA,NA,NA,NA
FULL,S1_C,1,1,omega,ECT,ECT,NA,NA,NA,NA,NA,NA,NA
FULL,S1_C,1,1,omega,Intercept,Intercept,-0.0068,0.158,-0.043037974683544304,0.9656712624649086,,0,0
FULL,S1_C,1,1,omega,log_M -1,log_M_lag1,0.0414,0.1314,0.31506849315068497,0.7527096499446378,,0,0
FULL,S1_C,1,1,omega,log_KME -1,log_KME_lag1,NA,NA,NA,NA,NA,NA,NA
FULL,S1_C,1,1,omega,omega -1,omega_lag1,NA,NA,NA,NA,NA,NA,NA
FULL,S1_C,2,1,log_M,ECT,ECT,-0.1436,0.0528,-2.7196969696969697,0.006534176615342251,**,3,99
FULL,S1_C,2,1,log_M,Intercept,Intercept,0.8781,0.3052,2.8771297509829616,0.004013105459257008,**,3,99
FULL,S1_C,2,1,log_M,log_M -1,log_M_lag1,0.2504,0.1804,1.3880266075388026,0.16512894309861123,,0,0
FULL,S1_C,2,1,log_M,log_KME -1,log_KME_lag1,-1.551,1.2575,-1.2333996023856857,0.21742671328158292,,0,0
FULL,S1_C,2,1,log_M,omega -1,omega_lag1,0.8124,0.3629,2.238633232295398,0.025179790096516535,*,2,95
FULL,S1_C,2,1,log_KME -0.0147(0.0077).,ECT,ECT,0.0924,0.0443,2.0857787810383748,0.03699866635058976,*,2,95
FULL,S1_C,2,1,log_KME -0.0147(0.0077).,Intercept,Intercept,0.0591,0.0262,2.2557251908396947,0.02408784693128851,*,2,95
FULL,S1_C,2,1,log_KME -0.0147(0.0077).,log_M -1,log_M_lag1,0.6962,0.1826,3.812705366922234,1.3745393317824334e-4,***,3,99
FULL,S1_C,2,1,log_KME -0.0147(0.0077).,log_KME -1,log_KME_lag1,0.0366,0.0527,0.6944971537001898,0.4873704851847834,,0,0
FULL,S1_C,2,1,log_KME -0.0147(0.0077).,omega -1,omega_lag1,NA,NA,NA,NA,NA,NA,NA
FULL,S1_C,2,1,omega,ECT,ECT,-0.056,0.0221,-2.5339366515837103,0.011278911971341555,*,2,95
FULL,S1_C,2,1,omega,Intercept,Intercept,0.3099,0.1276,2.4286833855799377,0.015153759298883532,*,2,95
FULL,S1_C,2,1,omega,log_M -1,log_M_lag1,-0.0144,0.0754,-0.19098143236074272,0.8485401402352285,,0,0
FULL,S1_C,2,1,omega,log_KME -1,log_KME_lag1,0.1871,0.5258,0.3558387219475085,0.7219613486293595,,0,0
FULL,S1_C,2,1,omega,omega -1,omega_lag1,-0.036,0.1518,-0.23715415019762845,0.8125372045523465,,0,0
FULL,S1_C,2,1,log_M,ECT,ECT,-0.0573,0.1431,-0.40041928721174,0.6888477207633781,,0,0
FULL,S1_C,2,1,log_M,Intercept,Intercept,1.3183,1.132,1.164575971731449,0.2441906747215109,,0,0
FULL,S1_C,2,1,log_M,log_M -1,log_M_lag1,0.5396,0.3292,1.6391251518833536,0.10118719781515173,,0,0
FULL,S1_C,2,1,log_M,log_KME -1,log_KME_lag1,NA,NA,NA,NA,NA,NA,NA
FULL,S1_C,2,1,log_M,omega -1,omega_lag1,NA,NA,NA,NA,NA,NA,NA
FULL,S1_C,2,1,log_KME 0.0021(0.0208),ECT,ECT,0.1128,0.1643,0.6865489957395009,0.49236697890577674,,0,0
FULL,S1_C,2,1,log_KME 0.0021(0.0208),Intercept,Intercept,0.0084,0.0478,0.17573221757322174,0.8605043232022623,,0,0
FULL,S1_C,2,1,log_KME 0.0021(0.0208),log_M -1,log_M_lag1,NA,NA,NA,NA,NA,NA,NA
FULL,S1_C,2,1,log_KME 0.0021(0.0208),log_KME -1,log_KME_lag1,NA,NA,NA,NA,NA,NA,NA
FULL,S1_C,2,1,log_KME 0.0021(0.0208),omega -1,omega_lag1,NA,NA,NA,NA,NA,NA,NA
FULL,S1_C,2,1,omega,ECT,ECT,-0.0523,0.0599,-0.8731218697829716,0.38259665467450993,,0,0
FULL,S1_C,2,1,omega,Intercept,Intercept,-0.0824,0.4733,-0.17409676737798438,0.8617894136647559,,0,0
FULL,S1_C,2,1,omega,log_M -1,log_M_lag1,-0.1164,0.1377,-0.8453159041394337,0.397934483608296,,0,0
FULL,S1_C,2,1,omega,log_KME -1,log_KME_lag1,NA,NA,NA,NA,NA,NA,NA
FULL,S1_C,2,1,omega,omega -1,omega_lag1,NA,NA,NA,NA,NA,NA,NA
FULL,S1_D,1,1,log_M,ECT,ECT,-0.0196,0.0124,-1.5806451612903225,0.11395919363468811,,0,0
FULL,S1_D,1,1,log_M,Intercept,Intercept,0.8541,0.5144,1.6603810264385692,0.09683782464011377,,1,90
FULL,S1_D,1,1,log_M,log_M -1,log_M_lag1,0.0992,0.1324,0.7492447129909365,0.4537097239554965,,0,0
FULL,S1_D,1,1,log_M,log_KME -1,log_KME_lag1,-0.214,0.4074,-0.5252822778595975,0.5993869753597738,,0,0
FULL,S1_D,1,1,log_M,log_NRS_proxy -1,log_NRS_proxy_lag1,0.3182,0.159,2.00125786163522,0.04536460830880755,*,2,95
FULL,S1_D,1,1,log_KME,ECT,ECT,-0.0039,0.0017,-2.2941176470588234,0.021783741971706867,*,2,95
FULL,S1_D,1,1,log_KME,Intercept,Intercept,0.1662,0.071,2.340845070422535,0.01924014936079677,*,2,95
FULL,S1_D,1,1,log_KME,log_M -1,log_M_lag1,0.0462,0.0183,2.524590163934426,0.011583328674990527,*,2,95
FULL,S1_D,1,1,log_KME,log_KME -1,log_KME_lag1,0.8008,0.0562,14.249110320284696,4.540286007590913e-46,***,3,99
FULL,S1_D,1,1,log_KME,log_NRS_proxy -1,log_NRS_proxy_lag1,NA,NA,NA,NA,NA,NA,NA
FULL,S1_D,1,1,log_NRS_proxy 0.0679(0.0206)**,ECT,ECT,-2.738,0.8543,-3.2049631277068946,0.0013507978368962044,**,3,99
FULL,S1_D,1,1,log_NRS_proxy 0.0679(0.0206)**,Intercept,Intercept,0.0637,0.2198,0.2898089171974523,0.7719624255641043,,0,0
FULL,S1_D,1,1,log_NRS_proxy 0.0679(0.0206)**,log_M -1,log_M_lag1,0.5205,0.6766,0.7692876145433047,0.44172258815094156,,0,0
FULL,S1_D,1,1,log_NRS_proxy 0.0679(0.0206)**,log_KME -1,log_KME_lag1,NA,NA,NA,NA,NA,NA,NA
FULL,S1_D,1,1,log_NRS_proxy 0.0679(0.0206)**,log_NRS_proxy -1,log_NRS_proxy_lag1,NA,NA,NA,NA,NA,NA,NA
FULL,S1_D,1,1,omega,ECT,ECT,-0.0194,0.005,-3.88,1.0445646480364032e-4,***,3,99
FULL,S1_D,1,1,omega,Intercept,Intercept,0.7907,0.2068,3.823500967117988,1.315700754394954e-4,***,3,99
FULL,S1_D,1,1,omega,log_M -1,log_M_lag1,-0.0202,0.0532,-0.37969924812030076,0.7041686783597134,,0,0
FULL,S1_D,1,1,omega,log_KME -1,log_KME_lag1,-0.0816,0.1637,-0.4984728161270617,0.6181508246760881,,0,0
FULL,S1_D,1,1,omega,log_NRS_proxy -1,log_NRS_proxy_lag1,0.0332,0.0639,0.5195618153364633,0.6033690180302405,,0,0
FULL,S1_D,1,1,log_M,omega -1,omega_lag1,1.6496,0.7092,2.3260011280315847,0.02001849050422093,*,2,95
FULL,S1_D,1,1,log_KME,omega -1,omega_lag1,NA,NA,NA,NA,NA,NA,NA
FULL,S1_D,1,1,omega,omega -1,omega_lag1,0.1772,0.285,0.6217543859649123,0.5341033840359848,,0,0
FULL,S1_D,2,1,log_M,ECT,ECT,-0.3817,0.1635,-2.334556574923547,0.019566597327039793,*,2,95
FULL,S1_D,2,1,log_M,Intercept,Intercept,-3.0737,1.3369,-2.2991248410501908,0.0214978512919805,*,2,95
FULL,S1_D,2,1,log_M,log_M -1,log_M_lag1,0.3046,0.193,1.5782383419689119,0.11451086485633458,,0,0
FULL,S1_D,2,1,log_M,log_KME -1,log_KME_lag1,0.5254,1.3998,0.3753393341905987,0.7074081164209636,,0,0
FULL,S1_D,2,1,log_M,log_NRS_proxy -1,log_NRS_proxy_lag1,0.1411,0.1924,0.7333679833679835,0.4633340211300683,,0,0
FULL,S1_D,2,1,log_KME,ECT,ECT,0.0027,0.0238,0.1134453781512605,0.9096774653316761,,0,0
FULL,S1_D,2,1,log_KME,Intercept,Intercept,0.0291,0.1944,0.14969135802469138,0.8810081266522629,,0,0
FULL,S1_D,2,1,log_KME,log_M -1,log_M_lag1,NA,NA,NA,NA,NA,NA,NA
FULL,S1_D,2,1,log_KME,log_KME -1,log_KME_lag1,0.8265,0.2035,4.061425061425061,4.877407489625973e-5,***,3,99
FULL,S1_D,2,1,log_KME,log_NRS_proxy -1,log_NRS_proxy_lag1,0.0387,0.028,1.3821428571428571,0.16692784153056917,,0,0
FULL,S1_D,2,1,log_NRS_proxy -0.2243(0.2821),ECT,ECT,-1.7448,2.307,-0.7563068920676203,0.44946521686635665,,0,0
FULL,S1_D,2,1,log_NRS_proxy -0.2243(0.2821),Intercept,Intercept,0.2379,0.333,0.7144144144144143,0.4749709613249652,,0,0
FULL,S1_D,2,1,log_NRS_proxy -0.2243(0.2821),log_M -1,log_M_lag1,-0.736,2.4155,-0.30469882012005794,0.7605955483171011,,0,0
FULL,S1_D,2,1,log_NRS_proxy -0.2243(0.2821),log_KME -1,log_KME_lag1,-0.8276,0.3321,-2.492020475760313,0.012701871472362453,*,2,95
FULL,S1_D,2,1,log_NRS_proxy -0.2243(0.2821),log_NRS_proxy -1,log_NRS_proxy_lag1,NA,NA,NA,NA,NA,NA,NA
FULL,S1_D,2,1,omega,ECT,ECT,0.0955,0.0705,1.3546099290780143,0.17554186833854965,,0,0
FULL,S1_D,2,1,omega,Intercept,Intercept,0.7654,0.5762,1.3283582089552237,0.18405979845558265,,0,0
FULL,S1_D,2,1,omega,log_M -1,log_M_lag1,-0.0863,0.0832,-1.0372596153846154,0.299614881327755,,0,0
FULL,S1_D,2,1,omega,log_KME -1,log_KME_lag1,0.2836,0.6032,0.470159151193634,0.6382413161443261,,0,0
FULL,S1_D,2,1,omega,log_NRS_proxy -1,log_NRS_proxy_lag1,0.1156,0.0829,1.3944511459589866,0.16318141244780912,,0,0
FULL,S1_D,2,1,log_M,omega -1,omega_lag1,0.7005,0.7672,0.9130604796663191,0.3612107339881992,,0,0
FULL,S1_D,2,1,log_M,log_M -2,log_M_-2,-0.0101,0.1566,-0.06449553001277139,0.9485756662364292,,0,0
FULL,S1_D,2,1,log_M,log_KME -2,log_KME_-2,0.3379,1.2206,0.27683106668851387,0.7819098252747323,,0,0
FULL,S1_D,2,1,log_M,log_NRS_proxy -2,log_NRS_proxy_-2,-0.1158,0.1735,-0.667435158501441,0.5044942145259259,,0,0
FULL,S1_D,2,1,log_KME,omega -1,omega_lag1,0.1174,0.1115,1.052914798206278,0.29238004319621647,,0,0
FULL,S1_D,2,1,log_KME,log_M -2,log_M_-2,-0.0115,0.0228,-0.5043859649122807,0.6139901788085182,,0,0
FULL,S1_D,2,1,log_KME,log_KME -2,log_KME_-2,0.0208,0.1775,0.1171830985915493,0.9067149600068756,,0,0
FULL,S1_D,2,1,log_KME,log_NRS_proxy -2,log_NRS_proxy_-2,-0.0221,0.0252,-0.8769841269841271,0.38049525968175796,,0,0
FULL,S1_D,2,1,log_NRS_proxy -1.4753(1.3239),omega -1,omega_lag1,0.3781,0.2702,1.3993338267949667,0.16171290035892075,,0,0
FULL,S1_D,2,1,log_NRS_proxy -1.4753(1.3239),log_M -2,log_M_-2,0.5547,2.1063,0.26335279874661727,0.7922786679249887,,0,0
FULL,S1_D,2,1,log_NRS_proxy -1.4753(1.3239),log_KME -2,log_KME_-2,-0.2659,0.2994,-0.8881095524382099,0.37448182478665337,,0,0
FULL,S1_D,2,1,log_NRS_proxy -1.4753(1.3239),log_NRS_proxy -2,log_NRS_proxy_-2,NA,NA,NA,NA,NA,NA,NA
FULL,S1_D,2,1,omega,omega -1,omega_lag1,0.1503,0.3306,0.45462794918330307,0.649376923916174,,0,0
FULL,S1_D,2,1,omega,log_M -2,log_M_-2,NA,NA,NA,NA,NA,NA,NA
FULL,S1_D,2,1,omega,log_KME -2,log_KME_-2,-0.2072,0.526,-0.3939163498098859,0.6936427989211961,,0,0
FULL,S1_D,2,1,omega,log_NRS_proxy -2,log_NRS_proxy_-2,0.0308,0.0748,0.4117647058823529,0.6805118929016867,,0,0
FULL,S1_D,2,1,log_M,omega -1,omega_lag1,-0.4793,0.7017,-0.6830554367963517,0.49457181309997494,,0,0
FULL,S1_D,2,1,log_M,log_M -2,log_M_-2,NA,NA,NA,NA,NA,NA,NA
FULL,S1_D,2,1,log_M,log_KME -2,log_KME_-2,NA,NA,NA,NA,NA,NA,NA
FULL,S1_D,2,1,log_M,log_NRS_proxy -2,log_NRS_proxy_-2,NA,NA,NA,NA,NA,NA,NA
FULL,S1_D,2,1,log_KME,omega -1,omega_lag1,-0.1423,0.102,-1.3950980392156864,0.16298627739823945,,0,0
FULL,S1_D,2,1,log_KME,log_M -2,log_M_-2,NA,NA,NA,NA,NA,NA,NA
FULL,S1_D,2,1,log_KME,log_KME -2,log_KME_-2,NA,NA,NA,NA,NA,NA,NA
FULL,S1_D,2,1,log_KME,log_NRS_proxy -2,log_NRS_proxy_-2,NA,NA,NA,NA,NA,NA,NA
FULL,S1_D,2,1,omega,omega -1,omega_lag1,-0.2203,0.3024,-0.7285052910052909,0.4663043309781295,,0,0
FULL,S1_D,2,1,omega,log_M -2,log_M_-2,NA,NA,NA,NA,NA,NA,NA
FULL,S1_D,2,1,omega,log_KME -2,log_KME_-2,NA,NA,NA,NA,NA,NA,NA
FULL,S1_D,2,1,omega,log_NRS_proxy -2,log_NRS_proxy_-2,NA,NA,NA,NA,NA,NA,NA
ISI1931_1973,S1_A,1,1,log_M,ECT,ECT,-0.7821,0.2189,-3.5728643216080402,3.5309773234404134e-4,**,3,99
ISI1931_1973,S1_A,1,1,log_M,Intercept,Intercept,-3.513,0.9965,-3.525338685398896,4.229416794999788e-4,**,3,99
ISI1931_1973,S1_A,1,1,log_M,log_M -1,log_M_lag1,0.2745,0.1962,1.3990825688073394,0.16178822423092837,,0,0
ISI1931_1973,S1_A,1,1,log_M,log_KME -1,log_KME_lag1,-0.4236,0.56,-0.7564285714285713,0.44939228308167734,,0,0
ISI1931_1973,S1_A,1,1,log_KME -0.0025(0.0404),ECT,ECT,-0.0034,0.1837,-0.018508437670114314,0.9852332464320048,,0,0
ISI1931_1973,S1_A,1,1,log_KME -0.0025(0.0404),Intercept,Intercept,0.0424,0.0362,1.171270718232044,0.24148997749487724,,0,0
ISI1931_1973,S1_A,1,1,log_KME -0.0025(0.0404),log_M -1,log_M_lag1,0.7642,0.1033,7.397870280735721,1.3838593295405737e-13,***,3,99
ISI1931_1973,S1_A,1,1,log_KME -0.0025(0.0404),log_KME -1,log_KME_lag1,NA,NA,NA,NA,NA,NA,NA
ISI1931_1973,S1_A,2,1,log_M,ECT,ECT,-0.7377,0.3256,-2.2656633906633905,0.023472000640098373,*,2,95
ISI1931_1973,S1_A,2,1,log_M,Intercept,Intercept,-3.0205,1.3525,-2.233271719038817,0.025531031321886218,*,2,95
ISI1931_1973,S1_A,2,1,log_M,log_M -1,log_M_lag1,0.3571,0.2431,1.4689428218839982,0.14184829854731507,,0,0
ISI1931_1973,S1_A,2,1,log_M,log_KME -1,log_KME_lag1,-1.5634,1.3301,-1.1754003458386586,0.23983458520369222,,0,0
ISI1931_1973,S1_A,2,1,log_M,log_M -2,log_M_-2,0.0476,0.214,0.2224299065420561,0.8239792328197537,,0,0
ISI1931_1973,S1_A,2,1,log_KME -0.0234(0.0596),ECT,ECT,-0.0867,0.2477,-0.35002018570851834,0.7263235487177422,,0,0
ISI1931_1973,S1_A,2,1,log_KME -0.0234(0.0596),Intercept,Intercept,0.0547,0.0445,1.2292134831460675,0.21899177495636485,,0,0
ISI1931_1973,S1_A,2,1,log_KME -0.0234(0.0596),log_M -1,log_M_lag1,0.7308,0.2436,3,0.002699796063260189,**,3,99
ISI1931_1973,S1_A,2,1,log_KME -0.0234(0.0596),log_KME -1,log_KME_lag1,0.0245,0.0392,0.625,0.5319710580974011,,0,0
ISI1931_1973,S1_A,2,1,log_KME -0.0234(0.0596),log_M -2,log_M_-2,NA,NA,NA,NA,NA,NA,NA
ISI1931_1973,S1_A,2,1,log_M,ECT,ECT,1.0863,1.2872,0.8439247980111871,0.3987114299897893,,0,0
ISI1931_1973,S1_A,2,1,log_M,Intercept,Intercept,NA,NA,NA,NA,NA,NA,NA
ISI1931_1973,S1_A,2,1,log_M,log_M -1,log_M_lag1,NA,NA,NA,NA,NA,NA,NA
ISI1931_1973,S1_A,2,1,log_M,log_KME -1,log_KME_lag1,NA,NA,NA,NA,NA,NA,NA
ISI1931_1973,S1_A,2,1,log_M,log_M -2,log_M_-2,NA,NA,NA,NA,NA,NA,NA
ISI1931_1973,S1_B,1,1,log_M,ECT,ECT,-0.7523,0.2127,-3.536906440996709,4.048430515854135e-4,**,3,99
ISI1931_1973,S1_B,1,1,log_M,Intercept,Intercept,-3.4268,0.9825,-3.4878371501272265,4.8694456631707603e-4,**,3,99
ISI1931_1973,S1_B,1,1,log_M,log_M -1,log_M_lag1,0.2554,0.1987,1.2853548062405638,0.19866832637571655,,0,0
