sample,spec,test,ecdet,K,rank_index,statistic,cv_10pct,cv_5pct,cv_1pct
PRE1974,S1_C,trace,const,2,2,14.194679512724363,17.85,19.96,24.6
PRE1974,S1_C,trace,const,2,3,36.25851855452487,32,34.91,41.07
PRE1974,S1_C,eigen,const,2,1,4.71243585464034,7.52,9.24,12.97
PRE1974,S1_C,eigen,const,2,2,9.482243658084005,13.75,15.67,20.2
PRE1974,S1_C,eigen,const,2,3,22.063839041800506,19.77,22,26.81
PRE1974,S1_C,trace,const,3,1,4.853948824755093,7.52,9.24,12.97
PRE1974,S1_C,trace,const,3,2,12.955148667626398,17.85,19.96,24.6
PRE1974,S1_C,trace,const,3,3,23.587589507108873,32,34.91,41.07
PRE1974,S1_C,eigen,const,3,1,4.853948824755134,7.52,9.24,12.97
PRE1974,S1_C,eigen,const,3,2,8.101199842871305,13.75,15.67,20.2
PRE1974,S1_C,eigen,const,3,3,10.632440839482475,19.77,22,26.81
PRE1974,S1_D,trace,const,2,1,5.158525692775247,7.52,9.24,12.97
PRE1974,S1_D,trace,const,2,2,14.396719946248549,17.85,19.96,24.6
PRE1974,S1_D,trace,const,2,3,29.132295224496296,32,34.91,41.07
PRE1974,S1_D,trace,const,2,4,57.42223130662199,49.65,53.12,60.16
PRE1974,S1_D,eigen,const,2,1,5.158525692775268,7.52,9.24,12.97
PRE1974,S1_D,eigen,const,2,2,9.238194253473303,13.75,15.67,20.2
PRE1974,S1_D,eigen,const,2,3,14.735575278247747,19.77,22,26.81
PRE1974,S1_D,eigen,const,2,4,28.289936082125692,25.56,28.14,33.24
PRE1974,S1_D,trace,const,3,1,3.31575557088897,7.52,9.24,12.97
PRE1974,S1_D,trace,const,3,2,10.38760873614454,17.85,19.96,24.6
PRE1974,S1_D,trace,const,3,3,24.179268468357616,32,34.91,41.07
PRE1974,S1_D,trace,const,3,4,55.97692332305603,49.65,53.12,60.16
PRE1974,S1_D,eigen,const,3,1,3.3157555708889115,7.52,9.24,12.97
PRE1974,S1_D,eigen,const,3,2,7.07185316525557,13.75,15.67,20.2
PRE1974,S1_D,eigen,const,3,3,13.791659732213075,19.77,22,26.81
PRE1974,S1_D,eigen,const,3,4,31.79765485469841,25.56,28.14,33.24
ISI1931_1973,S1_A,trace,const,2,1,5.281012451696671,7.52,9.24,12.97
ISI1931_1973,S1_A,trace,const,2,2,25.545021957599396,17.85,19.96,24.6
ISI1931_1973,S1_A,eigen,const,2,1,5.281012451696685,7.52,9.24,12.97
ISI1931_1973,S1_A,eigen,const,2,2,20.264009505902724,13.75,15.67,20.2
ISI1931_1973,S1_A,trace,const,3,1,7.57820303706613,7.52,9.24,12.97
ISI1931_1973,S1_A,trace,const,3,2,17.24575973077926,17.85,19.96,24.6
ISI1931_1973,S1_A,eigen,const,3,1,7.578203037066095,7.52,9.24,12.97
ISI1931_1973,S1_A,eigen,const,3,2,9.667556693713129,13.75,15.67,20.2
ISI1931_1973,S1_B,trace,const,2,1,5.510165380970888,7.52,9.24,12.97
ISI1931_1973,S1_B,trace,const,2,2,14.221602451079882,17.85,19.96,24.6
ISI1931_1973,S1_B,trace,const,2,3,36.96456216140112,32,34.91,41.07
ISI1931_1973,S1_B,eigen,const,2,1,5.510165380970885,7.52,9.24,12.97
ISI1931_1973,S1_B,eigen,const,2,2,8.711437070108992,13.75,15.67,20.2
ISI1931_1973,S1_B,eigen,const,2,3,22.742959710321237,19.77,22,26.81
ISI1931_1973,S1_B,trace,const,3,1,3.3000304115016146,7.52,9.24,12.97
ISI1931_1973,S1_B,trace,const,3,2,11.468499572275956,17.85,19.96,24.6
ISI1931_1973,S1_B,trace,const,3,3,23.16995457595858,32,34.91,41.07
ISI1931_1973,S1_B,eigen,const,3,1,3.3000304115015973,7.52,9.24,12.97
ISI1931_1973,S1_B,eigen,const,3,2,8.168469160774341,13.75,15.67,20.2
ISI1931_1973,S1_B,eigen,const,3,3,11.701455003682625,19.77,22,26.81
ISI1931_1973,S1_C,trace,const,2,1,4.712435854640358,7.52,9.24,12.97
ISI1931_1973,S1_C,trace,const,2,2,14.194679512724363,17.85,19.96,24.6
ISI1931_1973,S1_C,trace,const,2,3,36.25851855452487,32,34.91,41.07
ISI1931_1973,S1_C,eigen,const,2,1,4.71243585464034,7.52,9.24,12.97
ISI1931_1973,S1_C,eigen,const,2,2,9.482243658084005,13.75,15.67,20.2
ISI1931_1973,S1_C,eigen,const,2,3,22.063839041800506,19.77,22,26.81
ISI1931_1973,S1_C,trace,const,3,1,4.853948824755093,7.52,9.24,12.97
ISI1931_1973,S1_C,trace,const,3,2,12.955148667626398,17.85,19.96,24.6
ISI1931_1973,S1_C,trace,const,3,3,23.587589507108873,32,34.91,41.07
ISI1931_1973,S1_C,eigen,const,3,1,4.853948824755134,7.52,9.24,12.97
ISI1931_1973,S1_C,eigen,const,3,2,8.101199842871305,13.75,15.67,20.2
ISI1931_1973,S1_C,eigen,const,3,3,10.632440839482475,19.77,22,26.81
ISI1931_1973,S1_D,trace,const,2,1,5.158525692775247,7.52,9.24,12.97
ISI1931_1973,S1_D,trace,const,2,2,14.396719946248549,17.85,19.96,24.6
ISI1931_1973,S1_D,trace,const,2,3,29.132295224496296,32,34.91,41.07
ISI1931_1973,S1_D,trace,const,2,4,57.42223130662199,49.65,53.12,60.16
ISI1931_1973,S1_D,eigen,const,2,1,5.158525692775268,7.52,9.24,12.97
ISI1931_1973,S1_D,eigen,const,2,2,9.238194253473303,13.75,15.67,20.2
ISI1931_1973,S1_D,eigen,const,2,3,14.735575278247747,19.77,22,26.81
ISI1931_1973,S1_D,eigen,const,2,4,28.289936082125692,25.56,28.14,33.24
ISI1931_1973,S1_D,trace,const,3,1,3.31575557088897,7.52,9.24,12.97
ISI1931_1973,S1_D,trace,const,3,2,10.38760873614454,17.85,19.96,24.6
ISI1931_1973,S1_D,trace,const,3,3,24.179268468357616,32,34.91,41.07
ISI1931_1973,S1_D,trace,const,3,4,55.97692332305603,49.65,53.12,60.16
ISI1931_1973,S1_D,eigen,const,3,1,3.3157555708889115,7.52,9.24,12.97
ISI1931_1973,S1_D,eigen,const,3,2,7.07185316525557,13.75,15.67,20.2
ISI1931_1973,S1_D,eigen,const,3,3,13.791659732213075,19.77,22,26.81
ISI1931_1973,S1_D,eigen,const,3,4,31.79765485469841,25.56,28.14,33.24
POST1974,S1_A,trace,const,2,1,6.140599737800383,7.52,9.24,12.97
POST1974,S1_A,trace,const,2,2,16.650138367242135,17.85,19.96,24.6
POST1974,S1_A,eigen,const,2,1,6.140599737800375,7.52,9.24,12.97
POST1974,S1_A,eigen,const,2,2,10.509538629441751,13.75,15.67,20.2
POST1974,S1_A,trace,const,3,1,4.868670526066365,7.52,9.24,12.97
POST1974,S1_A,trace,const,3,2,18.315856047476004,17.85,19.96,24.6
POST1974,S1_A,eigen,const,3,1,4.868670526066361,7.52,9.24,12.97
POST1974,S1_A,eigen,const,3,2,13.447185521409635,13.75,15.67,20.2
POST1974,S1_B,trace,const,2,1,2.7400456779577897,7.52,9.24,12.97
POST1974,S1_B,trace,const,2,2,12.881649283378392,17.85,19.96,24.6
POST1974,S1_B,trace,const,2,3,35.42396221580029,32,34.91,41.07
POST1974,S1_B,eigen,const,2,1,2.7400456779577858,7.52,9.24,12.97
POST1974,S1_B,eigen,const,2,2,10.141603605420604,13.75,15.67,20.2
POST1974,S1_B,eigen,const,2,3,22.542312932421893,19.77,22,26.81
POST1974,S1_B,trace,const,3,1,2.400744720575549,7.52,9.24,12.97
POST1974,S1_B,trace,const,3,2,10.808593254661831,17.85,19.96,24.6
POST1974,S1_B,trace,const,3,3,26.22625499375367,32,34.91,41.07
POST1974,S1_B,eigen,const,3,1,2.400744720575549,7.52,9.24,12.97
POST1974,S1_B,eigen,const,3,2,8.407848534086282,13.75,15.67,20.2
POST1974,S1_B,eigen,const,3,3,15.41766173909184,19.77,22,26.81
POST1974,S1_C,trace,const,2,1,6.434826421160943,7.52,9.24,12.97
POST1974,S1_C,trace,const,2,2,16.371089242616858,17.85,19.96,24.6
POST1974,S1_C,trace,const,2,3,41.14323349754629,32,34.91,41.07
POST1974,S1_C,eigen,const,2,1,6.434826421160928,7.52,9.24,12.97
POST1974,S1_C,eigen,const,2,2,9.936262821455916,13.75,15.67,20.2
POST1974,S1_C,eigen,const,2,3,24.772144254929433,19.77,22,26.81
POST1974,S1_C,trace,const,3,1,4.202502690028561,7.52,9.24,12.97
POST1974,S1_C,trace,const,3,2,17.025053922209064,17.85,19.96,24.6
POST1974,S1_C,trace,const,3,3,47.842948932320596,32,34.91,41.07
POST1974,S1_C,eigen,const,3,1,4.20250269002855,7.52,9.24,12.97
POST1974,S1_C,eigen,const,3,2,12.822551232180505,13.75,15.67,20.2
POST1974,S1_C,eigen,const,3,3,30.817895010111528,19.77,22,26.81
POST1974,S1_D,trace,const,2,1,7.291978415654197,7.52,9.24,12.97
POST1974,S1_D,trace,const,2,2,18.099010578480154,17.85,19.96,24.6
POST1974,S1_D,trace,const,2,3,38.02442643407901,32,34.91,41.07
POST1974,S1_D,trace,const,2,4,82.48686340047824,49.65,53.12,60.16
POST1974,S1_D,eigen,const,2,1,7.29197841565408,7.52,9.24,12.97
POST1974,S1_D,eigen,const,2,2,10.807032162825957,13.75,15.67,20.2
POST1974,S1_D,eigen,const,2,3,19.92541585559886,19.77,22,26.81
POST1974,S1_D,eigen,const,2,4,44.462436966399224,25.56,28.14,33.24
POST1974,S1_D,trace,const,3,1,6.37075624058294,7.52,9.24,12.97
POST1974,S1_D,trace,const,3,2,16.22837444916634,17.85,19.96,24.6
POST1974,S1_D,trace,const,3,3,45.06270550180082,32,34.91,41.07
POST1974,S1_D,trace,const,3,4,88.17712320062014,49.65,53.12,60.16
POST1974,S1_D,eigen,const,3,1,6.3707562405829705,7.52,9.24,12.97
POST1974,S1_D,eigen,const,3,2,9.857618208583398,13.75,15.67,20.2
POST1974,S1_D,eigen,const,3,3,28.83433105263448,19.77,22,26.81
POST1974,S1_D,eigen,const,3,4,43.11441769881933,25.56,28.14,33.24
