"scenario_id","input_id","engine_id","initialization","year","investment","stock","retirement","index_1947"
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1932,1546547.60395262,39944586.804035,725988.003661797,92.3287509044128
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1933,1291047.64601878,40380487.3974721,855147.052581702,93.3363006259303
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1934,1446936.52412214,40856879.1793239,970544.742270307,94.4374425247136
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1935,1583486.72842447,41364402.7745836,1075963.1331648,95.6105431462003
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1936,1799005.09439436,41990294.1104982,1173113.75847974,97.0572414317625
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1937,2247886.72932862,42973676.2962995,1264504.54352733,99.3302515225194
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1938,1628676.12396391,43248594.5774607,1353757.84280273,99.9657033704738
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1939,1643658.72525185,43462768.7427024,1429484.56001013,100.460750002193
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1940,1818442.69569986,43784294.1418724,1496917.29652979,101.203930514613
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1941,1893761.30793001,44118714.2852809,1559341.16452151,101.97691620776
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1942,1309946.01492516,43812169.5611923,1616490.73901381,101.268362340116
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1943,1037794.68114943,43190327.0390073,1659637.20333446,99.831022567038
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1944,1298730.86736915,42798381.6206706,1690676.28570581,98.9250717538461
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1945,1591018.52005284,42671945.9244464,1717454.21627703,98.6328256490265
