"p","q","case","s","neg2logL","k_total","T_eff","logLik","AIC","BIC","HQ","AICc","ICOMP","ICOMP_Misspec","admissible","converged","rank_ok","stable","boundsJo_stat","boundsJo_cval","max_eig_mod","theta_hat","alpha_y","alpha_k","s_K","m","r","d","h","failed","error_msg","spec_idx","spec_id"
2,"d1","d1","h0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,1,"d1","h0",TRUE,"argumentos no compatibles",16,"p2_d1_h0"
2,"d1","d1","h1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,1,"d1","h1",TRUE,"argumentos no compatibles",17,"p2_d1_h1"
2,"d1","d1","h2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,1,"d1","h2",TRUE,"argumentos no compatibles",18,"p2_d1_h2"
2,"d2","d2","h0",-576.713808612817,8,63,288.356904306408,-560.713808612817,-543.568730801684,-553.970565707078,-558.04714194615,-559.601021794701,NA,TRUE,TRUE,TRUE,TRUE,18.371313282519,17.95,0.999999999999997,0.860278640549702,0.106568809665308,0.130969898435942,NA,2,1,"d2","h0",FALSE,"",19,"p2_d2_h0"
2,"d2","d2","h1",-586.699573638529,10,63,293.349786819264,-566.699573638529,-545.268226374613,-558.270520006355,-562.468804407759,-561.307239090485,NA,TRUE,TRUE,TRUE,TRUE,19.0208184143217,17.95,0.999999999999998,0.894916306406093,0.0494778338032718,0.218828407305535,NA,2,1,"d2","h1",FALSE,"",20,"p2_d2_h1"
2,"d2","d2","h2",-596.07134473143,14,63,298.035672365715,-568.07134473143,-538.067458561948,-556.270669646387,-559.32134473143,-555.941476428449,NA,FALSE,TRUE,FALSE,TRUE,16.4562884097962,17.95,1,0.828178910275427,-0.00376473898293914,0.196976109555793,NA,2,1,"d2","h2",FALSE,"",21,"p2_d2_h2"
2,"d3","d3","h0",-581.854845942318,10,63,290.927422971159,-561.854845942318,-540.423498678402,-553.425792310145,-557.624076711548,-538.929861263039,NA,TRUE,TRUE,TRUE,TRUE,18.371313282519,17.95,0.999999999999999,0.675579649995042,0.00817012170275957,0.159797615223145,NA,2,1,"d3","h0",FALSE,"",22,"p2_d3_h0"
2,"d3","d3","h1",-588.237069414465,12,63,294.118534707233,-564.237069414465,-538.519452697767,-554.122205055857,-557.997069414465,-542.21785305764,NA,TRUE,TRUE,TRUE,TRUE,19.0208184143217,17.95,1,0.912326836562112,0.0241936053990968,0.210840458801619,NA,2,1,"d3","h1",FALSE,"",23,"p2_d3_h1"
2,"d3","d3","h2",-596.145617468351,16,63,298.072808734175,-564.145617468351,-529.855461846086,-550.659131656874,-552.319530511829,-536.190485098571,NA,FALSE,TRUE,FALSE,TRUE,16.4562884097962,17.95,0.999999999999999,0.818627877025801,0.00257551094749267,0.199590759442325,NA,2,1,"d3","h2",FALSE,"",24,"p2_d3_h2"
3,"d0","d0","h0",-578.593272384652,10,62,289.296636192326,-558.593272384652,-537.321928534201,-550.241606131747,-554.279546894455,-565.783102166037,NA,TRUE,TRUE,TRUE,TRUE,18.0893564944469,17.95,1,0.884139702125698,0.170105921817037,0.0868801137030354,NA,2,1,"d0","h0",FALSE,"",25,"p3_d0_h0"
3,"d0","d0","h1",-580.530049348655,12,62,290.265024674327,-556.530049348655,-531.004436728114,-546.508049845169,-550.162702409879,-558.298680603167,NA,FALSE,TRUE,FALSE,TRUE,15.2999830054185,17.95,1,0.905713027919131,0.273823163578135,0.154178467959643,NA,2,1,"d0","h1",FALSE,"",26,"p3_d0_h1"
3,"d0","d0","h2",-590.767778163433,16,62,295.383889081716,-558.767778163433,-524.733628002711,-545.405112158786,-546.678889274544,-551.21735379125,NA,FALSE,TRUE,FALSE,TRUE,10.9758043500376,17.95,0.999999999999991,0.87171365508412,0.185870247215317,0.113973617933453,NA,2,1,"d0","h2",FALSE,"",27,"p3_d0_h2"
3,"d1","d1","h0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,1,"d1","h0",TRUE,"argumentos no compatibles",28,"p3_d1_h0"
3,"d1","d1","h1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,1,"d1","h1",TRUE,"argumentos no compatibles",29,"p3_d1_h1"
3,"d1","d1","h2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,1,"d1","h2",TRUE,"argumentos no compatibles",30,"p3_d1_h2"
3,"d2","d2","h0",-581.100524613896,12,62,290.550262306948,-557.100524613896,-531.574911993355,-547.078525110411,-550.733177675121,-556.021089857168,NA,TRUE,TRUE,TRUE,TRUE,18.0893564944469,17.95,0.999999999999998,1.17352288174224,0.0550689545410527,0.0240070482223317,NA,2,1,"d2","h0",FALSE,"",31,"p3_d2_h0"
3,"d2","d2","h1",-586.435512284054,14,62,293.217756142027,-558.435512284054,-528.655630893423,-546.743179529988,-549.499342071288,-557.198755718001,NA,FALSE,TRUE,FALSE,TRUE,15.2999830054185,17.95,1,0.933534489945164,0.188849967162303,0.197706026911655,NA,2,1,"d2","h1",FALSE,"",32,"p3_d2_h1"
3,"d2","d2","h2",-597.247536814551,18,62,298.623768407275,-561.247536814551,-522.959117883739,-546.214537559323,-545.340560070365,-552.425709737731,NA,FALSE,TRUE,FALSE,TRUE,10.9758043500376,17.95,1,0.811392011472868,0.0370520512581353,0.171895767299666,NA,2,1,"d2","h2",FALSE,"",33,"p3_d2_h2"
3,"d3","d3","h0",-584.853902759117,14,62,292.426951379559,-556.853902759117,-527.074021368486,-545.161570005051,-547.917732546351,-541.215900925778,NA,TRUE,TRUE,TRUE,TRUE,18.0893564944469,17.95,1,0.87240758044611,0.063858078415028,0.111732181458255,NA,2,1,"d3","h0",FALSE,"",34,"p3_d3_h0"
3,"d3","d3","h1",-590.818871613245,16,62,295.409435806623,-558.818871613245,-524.784721452524,-545.456205608598,-546.729982724356,-538.526062321726,NA,FALSE,TRUE,FALSE,TRUE,15.2999830054185,17.95,1,1.13543853747424,0.134126625934672,0.183636040472383,NA,2,1,"d3","h1",FALSE,"",35,"p3_d3_h1"
3,"d3","d3","h2",-598.501990588487,20,62,299.250995294244,-558.501990588487,-515.959302887586,-541.798658082679,-538.014185710439,-534.029326043411,NA,FALSE,TRUE,FALSE,TRUE,10.9758043500376,17.95,0.999999999999999,0.986580053964365,0.0936251865208639,0.173060215214331,NA,2,1,"d3","h2",FALSE,"",36,"p3_d3_h2"
4,"d0","d0","h0",-583.197436794325,14,61,291.598718397162,-555.197436794325,-525.645202695899,-543.615639296336,-546.067002011716,-567.534528774342,NA,TRUE,TRUE,TRUE,TRUE,18.0746133476105,17.95,1,0.881709565536742,0.151251085549325,0.066857553839069,NA,2,1,"d0","h0",FALSE,"",37,"p4_d0_h0"
4,"d0","d0","h1",-585.848858957077,16,61,292.924429478539,-553.848858957077,-520.074877130304,-540.612518959375,-541.485222593441,-560.526459719691,NA,TRUE,TRUE,TRUE,TRUE,18.2847909177481,17.95,0.999999999999987,0.909405404073187,0.277937035046882,0.158658076944774,NA,2,1,"d0","h1",FALSE,"",38,"p4_d0_h1"
4,"d0","d0","h2",-592.867295658087,20,61,296.433647829043,-552.867295658087,-510.64981837462,-536.321870660959,-531.867295658087,-549.958657085656,NA,FALSE,TRUE,FALSE,TRUE,15.3374834145683,17.95,0.999999999999993,0.886689343776916,0.205250721387625,0.116745582321192,NA,2,1,"d0","h2",FALSE,"",39,"p4_d0_h2"
4,"d1","d1","h0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,1,"d1","h0",TRUE,"argumentos no compatibles",40,"p4_d1_h0"
4,"d1","d1","h1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,1,"d1","h1",TRUE,"argumentos no compatibles",41,"p4_d1_h1"
4,"d1","d1","h2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,1,"d1","h2",TRUE,"argumentos no compatibles",42,"p4_d1_h2"
4,"d2","d2","h0",-585.08870225013,16,61,292.544351125065,-553.08870225013,-519.314720423357,-539.852362252428,-540.725065886494,-558.568364290431,NA,TRUE,TRUE,TRUE,TRUE,18.0746133476105,17.95,0.999999999999998,0.594315054031312,-0.0758762616790269,0.00523135302728703,NA,2,1,"d2","h0",FALSE,"",43,"p4_d2_h0"
4,"d2","d2","h1",-595.07477949261,18,61,297.537389746305,-559.07477949261,-521.079049937491,-544.183896995195,-542.789065206896,-561.552453080589,NA,TRUE,TRUE,TRUE,TRUE,18.2847909177481,17.95,1,0.87020189046001,0.103651149449045,0.245159278265063,NA,2,1,"d2","h1",FALSE,"",44,"p4_d2_h1"
4,"d2","d2","h2",-604.71796017519,22,61,302.358980087595,-560.71796017519,-514.278735163377,-542.517992678349,-534.086381227821,-555.348091414363,NA,FALSE,TRUE,FALSE,TRUE,15.3374834145683,17.95,0.999999999999998,0.826193388919361,0.0336729414199406,0.209149803582227,NA,2,1,"d2","h2",FALSE,"",45,"p4_d2_h2"
4,"d3","d3","h0",-594.891047900311,18,61,297.445523950156,-558.891047900311,-520.895318345192,-544.000165402897,-542.605333614597,-542.167579426975,NA,TRUE,TRUE,TRUE,TRUE,18.0746133476105,17.95,1,0.574089345906793,0.0700410053825191,0.194881841510854,NA,2,1,"d3","h0",FALSE,"",46,"p4_d3_h0"
4,"d3","d3","h1",-599.159037163625,20,61,299.579518581813,-559.159037163625,-516.941559880159,-542.613612166498,-538.159037163625,-542.368550204352,NA,TRUE,TRUE,TRUE,TRUE,18.2847909177481,17.95,0.999999999999999,0.791815451601435,0.124638308671849,0.261195398654912,NA,2,1,"d3","h1",FALSE,"",47,"p4_d3_h1"
4,"d3","d3","h2",-605.511567489958,24,61,302.755783744979,-557.511567489958,-506.850594749798,-537.657057493405,-524.178234156625,-532.100120533206,NA,FALSE,TRUE,FALSE,TRUE,15.3374834145683,17.95,1,0.740585990002324,0.0790934130963883,0.227245086934102,NA,2,1,"d3","h2",FALSE,"",48,"p4_d3_h2"
