"variable_id","display_name","construction_family","s24b_construction_status","constructed_observation_rows","expected_observation_rows","coverage_start","expected_coverage_start","coverage_end","expected_coverage_end","source_dataset","source_table","source_line","source_line_description","unit","frequency","provider_release_commit","provider_v1_commit","s21_intake_commit","s22_model_input_preparation_commit","s23_construction_plan_commit","s24a_income_distribution_construction_commit","s22_authorization","s23_authorization_scope","s24b_decision_effect","can_enter_modeling","can_construct_adjusted_shaikh","blocked_or_parked_status","notes"
"CORP__ME__net_stock_current_cost","CORP_machinery_equipment_net_stock_current_cost","fixed_assets_source_inputs","constructed",100,100,1925,1925,2024,2024,"FixedAssets","FAAt401","18","Equipment","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"CORP__ME__net_stock_quantity_index","CORP_machinery_equipment_net_stock_quantity_index","fixed_assets_source_inputs","constructed",100,100,1925,1925,2024,2024,"FixedAssets","FAAt402","18","Equipment","Chain-type quantity index","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"CORP__NRC__cfc_current_cost","CORP_nonresidential_structures_cfc_current_cost","fixed_assets_source_inputs","constructed",100,100,1925,1925,2024,2024,"FixedAssets","FAAt404","19","Structures","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"CORP__NRC__gross_investment_current_cost","CORP_nonresidential_structures_gross_investment_current_cost","fixed_assets_source_inputs","constructed",124,124,1901,1901,2024,2024,"FixedAssets","FAAt407","19","Structures","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"CORP__NRC__net_stock_current_cost","CORP_nonresidential_structures_net_stock_current_cost","fixed_assets_source_inputs","constructed",100,100,1925,1925,2024,2024,"FixedAssets","FAAt401","19","Structures","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"CORP__NRC__net_stock_quantity_index","CORP_nonresidential_structures_net_stock_quantity_index","fixed_assets_source_inputs","constructed",100,100,1925,1925,2024,2024,"FixedAssets","FAAt402","19","Structures","Chain-type quantity index","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"FIN__ME__cfc_current_cost","FIN_machinery_equipment_cfc_current_cost","fixed_assets_source_inputs","constructed",100,100,1925,1925,2024,2024,"FixedAssets","FAAt404","34","Equipment","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"FIN__ME__gross_investment_current_cost","FIN_machinery_equipment_gross_investment_current_cost","fixed_assets_source_inputs","constructed",124,124,1901,1901,2024,2024,"FixedAssets","FAAt407","34","Equipment","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"FIN__ME__net_stock_current_cost","FIN_machinery_equipment_net_stock_current_cost","fixed_assets_source_inputs","constructed",100,100,1925,1925,2024,2024,"FixedAssets","FAAt401","34","Equipment","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"FIN__ME__net_stock_quantity_index","FIN_machinery_equipment_net_stock_quantity_index","fixed_assets_source_inputs","constructed",100,100,1925,1925,2024,2024,"FixedAssets","FAAt402","34","Equipment","Chain-type quantity index","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"FIN__NRC__cfc_current_cost","FIN_nonresidential_structures_cfc_current_cost","fixed_assets_source_inputs","constructed",100,100,1925,1925,2024,2024,"FixedAssets","FAAt404","35","Structures","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"FIN__NRC__gross_investment_current_cost","FIN_nonresidential_structures_gross_investment_current_cost","fixed_assets_source_inputs","constructed",124,124,1901,1901,2024,2024,"FixedAssets","FAAt407","35","Structures","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"FIN__NRC__net_stock_current_cost","FIN_nonresidential_structures_net_stock_current_cost","fixed_assets_source_inputs","constructed",100,100,1925,1925,2024,2024,"FixedAssets","FAAt401","35","Structures","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"FIN__NRC__net_stock_quantity_index","FIN_nonresidential_structures_net_stock_quantity_index","fixed_assets_source_inputs","constructed",100,100,1925,1925,2024,2024,"FixedAssets","FAAt402","35","Structures","Chain-type quantity index","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"NFC__ME__cfc_current_cost","NFC_machinery_equipment_cfc_current_cost","fixed_assets_source_inputs","constructed",100,100,1925,1925,2024,2024,"FixedAssets","FAAt404","38","Equipment","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"NFC__ME__gross_investment_current_cost","NFC_machinery_equipment_gross_investment_current_cost","fixed_assets_source_inputs","constructed",124,124,1901,1901,2024,2024,"FixedAssets","FAAt407","38","Equipment","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"NFC__ME__net_stock_current_cost","NFC_machinery_equipment_net_stock_current_cost","fixed_assets_source_inputs","constructed",100,100,1925,1925,2024,2024,"FixedAssets","FAAt401","38","Equipment","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"NFC__ME__net_stock_quantity_index","NFC_machinery_equipment_net_stock_quantity_index","fixed_assets_source_inputs","constructed",100,100,1925,1925,2024,2024,"FixedAssets","FAAt402","38","Equipment","Chain-type quantity index","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"NFC__NRC__cfc_current_cost","NFC_nonresidential_structures_cfc_current_cost","fixed_assets_source_inputs","constructed",100,100,1925,1925,2024,2024,"FixedAssets","FAAt404","39","Structures","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"NFC__NRC__gross_investment_current_cost","NFC_nonresidential_structures_gross_investment_current_cost","fixed_assets_source_inputs","constructed",124,124,1901,1901,2024,2024,"FixedAssets","FAAt407","39","Structures","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"NFC__NRC__net_stock_current_cost","NFC_nonresidential_structures_net_stock_current_cost","fixed_assets_source_inputs","constructed",100,100,1925,1925,2024,2024,"FixedAssets","FAAt401","39","Structures","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"NFC__NRC__net_stock_quantity_index","NFC_nonresidential_structures_net_stock_quantity_index","fixed_assets_source_inputs","constructed",100,100,1925,1925,2024,2024,"FixedAssets","FAAt402","39","Structures","Chain-type quantity index","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"CORP__IPP__cfc_current_cost","CORP_intellectual_property_products_cfc_current_cost","fixed_assets_source_inputs","constructed",100,100,1925,1925,2024,2024,"FixedAssets","FAAt404","20","Intellectual property products","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"CORP__IPP__gross_investment_current_cost","CORP_intellectual_property_products_gross_investment_current_cost","fixed_assets_source_inputs","constructed",124,124,1901,1901,2024,2024,"FixedAssets","FAAt407","20","Intellectual property products","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"CORP__IPP__net_stock_current_cost","CORP_intellectual_property_products_net_stock_current_cost","fixed_assets_source_inputs","constructed",100,100,1925,1925,2024,2024,"FixedAssets","FAAt401","20","Intellectual property products","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"CORP__IPP__net_stock_quantity_index","CORP_intellectual_property_products_net_stock_quantity_index","fixed_assets_source_inputs","constructed",100,100,1925,1925,2024,2024,"FixedAssets","FAAt402","20","Intellectual property products","Chain-type quantity index","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"FIN__IPP__cfc_current_cost","FIN_intellectual_property_products_cfc_current_cost","fixed_assets_source_inputs","constructed",100,100,1925,1925,2024,2024,"FixedAssets","FAAt404","36","Intellectual property products","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
