year,swing_id,swing_start,swing_end,swing_direction,gross_reinforcing_pct_t,gross_offsetting_pct_t,net_imbalance_idx_t,compensation_intensity_t,reinforcing_concentration_t,reversal_risk_raw_t,gross_reinforcing_pct_swing,gross_offsetting_pct_swing,net_imbalance_idx_swing,compensation_intensity_swing,reinforcing_concentration_swing,reversal_risk_raw_swing,dist_share_t,util_share_t,price_share_t,capacity_share_t,wedge_share_t,share_sum_t,stagnation_transmission_t,small_den_flag
1950,2,1944,1958,peak_to_trough,56.657,43.343,0.133,3.256,0.506,21.937,82.313,17.687,0.646,0.274,0.431,7.621,-87.724,-186.186,189.234,236.322,-51.647,100,0.017,FALSE
1951,2,1944,1958,peak_to_trough,54.765,45.235,0.095,4.746,0.591,26.742,82.313,17.687,0.646,0.274,0.431,7.621,164.609,-156.965,-148.873,410.001,-168.772,100,0.006,TRUE
1952,2,1944,1958,peak_to_trough,82.635,17.365,0.653,0.266,0.316,5.483,82.313,17.687,0.646,0.274,0.431,7.621,52.126,22.937,10.119,41.423,-26.605,100,0.014,FALSE
1953,2,1944,1958,peak_to_trough,66.473,33.527,0.329,1.018,0.442,14.82,82.313,17.687,0.646,0.274,0.431,7.621,102.869,-28.572,13.929,84.961,-73.187,100,0.009,FALSE
1954,2,1944,1958,peak_to_trough,70.072,29.928,0.401,0.746,0.775,23.189,82.313,17.687,0.646,0.274,0.431,7.621,-13.082,151.983,-14.829,22.571,-46.642,100,0.013,FALSE
1955,2,1944,1958,peak_to_trough,52.725,47.275,0.054,8.675,0.406,19.181,82.313,17.687,0.646,0.274,0.431,7.621,385.18,467.014,-347.492,-519.966,115.263,100,0.006,TRUE
1956,2,1944,1958,peak_to_trough,90.79,9.21,0.816,0.113,0.338,3.111,82.313,17.687,0.646,0.274,0.431,7.621,25.508,8.473,23.27,54.038,-11.289,100,0.012,FALSE
1957,2,1944,1958,peak_to_trough,84.418,15.582,0.688,0.226,0.397,6.182,82.313,17.687,0.646,0.274,0.431,7.621,13.152,48.668,2.333,58.483,-22.636,100,0.011,FALSE
1958,3,1958,1966,trough_to_peak,68.72,31.28,0.374,0.835,0.788,24.634,72.22,27.78,0.444,0.625,0.299,8.319,9.852,162.177,-45.779,11.517,-37.767,100,0.015,FALSE
1959,3,1958,1966,trough_to_peak,81.428,18.572,0.629,0.295,0.426,7.906,72.22,27.78,0.444,0.625,0.299,8.319,36.926,73.619,-3.837,-25.711,19.003,100,0.017,FALSE
1960,3,1958,1966,trough_to_peak,52.367,47.633,0.047,10.062,0.563,26.807,72.22,27.78,0.444,0.625,0.299,8.319,749.099,357.102,-565.607,-16.544,-424.051,100,0.002,TRUE
1961,3,1958,1966,trough_to_peak,59.014,40.986,0.18,2.274,0.347,14.239,72.22,27.78,0.444,0.625,0.299,8.319,86.067,-174.099,101.771,-53.253,139.514,100,0.004,TRUE
1962,3,1958,1966,trough_to_peak,90.083,9.917,0.802,0.124,0.323,3.199,72.22,27.78,0.444,0.625,0.299,8.319,25.021,53.403,13.927,-12.371,20.02,100,0.007,FALSE
1963,3,1958,1966,trough_to_peak,87.1,12.9,0.742,0.174,0.264,3.405,72.22,27.78,0.444,0.625,0.299,8.319,39.278,29.542,19.713,-17.386,28.854,100,0.006,FALSE
1964,3,1958,1966,trough_to_peak,60.568,39.432,0.211,1.866,0.375,14.795,72.22,27.78,0.444,0.625,0.299,8.319,57.111,139.469,-10.732,-175.834,89.986,100,0.005,TRUE
1965,3,1958,1966,trough_to_peak,65.845,34.155,0.317,1.078,0.38,12.988,72.22,27.78,0.444,0.625,0.299,8.319,68.048,101.675,-2.502,-105.275,38.054,100,0.009,FALSE
1966,4,1966,1976,peak_to_trough,76.643,23.357,0.533,0.438,0.536,12.513,92.445,7.555,0.849,0.089,0.573,4.33,49.592,-25.328,1.389,92.852,-18.504,100,0.009,FALSE
1967,4,1966,1976,peak_to_trough,91.321,8.679,0.826,0.105,0.323,2.802,92.445,7.555,0.849,0.089,0.573,4.33,25.349,31.089,6.16,47.904,-10.502,100,0.008,FALSE
1968,4,1966,1976,peak_to_trough,77.537,22.463,0.551,0.408,0.816,18.335,92.445,7.555,0.849,0.089,0.573,4.33,-2.405,-18.315,14.412,126.375,-20.067,100,0.01,FALSE
1969,4,1966,1976,peak_to_trough,92.885,7.115,0.858,0.083,0.4,2.849,92.445,7.555,0.849,0.089,0.573,4.33,37.333,13.839,1.363,55.76,-8.295,100,0.007,FALSE
1970,4,1966,1976,peak_to_trough,94.194,5.806,0.884,0.066,0.338,1.96,92.445,7.555,0.849,0.089,0.573,4.33,21.912,40.276,2.868,41.512,-6.568,100,0.009,FALSE
1971,4,1966,1976,peak_to_trough,63.039,36.961,0.261,1.417,0.643,23.774,92.445,7.555,0.849,0.089,0.573,4.33,-110.311,31.376,20.1,190.253,-31.418,100,0.012,FALSE
1972,4,1966,1976,peak_to_trough,62.037,37.963,0.241,1.577,0.949,36.041,92.445,7.555,0.849,0.089,0.573,4.33,5.01,-112.933,1.654,251.035,-44.766,100,0.007,TRUE
1973,4,1966,1976,peak_to_trough,82.363,17.637,0.647,0.272,0.585,10.326,92.445,7.555,0.849,0.089,0.573,4.33,8.324,-21.261,25.259,93.665,-5.988,100,0.016,FALSE
1974,4,1966,1976,peak_to_trough,99.391,0.609,0.988,0.006,0.364,0.222,92.445,7.555,0.849,0.089,0.573,4.33,9.328,14.615,23.463,53.211,-0.617,100,0.002,FALSE
1975,4,1966,1976,peak_to_trough,60.453,39.547,0.209,1.892,0.564,22.312,92.445,7.555,0.849,0.089,0.573,4.33,-138.768,92.775,-27.122,196.391,-23.276,100,0.017,FALSE
1976,5,1976,1978,trough_to_peak,60.872,39.128,0.217,1.799,0.738,28.885,77.67,22.33,0.553,0.404,0.656,14.638,-24.302,-128.074,43.354,236.585,-27.564,100,0.012,FALSE
1977,5,1976,1978,trough_to_peak,71.194,28.806,0.424,0.68,0.769,22.148,77.67,22.33,0.553,0.404,0.656,14.638,-1.771,-54.206,22.398,145.562,-11.983,100,0.015,FALSE
1978,5,1976,1978,trough_to_peak,82.794,17.206,0.656,0.262,0.578,9.945,77.67,22.33,0.553,0.404,0.656,14.638,16.037,-22.569,17.138,93.057,-3.663,100,0.017,FALSE
