year,GVA,EC,GOS,omega,pi,e,KNC,KNR,KGC,KGR,IGC,Py,pK,GVA_real,EC_real,GOS_real,theta,mu,mu_ect
1955,221376,137886,64330,0.622858846487424,0.377141153512576,0.605500195813933,332305,3396304.03284581,351730.652776823,3594842.79352226,28956,11.003125298976306,9.7843124993011,2011937.4630823852,1253153.0474603288,584652.0715890152,0.9195032496747632,0.7277961022539334,1.4058296016348657
1956,237233,150770,65660,0.635535528362412,0.364464471637588,0.573476155733899,368854,3533739.17165835,396368.857473764,3797340.29746323,35341,11.377842268074115,10.4380652357797,2085043.8458412164,1325119.442225492,577086.572769953,0.7565964785674808,0.7067323954377549,0.9370183045219108
1957,247921,158411,67461,0.638957571161781,0.361042428838219,0.565049144314473,396424,3669883.83968388,432968.537807809,4008193.85302715,38305,11.754951047612973,10.8020857693999,2109077.2645143787,1347610.8863266413,573894.3507867607,0.71262014875707,0.6870523234868979,0.8260525227894485
1958,242248,155209,64733,0.640702916019947,0.359297083980053,0.560785779175177,404910,3748387.47922467,450529.114964628,4170698.90484202,33954,12.022833817010556,10.8022450252062,2014899.346419098,1290951.8867374004,538417.1567639257,0.6901908965192636,0.6486160677353212,0.742821736702352
1959,271655,170794,76464,0.628716570650273,0.371283429349727,0.590541822312259,422056,3841086.29742217,477605.081420107,4346632.51753789,36860,12.187868737442995,10.9879332907269,2228896.6664486164,1401344.2684634002,627377.9415189376,0.8442262222304073,0.6909156950870354,1.102097722096966
1960,282484,180409,75475,0.638652100649948,0.361347899350052,0.565797715191593,431682,3956153.27592716,496056.627498047,4546115.08453393,40047,12.353700928022452,10.9116601378098,2286634.601613424,1460363.9917392707,610950.5195224265,0.7165457197575833,0.696532722546301,0.8490612694195534
1961,290423,184516,78287,0.635335355670866,0.364664644329134,0.573971904875458,443252,4063047.27278136,516952.128016294,4738615.80747549,40201,12.485250502280193,10.9093488271568,2326128.73844189,1477871.8293742018,627035.8771392081,0.7591688778092696,0.6922567675834174,0.9221537661723356
1962,316808,199256,87683,0.628948763920103,0.371051236079897,0.589954631228169,457910,4187362.62525965,541517.911658828,4951916.01884395,43511,12.63673183021335,10.9355229288652,2507040.6198107256,1576800.0989274448,693874.0267507887,0.8412423297391491,0.7248352413687374,1.1425908715349766
1963,337829,210106,96056,0.621930029689577,0.378069970310423,0.607897918193674,473397,4320281.11631778,567592.438907842,5179920.64921895,46201,12.781834996970373,10.9575508457533,2643039.9084331337,1643785.888722555,751503.9900199601,0.9314393814622156,0.7392249664928647,1.397764891575897
1964,364523,225657,104988,0.619047357779893,0.380952642220107,0.615385297154531,499570,4484385.98472772,606184.889670143,5441413.66253079,51757,12.976368912842428,11.1402096452305,2809129.4448267384,1738984.1604816907,809070.7092651756,0.9684843099063744,0.748048477407035,1.5221694222611746
1965,400741,245400,119319,0.61236559273945,0.38763440726055,0.63301140994295,534604,4709573.13705432,655034.029516025,5770496.79625502,61567,13.21395541665338,11.3514321668307,3032710.3986967537,1857127.5009050318,902977.1649571616,1.0543510042646025,0.758592787036606,1.8219530287883
1966,440080,272851,130256,0.620003181239775,0.379996818760225,0.612894949991021,582406,4987884.67011127,718922.800479285,6157051.98006904,71377,13.584686035016105,11.6764127184001,3239530.1508304477,2008518.9992370445,958844.3903984976,0.956201118205775,0.7612058687068598,1.5214816220772658
1967,463191,291064,132816,0.628388720851657,0.371611279148343,0.591371657092598,632741,5237805.84585488,788310.400558808,6525603.40549313,73210,13.978537487642315,12.0802683150377,3313586.992984657,2082220.6919523182,950142.3172303655,0.848439387207442,0.7377328409406015,1.2138055672632913
1968,510944,320869,144540,0.627992500156573,0.372007499843427,0.592375704726851,696068,5491383.35549486,874952.462503753,6902629.32564397,79559,14.574098287463725,12.675640270197,3505836.10678337,2201638.7818380743,991759.4704595186,0.8535311797378959,0.7399532141237846,1.2283074175150774
1969,554625,356064,148380,0.641990534144692,0.358009465855308,0.557655365327582,767094,5760876.67150752,972484.109528336,7303356.58992712,88572,15.288452339190611,13.315577536904,3627738.0319148935,2328973.4768460575,970536.4330413017,0.6736438447599777,0.7364261103668454,0.9036572352736508
1970,572890,374485,144156,0.653676971146293,0.346323028853707,0.529807602440685,843414,5990150.31465955,1079929.09806224,7669943.38079227,90918,16.09608699811844,14.080013951167999,3559188.0192183866,2326559.2441428504,895596.5509931151,0.5234626114961038,0.7026239041132241,0.6757901739018776
1971,618097,396190,162391,0.64098353494678,0.35901646505322,0.560102476084707,921543,6188667.73738872,1192127.03550017,8005788.25238623,93782,16.911694358516442,14.890813970065201,3654849.6377522154,2342698.440505374,960229.0377145011,0.6865846907524258,0.6974403428362662,0.8664025582678293
1972,685949,439924,182360,0.641336309259143,0.358663690740857,0.559244324019603,998403,6424608.81294013,1302951.05023988,8384340.59212636,106816,17.643588353477693,15.540292476470603,3887808.9097153186,2493393.0172616355,1033576.5964753728,0.6820512233416807,0.7187222548466937,0.8867122502789649
1973,768838,495100,203663,0.64395880536602,0.35604119463398,0.552894364774793,1124922,6711738.56304138,1475833.18040528,8805416.25956477,124968,18.60987977166183,16.7605157655344,4131343.186702082,2660414.823065718,1094381.0626338788,0.6483497881218145,0.7292549669434095,0.8561439338790777
1974,830040,542933,212677,0.654104621464026,0.345895378535974,0.528807421910254,1372198,6984242.97755698,1803688.85744316,9180454.45066614,140734,20.28494435054374,19.647054153319,4091901.785166843,2676531.8682545293,1048447.5398341389,0.5179669200279484,0.6807277022231578,0.6657149209681313
1975,898280,569021,249065,0.6334561606626,0.3665438393374,0.578641210078363,1518805,7155660.51375974,2015907.21579514,9497695.66433388,143302,22.1641100870619,21.225224381166,4052858.411510791,2567308.129064748,1123731.1086330935,0.7833182249409933,0.6623807865130263,0.9114483694486164
1976,1014666,640004,287994,0.630753371060034,0.369246628939966,0.585405716214274,1666379,7344499.40558666,2230289.3645166,9829911.98999652,160253,23.383933411997322,22.6888029799887,4339158.7810433,2736939.028707808,1231589.2066825775,0.8180515038446092,0.6821514837306076,0.980791508948459
1977,1147401,723326,329444,0.630403843120234,0.369596156879766,0.586284745743966,1850996,7589688.85511134,2493290.39253757,10223305.8876403,191207,24.836559619861596,24.3882988530344,4619806.517334361,2912343.782999486,1326447.805341551,0.8225432524461844,0.6963178652002847,1.0066468152337813
1978,1303931,829499,371706,0.636152526475711,0.363847473524289,0.57195005660043,2097947,7903488.33481002,2836070.47010929,10684183.0976702,230684,26.583378511975003,26.544570082552397,4905061.256275679,3120367.110697897,1398264.7082746,0.7486674975132868,0.7063896639283571,0.93694965018821
1979,1450326,942400,399169,0.649784944902043,0.350215055097957,0.538970713073005,2414175,8256647.17351138,3271585.51080847,11189051.0260099,272473,28.78942500876997,29.239168748121504,5037703.947050679,3273424.1816671286,1386512.5818886736,0.5734786515583359,0.699694807199155,0.7647601252873206
1980,1574527,1030690,422301,0.654602937898175,0.345397062101825,0.52764361738253,2766412,8574318.06557097,3762477.59296236,11661560.0267217,296668,31.38932295819116,32.2639302489624,5016122.845647811,3283568.751619212,1345365.1120875769,0.5115631053643437,0.6779426394922791,0.6947046102453556
1981,1789067,1139850,502566,0.637119794842787,0.362880205157213,0.569563539062157,3125661,8897580.99770747,4271659.42170986,12159807.3813135,339138,34.35995152597506,35.1293346001048,5206837.962642411,3317379.534538367,1462650.4918671832,0.7362372284548293,0.6850589432007052,0.8765330421675863
1982,1854861,1183260,518686,0.637923812080797,0.362076187919203,0.567585315146291,3320755,9143200.60416114,4582901.9340691,12618332.7985328,343827,36.48228465733329,36.3193934352561,5084278.622959417,3243382.4008391793,1421747.5820712864,0.7259048833308874,0.6639053242021123,0.8411539967565523
1983,1985899,1250110,567771,0.62949324210345,0.37050675789655,0.588579405012359,3415779,9353332.26397308,4764336.31716815,13046049.1126,342125,37.911790030934085,36.5193805116579,5238209.534236204,3297417.502523553,1497610.636524226,0.8342452950527743,0.6837828456758538,0.9593612792895436
1984,2226000,1388207,652790,0.623632973944295,0.376367026055705,0.60350725792335,3613437,9680896.76539947,5072676.14235583,13590399.9594988,401008,39.27910833306758,37.3254367603092,5667134.755515862,3534212.1013254304,1661926.7282359386,0.9095550151392596,0.7216440186738281,1.086836869034961
1985,2369165,1490088,682498,0.628950706261489,0.371049293738511,0.589949721090298,3801706,10019645.3469796,5374862.92745954,14165803.54235,428068,40.52205249226648,37.9425206017497,5846606.611183252,3677227.357336796,1684263.1555503088,0.8412173689042319,0.7279555414882273,1.0299776277473436
1986,2464907,1578176,682166,0.640257827171573,0.359742172828427,0.561870792611217,3959550,10276018.8766581,5653299.56899869,14671721.0507339,417120,41.33765985266448,38.531945566917,5962860.521822986,3817768.1214295356,1650228.8770853826,0.6959106888008328,0.7267981831322377,0.9039832340205544
1987,2641902,1685458,739604,0.637971431188591,0.362028568811409,0.567468308317383,4154780,10485290.222612,5993395.1067873,15125346.4957104,417524,42.362151991580824,39.6248450142088,6236467.87473181,3978688.335604321,1745907.5264802198,0.7252929349385369,0.7416652596169753,0.945982671710354
1988,2873908,1825308,814761,0.635130978444682,0.364869021555318,0.574478389400583,4404530,10696282.1962819,6415648.78082389,15580229.8615118,443910,43.85623624708997,41.1781394616817,6553020.153868527,4162026.1020942405,1857799.6420157065,0.7617953091052367,0.7597204267657041,0.99854599645817
1989,3020213,1934822,837235,0.640624353315478,0.359375646684522,0.560977185498201,4650305,10928566.9379369,6835605.73194094,16064188.2205278,480992,45.57594795420481,42.5518279423916,6626769.459704365,4245269.899693868,1837010.6110382227,0.6912004979781248,0.7551392229262401,0.938747378605108
1990,3160697,2037523,859646,0.644643570706082,0.355356429293918,0.551244820303869,4905710,11199135.646272,7263293.50345098,16581210.3006158,520085,47.28210606882036,43.8043627200195,6684763.566579546,4309289.85488576,1818121.2121743527,0.6395499372132107,0.7501753426320616,0.8964860448890128
1991,3231237,2071121,874387,0.640968458828616,0.35903154117138403,0.560139171009323,5028760,11404320.5014006,7520035.02404597,17054082.8347302,514912,48.880632713588675,44.0952181182773,6610464.760006524,4237099.409362257,1788820.9531234708,0.6867784324393398,0.741079651469541,0.9171241081674236
1992,3376497,2188674,885322,0.648208483525974,0.351791516474026,0.542713533399675,5205412,11610580.7488516,7855848.51907852,17522333.21426,532336,49.99441910897088,44.8333473802752,6753747.8386145085,4377836.644585134,1770841.657486405,0.5937375990560607,0.7476910126149463,0.8638449811719054
1993,3534936,2271015,944599,0.64244868931149,0.35755131068851,0.556544540656931,5454732,11875772.4955743,8285120.69812057,18037954.6619805,578320,51.179959817584596,45.9315973089984,6906875.293765771,4437312.97971773,1845642.3243916875,0.6677561385269737,0.7495949168134927,0.9132863312935824
1994,3816575,2398673,1067155,0.628488369808008,0.371511630191992,0.591119339734928,5759417,12179893.4443708,8796526.44104205,18602708.3526826,630521,52.27221991899735,47.286267538423,7301344.779147093,4588810.27765237,2041533.7279604662,0.8471588084342692,0.7667972749322653,1.05693822822238
1995,4041486,2524557,1158262,0.624660582765844,0.375339417234156,0.600869380251664,6106995,12583810.800693,9358890.9878939,19284527.5779606,716637,53.368466371145196,48.5305691314406,7572797.711468651,4730428.231613858,2170311.5692794933,0.8963493169344154,0.766460797881199,1.0907471200323169
1996,4296356,2667703,1256972,0.620922242011602,0.379077757988398,0.610507616477546,6431219,13046014.4208935,9881784.10499742,20045639.5495088,781007,54.34512230124056,49.2964271885233,7905688.345284901,4908817.731999296,2312943.5481485827,0.944390360133105,0.7732379850400234,1.1329962995635845
1997,4609353,2862551,1357903,0.621030977666497,0.378969022333503,0.610225634407911,6811804,13568224.9326881,10491172.9546345,20897047.8974755,855906,55.28271199413209,50.2040910568133,8337783.791231612,5178022.019440439,2456288.6859532734,0.9429930091056145,0.7832893990151302,1.1468079494971593
1998,4875176,3093832,1378440,0.63460929410548494,0.365390705894515,0.575772698711501,7180238,14116459.9386867,11090049.8558468,21803211.0506783,911542,55.90378543865804,50.8642962271459,8720654.53483364,5534208.41848857,2465736.4240790657,0.7684994223798238,0.7918105184236175,1.0570941569962673
1999,5168284,3309975,1433673,0.640439844250045,0.359560155749955,0.561426898994705,7599121,14713947.9130548,11772382.2839524,22794507.3829782,987288,56.69467742449852,51.6456972996198,9115995.0718173,5838246.463978849,2528761.1908706105,0.6935716055270973,0.801904941276104,1.0324035981610895
2000,5510787,3597328,1463591,0.652779358011841,0.347220641988159,0.531911185190786,8137294,15377464.9760229,12642883.9363379,23891911.1103714,1087247,57.97907963134228,52.917005583742,9504785.234674515,6204527.603531256,2524343.2791727404,0.5349977481256332,0.8144997099745309,0.9781287866613004
2001,5470157,3582304,1446346,0.654881386402621,0.345118613597379,0.526994079787757,8540556,15853218.5394866,13382601.4989319,24841158.6071712,1048496,59.285008132155504,53.8726945492332,9226880.744970413,6042512.45443787,2439648.8177514793,0.5079847914785596,0.7769144177976012,0.923217805575164
2002,5543551,3540451,1536068,0.638661211919941,0.361338788080059,0.565775377204769,8810698,16093031.0273989,13968046.9350587,25513099.2706892,935180,60.20585515195969,54.7485304974528,9207660.926014699,5880575.885956433,2551359.8239290207,0.7164286317380313,0.7602232781529334,0.9728301941712482
2003,5733743,3594306,1648317,0.626869045229268,0.373130954770732,0.595229510230904,9081233,16338650.6338525,14537806.3342606,26155934.8469632,953330,61.39458494116147,55.581291279858405,9339167.298703996,5854434.887774978,2684792.1548450766,0.867968586663201,0.7575294292118679,1.018769504815665
2004,6133641,3761333,1840566,0.613230053731544,0.386769946268456,0.630709378829261,9838424,16611585.2052971,15852348.4375542,26765733.696219,1017506,63.04573141563288,59.2262802039069,9728875.948101217,5966039.120401633,2919414.1437839065,1.043241902501301,0.7412379243132394,1.052057401731671
2005,6575529,3928746,2071120,0.597479837743853,0.402520162256147,0.673696645189075,10724500,16950333.7868773,17354822.1163049,27429719.5844326,1143620,65.02216411008706,63.2701404871613,10112750.152189905,6042164.32007455,3185252.334101721,1.245646353137519,0.7152799680112779,1.0673570837741664
2006,7021572,4127501,2282281,0.587831471357126,0.412168528642874,0.701167849505064,11601575,17392965.2668087,18781361.0662261,28156828.7657721,1271805,67.02729852983384,66.7026859539559,10475689.986035613,6157940.257972429,3405002.2156034783,1.3696365447367098,0.6932140499264238,1.0587952872148765
2007,7257367,4307101,2318987,0.593479839175833,0.406520160824167,0.684977203924403,12248970,17872375.1641688,19835248.889807,28941454.6393119,1371569,68.84347992473771,68.5357703578046,10541836.362621455,6256367.3491065325,3368491.834717252,1.2970499347352875,0.6728330906782464,1.0173387393599258
2008,7327703,4364267,2325994,0.595584591788177,0.404415408211823,0.679022617085527,13060201,18299951.1515855,21174256.6459833,29669364.3759869,1415006,70.17013744937334,71.3674090811356,10442765.635576563,6219550.308204469,3314791.8538397737,1.270001969389316,0.6284976898872073,0.9474464784393132
2009,6904035,4094885,2200647,0.593114751011546,0.406885248988454,0.686014381356253,12692474,18397811.8529309,20759475.099061,30090974.9382293,1182561,70.60305513920336,68.9890412047997,9778663.241112968,5799869.413478477,3116928.8576268125,1.3017416462257243,0.608736192514363,0.9195529697733992
2010,7287190,4166597,2482378,0.57177005128177,0.42822994871823,0.748954842524967,13078839,18578692.8415714,21499009.4215782,30539675.0003231,1249146,71.46091781739325,70.3969817011829,10197448.091306675,5830595.418109603,3473756.1114780433,1.5760402479831015,0.612277817805218,0.9482751027694016
2011,7661063,4372725,2617490,0.57077261993538,0.42922738006462,0.75201116008896,13738372,18880017.7703294,22623700.2002838,31090718.886631,1389556,72.93507031922697,72.7667323575846,10503949.562903771,5995366.8116876725,3588794.7849280178,1.5888581384724256,0.6007776826732453,0.93127608798632
2012,8110944,4608338,2807524,0.568162965987683,0.431837034012317,0.760058398494208,14229170,19271460.5757109,23457828.3472614,31770413.4665649,1529893,74.29361864974328,73.8354518802481,10917416.79489188,6202871.907109513,3778957.1312121046,1.6223945403888846,0.6066998901885076,0.9416391002174768
2013,8417763,4773788,2917301,0.567108862532718,0.432891137467282,0.763329875562132,14783467,19661612.9103054,24387067.5381681,32434142.9485341,1572655,75.55808910291162,75.1894926801829,11140783.336294858,6318036.965569637,3861004.208333773,1.6359407184782953,0.5972540158461456,0.9272262599793498
2014,8851699,5032917,3064114,0.568582031539934,0.431417968460066,0.758761171702216,15515241,20176510.7543073,25560338.1455041,33239473.2042186,1744503,76.87358484548905,76.8975428354867,11514617.170242997,6547004.423061366,3985912.724323539,1.6170091708834624,0.5883230955852555,0.9133999191536064
2015,9222330,5303853,3147261,0.575109869197914,0.424890130802086,0.738798190673837,15792586,20634627.8836823,26051434.2643378,34038861.7722786,1760602,77.58714162706892,76.5343871913902,11886415.463438693,6835994.842410292,4056420.8630441036,1.5331205819245275,0.5982708182128202,0.9313386284705492
2016,9346389,5448417,3112813,0.582943530383766,0.417056469616234,0.715432023650172,16251521,21070591.9312144,26841959.2516286,34801417.6657896,1775302,78.32461651305928,77.1289247737017,11932888.300119095,6956200.033346566,3974246.078154742,1.432450985391262,0.5832850539106219,0.9118354038268692
2017,9771449,5727599,3217945,0.586156566953376,0.413843433046624,0.706028826389557,16888542,21507846.4495334,27957166.4161366,35603928.5358273,1868618,79.72701470166152,78.5227011901343,12256133.051719999,7184012.87372,4036204.0546,1.3911605737388602,0.5802517852265394,0.9094260060005238
2018,10337804,6047036,3417287,0.584943959084541,0.415056040915459,0.709565479682939,17670681,22064684.5941117,29248044.129944,36520882.7391471,2028676,81.55356060847657,80.0858082726262,12676091.543850388,7414803.1733779125,4190236.421933504,1.406743676200472,0.5814465125362516,0.9100900235775832
2019,10799812,6344263,3526559,0.587441985101222,0.412558014898778,0.70229575917644,18471301,22565387.259457,30607540.0301756,37391572.6802484,2069383,82.89935261664063,81.8567870678079,13027619.22634378,7652970.499466239,4254024.776656825,1.3746417936627058,0.5741651481286646,0.9018039433450816
2020,10498662,6350094,3640692,0.60484793205077,0.39515206794923,0.653308124257688,18843167,22884133.5438391,31378927.4844458,38108220.7155783,1988702,84.01393628216984,82.3416231333477,12496333.899579605,7558381.717376658,4333438.190269224,1.1509597100087596,0.5434864081597338,0.8801251815653643
2021,12072724,6998733,4371397,0.579714486970795,0.420285513029205,0.724987079804302,20906670,23288050.9001612,34837248.6481878,38805396.5428531,2185960,87.84800841917276,89.7742369665435,13742740.691848328,7966865.869747517,4976091.181420507,1.4739470993870114,0.5471667532510511,0.8446582923945146
2022,13445428,7593396,4747192,0.56475673366441,0.43524326633559,0.770673885571094,23313722,23785097.2316099,38786548.42115,39570765.4691773,2491698,94.09621456134197,98.0181908569897,14289021.149979241,8069820.911923948,5045040.358031909,1.6661676913520331,0.5334111879464317,0.7911256181138611
2023,14163359,8015626,5032026,0.565941031361275,0.434058968638725,0.766968543692033,24166378,24382585.2059781,40161881.5889362,40521194.3583204,2742568,97.57789329336353,99.1132720170908,14514925.996012745,8214592.188316039,5156932.405654057,1.6509484000793906,0.5431772686567089,0.8086423437019664
2024,14849197,8451105,5232117,0.56912875490843,0.43087124509157,0.75707164921037,24954909,24954909,41512608.2513652,41512608.2513652,2851190,100,100,14849197,8451105,5232117,1.6099832835472574,0.5480810247106004,0.8241851639188881
