"sample_name","economic_start_year","economic_end_year","regression_start_year","regression_end_year","N","spec_id","intercept_flag","centered_flag","interaction_label","omega_mean","omega_min","omega_max","omega_range","const_hat","se_const","t_const","p_const","stars_const","beta1_hat","se_beta1","t_beta1","p_beta1","stars_beta1","beta2_hat","se_beta2","t_beta2","p_beta2","stars_beta2","omega_H","threshold_status","corr_longrun_regressors","VIF_regressor_1","VIF_regressor_2","condition_number_longrun_X","smallest_eigenvalue_XtX","rank_longrun_X","near_singularity_flag"
"Post-1973",1974,2024,1977,2022,46,"S3",FALSE,FALSE,"omega_t k_t",0.615102022299673,0.56475673366441,0.654881386402621,0.0901246527382109,NA,NA,NA,NA,"",0.885679804176564,0.0113288172453896,78.1793708021021,7.42341465830057e-49,"***",0.0859465219431822,0.0215282928729214,3.99225904490025,0.000244780884828654,"***",NA,"wrong-sign slope",-0.402971577473439,1.19386747372415,1.19386747372415,47.8824098448996,7.89912923976226,2,FALSE
"Post-1973",1974,2024,1977,2022,46,"S4",FALSE,TRUE,"(omega_t-omega_bar)k_t",0.615102022299673,0.56475673366441,0.654881386402621,0.0901246527382109,NA,NA,NA,NA,"",0.938545683633438,0.00222111409895458,422.556267629468,4.92586089012354e-81,"***",0.0859465219431821,0.0215282928729158,3.99225904490129,0.00024478088482787,"***",NA,"wrong-sign slope",-0.782782807150714,2.58230398786196,2.58230398786196,34.7664604293971,10.8791444111548,2,FALSE
"Fordist core",1945,1973,1948,1971,24,"S1",TRUE,FALSE,"omega_t k_t",0.63045456790513,0.609475288313768,0.653676971146293,0.044201682832525,1.49862067352453,0.0983742152306698,15.2338767837744,7.98062302651213e-13,"***",0.791923705809724,0.0282468484110547,28.0358252462529,3.99919498248817e-18,"***",0.0677132409008265,0.0479834408847641,1.41117934963116,0.172835896414012,"",NA,"wrong-sign slope",0.85545250902242,3.72854680659639,3.72854680659639,839.297010345639,0.0112042405316859,3,FALSE
"Fordist core",1945,1973,1948,1971,24,"S2",TRUE,TRUE,"(omega_t-omega_bar)k_t",0.63045456790513,0.609475288313768,0.653676971146293,0.044201682832525,1.49862067352453,0.0983742152302808,15.2338767838346,7.98062302590244e-13,"***",0.834613827843311,0.00624050107098239,133.741476581771,2.89906785815798e-32,"***",0.0677132409008265,0.0479834408844955,1.41117934963906,0.172835896411713,"",NA,"wrong-sign slope",0.274935123104828,1.08177028209301,1.08177028209301,709.030415194919,0.0112461093532047,3,FALSE
"Fordist core",1945,1973,1948,1971,24,"S3",FALSE,FALSE,"omega_t k_t",0.63045456790513,0.609475288313768,0.653676971146293,0.044201682832525,NA,NA,NA,NA,"",0.636181477775736,0.119884581884861,5.30661631190184,2.51561492683841e-05,"***",0.455179996640975,0.185244722031105,2.45718200038403,0.0223568201772219,"**",NA,"wrong-sign slope",0.85545250902242,3.72854680659639,3.72854680659639,128.959459855379,0.473135468381997,2,FALSE
"Fordist core",1945,1973,1948,1971,24,"S4",FALSE,TRUE,"(omega_t-omega_bar)k_t",0.63045456790513,0.609475288313768,0.653676971146293,0.044201682832525,NA,NA,NA,NA,"",0.923151785877081,0.0103475924800421,89.2141614252408,1.17561193429613e-29,"***",0.455179996640973,0.185244722030013,2.45718200039851,0.0223568201765197,"**",NA,"wrong-sign slope",0.274935123104828,1.08177028209301,1.08177028209301,92.2670745148064,0.661290007966977,2,FALSE
"Deep comparison",1940,1978,1943,1976,34,"S1",TRUE,FALSE,"omega_t k_t",0.633256381479009,0.609475288313768,0.663415069811751,0.0539397814979831,1.38029926596227,0.182448140497609,7.56543345521439,1.57937568966942e-08,"***",0.946886737636531,0.0377198604493982,25.1031346976163,3.66285203012748e-22,"***",-0.139001416874171,0.055788740886624,-2.49156755763057,0.0182767549818094,"**",-0.382105906240863,"no admissible positive threshold",0.886733668896387,4.67938272350879,4.67938272350881,571.992708307896,0.0342515079183635,3,FALSE
"Deep comparison",1940,1978,1943,1976,34,"S2",TRUE,TRUE,"(omega_t-omega_bar)k_t",0.633256381479009,0.609475288313768,0.663415069811751,0.0539397814979831,1.38029926596226,0.182448140497611,7.56543345521429,1.57937568966983e-08,"***",0.858863203366338,0.0099623003832656,86.2113337607279,1.73459809711463e-38,"***",-0.139001416874171,0.0557887408863045,-2.49156755764485,0.0182767549812004,"**",-0.382105906240862,"no admissible positive threshold",0.165438171290111,1.0281399736475,1.0281399736475,482.794610323947,0.0343526514564294,3,FALSE
"Deep comparison",1940,1978,1943,1976,34,"S3",FALSE,FALSE,"omega_t k_t",0.633256381479009,0.609475288313768,0.663415069811751,0.0539397814979831,NA,NA,NA,NA,"",1.01280704868777,0.0918773705197013,11.0234657670204,1.98304616418376e-12,"***",-0.128299846756837,0.139621849914938,-0.918909517636393,0.365017896877434,"",0.0998212313694048,"positive threshold outside observed sample range",0.886733668896387,4.67938272350879,4.67938272350881,118.220809373344,0.799382529851755,2,FALSE
"Deep comparison",1940,1978,1943,1976,34,"S4",FALSE,TRUE,"(omega_t-omega_bar)k_t",0.633256381479009,0.609475288313768,0.663415069811751,0.0539397814979831,NA,NA,NA,NA,"",0.931560351986228,0.00658198178194655,141.531894625015,2.45622749922137e-46,"***",-0.128299846756838,0.139621849914394,-0.918909517639982,0.365017896875585,"",0.0998212313694101,"positive threshold outside observed sample range",0.165438171290111,1.0281399736475,1.0281399736475,84.3704633993845,1.12010348017937,2,FALSE
