"p","q_tag","r","best_BIC","best_AIC"
7,"K_short",2,-672.936419851547,-797.562547189454
7,"Y_only",0,-820.824033947295,-875.986418178828
7,"Y_only",1,-729.870445017548,-797.291136856088
7,"Y_only",2,-716.449997725352,-792.04289463523
7,"Y_short",0,-723.790803519266,-827.986418178828
7,"Y_short",1,-688.278656589179,-804.732578855748
7,"Y_short",2,-707.092109038545,-831.718236376453
7,"sym",0,-651.015880698244,-791.986418178828
7,"sym",1,-638.026661713863,-791.255506801455
7,"sym",2,-658.889980713068,-820.291030871998
