"model_id","estimator","estimator_role","package","function_name","package_available","attempted","status","n_obs","error_message","warnings"
"S32_periodized_pre_1974_alt_1940_1973","diagnostic_levels_OLS","diagnostic_only","stats","stats::lm",TRUE,TRUE,"success",34,"",""
"S32_periodized_pre_1974_alt_1940_1973","FM_OLS_preliminary","preferred_preliminary_estimator","cointReg","cointReg::cointRegFM",TRUE,TRUE,"success",34,"",""
"S32_periodized_pre_1974_alt_1940_1973","IM_OLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegIM",TRUE,TRUE,"success",34,"",""
"S32_periodized_pre_1974_alt_1940_1973","DOLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegD",TRUE,TRUE,"success",34,"",""
"S32_periodized_pre_1974_alt_1947_1973","diagnostic_levels_OLS","diagnostic_only","stats","stats::lm",TRUE,TRUE,"success",27,"",""
"S32_periodized_pre_1974_alt_1947_1973","FM_OLS_preliminary","preferred_preliminary_estimator","cointReg","cointReg::cointRegFM",TRUE,TRUE,"success",27,"",""
"S32_periodized_pre_1974_alt_1947_1973","IM_OLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegIM",TRUE,TRUE,"success",27,"",""
"S32_periodized_pre_1974_alt_1947_1973","DOLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegD",TRUE,TRUE,"success",27,"",""
"S32_ME_growth_extension","diagnostic_levels_OLS","diagnostic_only","stats","stats::lm",TRUE,TRUE,"success",95,"",""
"S32_ME_growth_extension","FM_OLS_preliminary","preferred_preliminary_estimator","cointReg","cointReg::cointRegFM",TRUE,TRUE,"success",95,"",""
"S32_ME_growth_extension","IM_OLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegIM",TRUE,TRUE,"success",95,"",""
"S32_ME_growth_extension","DOLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegD",TRUE,TRUE,"success",95,"",""
"S32_NRC_growth_extension","diagnostic_levels_OLS","diagnostic_only","stats","stats::lm",TRUE,TRUE,"success",95,"",""
"S32_NRC_growth_extension","FM_OLS_preliminary","preferred_preliminary_estimator","cointReg","cointReg::cointRegFM",TRUE,TRUE,"success",95,"",""
"S32_NRC_growth_extension","IM_OLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegIM",TRUE,TRUE,"success",95,"",""
"S32_NRC_growth_extension","DOLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegD",TRUE,TRUE,"success",95,"",""
"S32_ME_minus_NRC_growth_extension","diagnostic_levels_OLS","diagnostic_only","stats","stats::lm",TRUE,TRUE,"success",95,"",""
"S32_ME_minus_NRC_growth_extension","FM_OLS_preliminary","preferred_preliminary_estimator","cointReg","cointReg::cointRegFM",TRUE,TRUE,"success",95,"",""
"S32_ME_minus_NRC_growth_extension","IM_OLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegIM",TRUE,TRUE,"success",95,"",""
"S32_ME_minus_NRC_growth_extension","DOLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegD",TRUE,TRUE,"success",95,"",""
"S32_ME_share_extension","diagnostic_levels_OLS","diagnostic_only","stats","stats::lm",TRUE,TRUE,"success",95,"",""
"S32_ME_share_extension","FM_OLS_preliminary","preferred_preliminary_estimator","cointReg","cointReg::cointRegFM",TRUE,TRUE,"success",95,"",""
"S32_ME_share_extension","IM_OLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegIM",TRUE,TRUE,"success",95,"",""
"S32_ME_share_extension","DOLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegD",TRUE,TRUE,"success",95,"",""
"S32_NRC_share_extension","diagnostic_levels_OLS","diagnostic_only","stats","stats::lm",TRUE,TRUE,"success",95,"",""
"S32_NRC_share_extension","FM_OLS_preliminary","preferred_preliminary_estimator","cointReg","cointReg::cointRegFM",TRUE,TRUE,"success",95,"",""
"S32_NRC_share_extension","IM_OLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegIM",TRUE,TRUE,"success",95,"",""
"S32_NRC_share_extension","DOLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegD",TRUE,TRUE,"success",95,"",""
"S32_ME_NRC_gap_extension","diagnostic_levels_OLS","diagnostic_only","stats","stats::lm",TRUE,TRUE,"success",95,"",""
"S32_ME_NRC_gap_extension","FM_OLS_preliminary","preferred_preliminary_estimator","cointReg","cointReg::cointRegFM",TRUE,TRUE,"success",95,"",""
"S32_ME_NRC_gap_extension","IM_OLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegIM",TRUE,TRUE,"success",95,"",""
"S32_ME_NRC_gap_extension","DOLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegD",TRUE,TRUE,"success",95,"",""
"S32_GOV_TRANS_growth_extension","diagnostic_levels_OLS","diagnostic_only","stats","stats::lm",TRUE,TRUE,"success",95,"",""
"S32_GOV_TRANS_growth_extension","FM_OLS_preliminary","preferred_preliminary_estimator","cointReg","cointReg::cointRegFM",TRUE,TRUE,"success",95,"",""
"S32_GOV_TRANS_growth_extension","IM_OLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegIM",TRUE,TRUE,"success",95,"",""
"S32_GOV_TRANS_growth_extension","DOLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegD",TRUE,TRUE,"success",95,"",""
"S32_IPP_growth_extension","diagnostic_levels_OLS","diagnostic_only","stats","stats::lm",TRUE,TRUE,"success",95,"",""
"S32_IPP_growth_extension","FM_OLS_preliminary","preferred_preliminary_estimator","cointReg","cointReg::cointRegFM",TRUE,TRUE,"success",95,"",""
"S32_IPP_growth_extension","IM_OLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegIM",TRUE,TRUE,"success",95,"",""
"S32_IPP_growth_extension","DOLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegD",TRUE,TRUE,"success",95,"",""
