"stage_id","year","ME_support_status","NRC_support_status","CORE_support_status","core_status_rule"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1911,"partial_vintage_warmup","partial_vintage_warmup","partial_vintage_warmup","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1912,"partial_vintage_warmup","partial_vintage_warmup","partial_vintage_warmup","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1913,"partial_vintage_warmup","partial_vintage_warmup","partial_vintage_warmup","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1914,"partial_vintage_warmup","partial_vintage_warmup","partial_vintage_warmup","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1915,"partial_vintage_warmup","partial_vintage_warmup","partial_vintage_warmup","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1916,"partial_vintage_warmup","partial_vintage_warmup","partial_vintage_warmup","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1917,"partial_vintage_warmup","partial_vintage_warmup","partial_vintage_warmup","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1918,"partial_vintage_warmup","partial_vintage_warmup","partial_vintage_warmup","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1919,"partial_vintage_warmup","partial_vintage_warmup","partial_vintage_warmup","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1920,"partial_vintage_warmup","partial_vintage_warmup","partial_vintage_warmup","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
