"variable_id","display_name","source_line_description","core_K_ME_or_K_NR_boundary","s30c_classification_if_noncore","boundary_lock","ipp_promoted_to_core","government_transportation_promoted_to_core","residential_promoted_to_productive_capital","provider_total_promoted_to_analytical_tot"
"CORP__IPP__gross_investment_current_cost","CORP_intellectual_property_products_gross_investment_current_cost","Intellectual property products","no","CONTEXTUAL_AUTHORIZED","noncore_or_contextual_boundary_evidence","no","no","no","no"
"CORP__IPP__net_stock_current_cost","CORP_intellectual_property_products_net_stock_current_cost","Intellectual property products","no","CONTEXTUAL_AUTHORIZED","noncore_or_contextual_boundary_evidence","no","no","no","no"
"CORP__IPP__net_stock_quantity_index","CORP_intellectual_property_products_net_stock_quantity_index","Intellectual property products","no","CONTEXTUAL_AUTHORIZED","noncore_or_contextual_boundary_evidence","no","no","no","no"
"FIN__IPP__cfc_current_cost","FIN_intellectual_property_products_cfc_current_cost","Intellectual property products","no","CONTEXTUAL_AUTHORIZED","noncore_or_contextual_boundary_evidence","no","no","no","no"
"FIN__IPP__gross_investment_current_cost","FIN_intellectual_property_products_gross_investment_current_cost","Intellectual property products","no","CONTEXTUAL_AUTHORIZED","noncore_or_contextual_boundary_evidence","no","no","no","no"
"FIN__IPP__net_stock_current_cost","FIN_intellectual_property_products_net_stock_current_cost","Intellectual property products","no","CONTEXTUAL_AUTHORIZED","noncore_or_contextual_boundary_evidence","no","no","no","no"
"FIN__IPP__net_stock_quantity_index","FIN_intellectual_property_products_net_stock_quantity_index","Intellectual property products","no","CONTEXTUAL_AUTHORIZED","noncore_or_contextual_boundary_evidence","no","no","no","no"
"NFC__IPP__cfc_current_cost","NFC_intellectual_property_products_cfc_current_cost","Intellectual property products","no","CONTEXTUAL_AUTHORIZED","noncore_or_contextual_boundary_evidence","no","no","no","no"
"NFC__IPP__gross_investment_current_cost","NFC_intellectual_property_products_gross_investment_current_cost","Intellectual property products","no","CONTEXTUAL_AUTHORIZED","noncore_or_contextual_boundary_evidence","no","no","no","no"
"NFC__IPP__net_stock_current_cost","NFC_intellectual_property_products_net_stock_current_cost","Intellectual property products","no","CONTEXTUAL_AUTHORIZED","noncore_or_contextual_boundary_evidence","no","no","no","no"
"NFC__IPP__net_stock_quantity_index","NFC_intellectual_property_products_net_stock_quantity_index","Intellectual property products","no","CONTEXTUAL_AUTHORIZED","noncore_or_contextual_boundary_evidence","no","no","no","no"
"CORP__TOTAL__cfc_current_cost","CORP_total_cfc_current_cost","Corporate","no","DIAGNOSTIC_ONLY","noncore_or_contextual_boundary_evidence","no","no","no","no"
"CORP__TOTAL__gross_investment_current_cost","CORP_total_gross_investment_current_cost","Corporate","no","DIAGNOSTIC_ONLY","noncore_or_contextual_boundary_evidence","no","no","no","no"
"CORP__TOTAL__net_stock_current_cost","CORP_total_net_stock_current_cost","Corporate","no","DIAGNOSTIC_ONLY","noncore_or_contextual_boundary_evidence","no","no","no","no"
"CORP__TOTAL__net_stock_quantity_index","CORP_total_net_stock_quantity_index","Corporate","no","DIAGNOSTIC_ONLY","noncore_or_contextual_boundary_evidence","no","no","no","no"
"FIN__TOTAL__cfc_current_cost","FIN_total_cfc_current_cost","Financial","no","DIAGNOSTIC_ONLY","noncore_or_contextual_boundary_evidence","no","no","no","no"
"FIN__TOTAL__gross_investment_current_cost","FIN_total_gross_investment_current_cost","Financial","no","DIAGNOSTIC_ONLY","noncore_or_contextual_boundary_evidence","no","no","no","no"
"FIN__TOTAL__net_stock_current_cost","FIN_total_net_stock_current_cost","Financial","no","DIAGNOSTIC_ONLY","noncore_or_contextual_boundary_evidence","no","no","no","no"
"FIN__TOTAL__net_stock_quantity_index","FIN_total_net_stock_quantity_index","Financial","no","DIAGNOSTIC_ONLY","noncore_or_contextual_boundary_evidence","no","no","no","no"
"NFC__TOTAL__cfc_current_cost","NFC_total_cfc_current_cost","Nonfinancial","no","DIAGNOSTIC_ONLY","noncore_or_contextual_boundary_evidence","no","no","no","no"
"NFC__TOTAL__gross_investment_current_cost","NFC_total_gross_investment_current_cost","Nonfinancial","no","DIAGNOSTIC_ONLY","noncore_or_contextual_boundary_evidence","no","no","no","no"
"NFC__TOTAL__net_stock_current_cost","NFC_total_net_stock_current_cost","Nonfinancial","no","DIAGNOSTIC_ONLY","noncore_or_contextual_boundary_evidence","no","no","no","no"
"NFC__TOTAL__net_stock_quantity_index","NFC_total_net_stock_quantity_index","Nonfinancial","no","DIAGNOSTIC_ONLY","noncore_or_contextual_boundary_evidence","no","no","no","no"
